year,bula_h,migback,plj0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Schleswig-Holstein,No migration background,"Yes, depending on situation",0.39993,88,160,0.32378,0.47608
2009,Schleswig-Holstein,No migration background,Rather not,0.35497,72,160,0.28059,0.42935
2009,Hamburg,No migration background,"Yes, depending on situation",0.35782,72,132,0.27573,0.43991
2009,Hamburg,No migration background,Rather not,0.43178,60,132,0.34696,0.51661
2009,Lower Saxony,No migration background,"Yes, happily",0.05528,54,849,0.03989,0.07066
2009,Lower Saxony,No migration background,"Yes, depending on situation",0.42138,370,849,0.38815,0.45462
2009,Lower Saxony,No migration background,Rather not,0.35799,284,849,0.32572,0.39026
2009,Lower Saxony,No migration background,Never,0.16535,141,849,0.14035,0.19036
2009,Lower Saxony,Direct migration background,Rather not,0.37183,35,35,0.20938,0.53429
2009,Bremen,No migration background,"Yes, depending on situation",0.45932,34,34,0.28929,0.62935
2009,North Rhine-Westphalia,No migration background,"Yes, happily",0.04215,68,1628,0.03238,0.05191
2009,North Rhine-Westphalia,No migration background,"Yes, depending on situation",0.37578,624,1628,0.35225,0.39932
2009,North Rhine-Westphalia,No migration background,Rather not,0.33394,565,1628,0.31102,0.35685
2009,North Rhine-Westphalia,No migration background,Never,0.24814,371,1628,0.22715,0.26912
2009,North Rhine-Westphalia,Direct migration background,"Yes, depending on situation",0.31690,71,212,0.25412,0.37968
2009,North Rhine-Westphalia,Direct migration background,Rather not,0.30904,62,212,0.24669,0.37140
2009,North Rhine-Westphalia,Direct migration background,Never,0.30764,79,212,0.24536,0.36991
2009,North Rhine-Westphalia,Indirect migration background,"Yes, depending on situation",0.23793,40,128,0.16387,0.31199
2009,North Rhine-Westphalia,Indirect migration background,Rather not,0.48715,53,128,0.40021,0.57408
2009,North Rhine-Westphalia,Indirect migration background,Never,0.24149,35,128,0.16705,0.31593
2009,Hesse,No migration background,"Yes, happily",0.04550,32,652,0.02949,0.06151
2009,Hesse,No migration background,"Yes, depending on situation",0.40748,268,652,0.36973,0.44523
2009,Hesse,No migration background,Rather not,0.36463,240,652,0.32765,0.40160
2009,Hesse,No migration background,Never,0.18239,112,652,0.15272,0.21205
2009,Hesse,Direct migration background,Never,0.48439,41,41,0.32951,0.63926
