year,migback,quintil_oecd,plj0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No migration background,1st Quintile,"Yes, happily",0.09510,93,1152,0.07815,0.11205
2009,No migration background,1st Quintile,"Yes, depending on situation",0.38003,457,1152,0.35199,0.40808
2009,No migration background,1st Quintile,Rather not,0.30797,367,1152,0.28130,0.33464
2009,No migration background,1st Quintile,Never,0.21690,235,1152,0.19309,0.24071
2009,No migration background,2nd Quintile,"Yes, happily",0.07169,75,1251,0.05739,0.08599
2009,No migration background,2nd Quintile,"Yes, depending on situation",0.37043,486,1251,0.34365,0.39720
2009,No migration background,2nd Quintile,Rather not,0.32067,434,1251,0.29480,0.34655
2009,No migration background,2nd Quintile,Never,0.23722,256,1251,0.21363,0.26080
2009,No migration background,3rd Quintile,"Yes, happily",0.04727,85,1546,0.03669,0.05785
2009,No migration background,3rd Quintile,"Yes, depending on situation",0.42186,719,1546,0.39723,0.44648
2009,No migration background,3rd Quintile,Rather not,0.33168,472,1546,0.30820,0.35515
2009,No migration background,3rd Quintile,Never,0.19919,270,1546,0.17928,0.21911
2009,No migration background,4th Quintile,"Yes, happily",0.05551,107,1869,0.04513,0.06590
2009,No migration background,4th Quintile,"Yes, depending on situation",0.43517,804,1869,0.41268,0.45765
2009,No migration background,4th Quintile,Rather not,0.36066,683,1869,0.33889,0.38244
2009,No migration background,4th Quintile,Never,0.14866,275,1869,0.13253,0.16479
2009,No migration background,5th Quintile,"Yes, happily",0.06190,186,2799,0.05298,0.07083
2009,No migration background,5th Quintile,"Yes, depending on situation",0.40222,1212,2799,0.38405,0.42039
2009,No migration background,5th Quintile,Rather not,0.39274,1021,2799,0.37464,0.41084
2009,No migration background,5th Quintile,Never,0.14314,380,2799,0.13016,0.15611
2009,Direct migration background,1st Quintile,"Yes, depending on situation",0.23826,63,257,0.18607,0.29045
2009,Direct migration background,1st Quintile,Rather not,0.29319,82,257,0.23742,0.34895
2009,Direct migration background,1st Quintile,Never,0.43130,112,257,0.37063,0.49196
2009,Direct migration background,2nd Quintile,"Yes, depending on situation",0.21365,50,189,0.15506,0.27224
2009,Direct migration background,2nd Quintile,Rather not,0.37126,58,189,0.30220,0.44032
2009,Direct migration background,2nd Quintile,Never,0.36654,81,189,0.29766,0.43542
2009,Direct migration background,3rd Quintile,"Yes, depending on situation",0.17706,34,157,0.11716,0.23697
2009,Direct migration background,3rd Quintile,Rather not,0.48227,70,157,0.40386,0.56069
2009,Direct migration background,3rd Quintile,Never,0.33314,53,157,0.25917,0.40710
2009,Direct migration background,4th Quintile,"Yes, depending on situation",0.27551,32,136,0.20014,0.35087
2009,Direct migration background,4th Quintile,Rather not,0.44469,63,136,0.36086,0.52851
2009,Direct migration background,4th Quintile,Never,0.24094,41,136,0.16880,0.31308
2009,Direct migration background,5th Quintile,"Yes, depending on situation",0.22456,33,132,0.15310,0.29601
2009,Direct migration background,5th Quintile,Rather not,0.36142,54,132,0.27915,0.44368
2009,Direct migration background,5th Quintile,Never,0.37570,45,132,0.29276,0.45863
2009,Indirect migration background,1st Quintile,"Yes, depending on situation",0.26751,41,122,0.18863,0.34638
2009,Indirect migration background,1st Quintile,Rather not,0.40722,44,122,0.31968,0.49477
2009,Indirect migration background,1st Quintile,Never,0.28532,37,122,0.20486,0.36579
2009,Indirect migration background,2nd Quintile,"Yes, depending on situation",0.31355,34,34,0.15526,0.47184
2009,Indirect migration background,3rd Quintile,Rather not,0.48424,39,39,0.32534,0.64314
2009,Indirect migration background,5th Quintile,"Yes, depending on situation",0.31244,39,82,0.21150,0.41338
2009,Indirect migration background,5th Quintile,Rather not,0.53836,43,82,0.42979,0.64693
2014,No migration background,1st Quintile,"Yes, happily",0.05945,203,3271,0.05135,0.06756
2014,No migration background,1st Quintile,"Yes, depending on situation",0.25196,847,3271,0.23708,0.26684
2014,No migration background,1st Quintile,Rather not,0.23771,807,3271,0.22312,0.25230
2014,No migration background,1st Quintile,Never,0.45088,1414,3271,0.43382,0.46793
2014,No migration background,2nd Quintile,"Yes, happily",0.03420,149,3707,0.02835,0.04005
2014,No migration background,2nd Quintile,"Yes, depending on situation",0.22977,905,3707,0.21622,0.24331
2014,No migration background,2nd Quintile,Rather not,0.26794,1013,3707,0.25368,0.28220
2014,No migration background,2nd Quintile,Never,0.46809,1640,3707,0.45202,0.48415
2014,No migration background,3rd Quintile,"Yes, happily",0.04528,184,3908,0.03876,0.05180
2014,No migration background,3rd Quintile,"Yes, depending on situation",0.25159,1087,3908,0.23798,0.26520
