,Unnamed: 0,year,sampreg,sex,plj0045,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2009,West,male,"Yes, happily",0.04666,192,10016,0.03992,0.05271
1,1,2009,West,male,"Yes, depending on situation",0.35154,1386,10016,0.33289,0.37049
2,2,2009,West,male,Rather not,0.36947,1341,10016,0.35066,0.38864
3,3,2009,West,male,Never,0.23233,797,10016,0.21852,0.2496
4,4,2009,West,female,"Yes, happily",0.04992,187,10016,0.04297,0.0559
5,5,2009,West,female,"Yes, depending on situation",0.32144,1338,10016,0.3033,0.33866
6,6,2009,West,female,Rather not,0.38355,1471,10016,0.36449,0.40263
7,7,2009,West,female,Never,0.24508,912,10016,0.23148,0.25894
8,8,2009,East,male,"Yes, happily",0.12107,116,10016,0.10065,0.14105
9,9,2009,East,male,"Yes, depending on situation",0.53784,653,10016,0.49499,0.57573
10,10,2009,East,male,Rather not,0.271,320,10016,0.24054,0.30339
11,11,2009,East,male,Never,0.07009,73,10016,0.05885,0.08317
12,12,2009,East,female,"Yes, happily",0.09183,101,10016,0.07489,0.11197
13,13,2009,East,female,"Yes, depending on situation",0.54106,673,10016,0.50439,0.59369
14,14,2009,East,female,Rather not,0.2773,358,10016,0.25016,0.31026
15,15,2009,East,female,Never,0.0898,98,10016,0.07824,0.10272
16,16,2014,West,male,"Yes, happily",0.04413,443,26481,0.03975,0.04944
17,17,2014,West,male,"Yes, depending on situation",0.28886,2699,26481,0.27706,0.29959
18,18,2014,West,male,Rather not,0.28276,2718,26481,0.27103,0.29865
19,19,2014,West,male,Never,0.38424,3765,26481,0.37076,0.39437
20,20,2014,West,female,"Yes, happily",0.04223,514,26481,0.0379,0.04625
21,21,2014,West,female,"Yes, depending on situation",0.24311,2824,26481,0.23208,0.25307
22,22,2014,West,female,Rather not,0.28166,3223,26481,0.2697,0.29467
23,23,2014,West,female,Never,0.433,4762,26481,0.41954,0.44555
24,24,2014,East,male,"Yes, happily",0.07077,184,26481,0.05551,0.08649
25,25,2014,East,male,"Yes, depending on situation",0.31884,823,26481,0.28997,0.34347
26,26,2014,East,male,Rather not,0.28302,690,26481,0.25675,0.30921
27,27,2014,East,male,Never,0.32736,829,26481,0.30548,0.34505
28,28,2014,East,female,"Yes, happily",0.07037,211,26481,0.05724,0.08519
29,29,2014,East,female,"Yes, depending on situation",0.27099,897,26481,0.25164,0.29315
30,30,2014,East,female,Rather not,0.27525,844,26481,0.25471,0.30057
31,31,2014,East,female,Never,0.38338,1055,26481,0.36129,0.40263
32,32,2019,West,male,"Yes, happily",0.062,562,25001,0.05542,0.06964
33,33,2019,West,male,"Yes, depending on situation",0.27996,2724,25001,0.26588,0.29064
34,34,2019,West,male,Rather not,0.2951,2655,25001,0.28205,0.30867
35,35,2019,West,male,Never,0.36293,3377,25001,0.3516,0.37835
36,36,2019,West,female,"Yes, happily",0.04717,508,25001,0.04235,0.05293
37,37,2019,West,female,"Yes, depending on situation",0.23288,2622,25001,0.22192,0.24461
38,38,2019,West,female,Rather not,0.29389,2990,25001,0.28236,0.30635
39,39,2019,West,female,Never,0.42607,4087,25001,0.40991,0.44275
40,40,2019,East,male,"Yes, happily",0.08996,210,25001,0.07559,0.11074
41,41,2019,East,male,"Yes, depending on situation",0.27796,768,25001,0.25467,0.30251
42,42,2019,East,male,Rather not,0.26345,677,25001,0.24014,0.28876
43,43,2019,East,male,Never,0.36863,951,25001,0.34037,0.40167
44,44,2019,East,female,"Yes, happily",0.07656,205,25001,0.06083,0.0901
45,45,2019,East,female,"Yes, depending on situation",0.26753,822,25001,0.24677,0.29411
46,46,2019,East,female,Rather not,0.26588,770,25001,0.24424,0.28964
47,47,2019,East,female,Never,0.39003,1073,25001,0.36624,0.41318
