year,quintil_oecd,sampreg,plj0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,1st Quintile,West,"Yes, happily",0.05697,57,1046,0.04291,0.07102
2009,1st Quintile,West,"Yes, depending on situation",0.28716,304,1046,0.25973,0.31459
2009,1st Quintile,West,Rather not,0.33286,356,1046,0.30429,0.36143
2009,1st Quintile,West,Never,0.32301,329,1046,0.29466,0.35136
2009,1st Quintile,East,"Yes, happily",0.13727,53,502,0.10713,0.16740
2009,1st Quintile,East,"Yes, depending on situation",0.49061,257,502,0.44684,0.53439
2009,1st Quintile,East,Rather not,0.26057,137,502,0.22213,0.29901
2009,1st Quintile,East,Never,0.11155,55,502,0.08398,0.13912
2009,2nd Quintile,West,"Yes, happily",0.06530,58,1095,0.05066,0.07994
2009,2nd Quintile,West,"Yes, depending on situation",0.30014,343,1095,0.27298,0.32730
2009,2nd Quintile,West,Rather not,0.33712,370,1095,0.30911,0.36513
2009,2nd Quintile,West,Never,0.29744,324,1095,0.27035,0.32453
2009,2nd Quintile,East,"Yes, depending on situation",0.48718,227,420,0.43932,0.53504
2009,2nd Quintile,East,Rather not,0.34217,151,420,0.29674,0.38760
2009,2nd Quintile,East,Never,0.09831,42,420,0.06980,0.12682
2009,3rd Quintile,West,"Yes, happily",0.02791,46,1220,0.01867,0.03716
2009,3rd Quintile,West,"Yes, depending on situation",0.31384,421,1220,0.28779,0.33989
2009,3rd Quintile,West,Rather not,0.39624,447,1220,0.36878,0.42370
2009,3rd Quintile,West,Never,0.26200,306,1220,0.23732,0.28669
2009,3rd Quintile,East,"Yes, happily",0.08267,45,572,0.06008,0.10526
2009,3rd Quintile,East,"Yes, depending on situation",0.61521,355,572,0.57530,0.65512
2009,3rd Quintile,East,Rather not,0.23724,134,572,0.20235,0.27214
2009,3rd Quintile,East,Never,0.06487,38,572,0.04467,0.08508
2009,4th Quintile,West,"Yes, happily",0.03846,71,1659,0.02920,0.04771
2009,4th Quintile,West,"Yes, depending on situation",0.38538,620,1659,0.36196,0.40881
2009,4th Quintile,West,Rather not,0.38491,642,1659,0.36149,0.40834
2009,4th Quintile,West,Never,0.19125,326,1659,0.17232,0.21018
2009,4th Quintile,East,"Yes, happily",0.13141,43,416,0.09890,0.16391
2009,4th Quintile,East,"Yes, depending on situation",0.55254,239,416,0.50470,0.60038
2009,4th Quintile,East,Rather not,0.26334,134,416,0.22096,0.30571
2009,5th Quintile,West,"Yes, happily",0.05297,147,2602,0.04436,0.06157
2009,5th Quintile,West,"Yes, depending on situation",0.36959,1036,2602,0.35104,0.38814
2009,5th Quintile,West,Rather not,0.40853,996,2602,0.38963,0.42742
2009,5th Quintile,West,Never,0.16892,423,2602,0.15452,0.18332
2009,5th Quintile,East,"Yes, happily",0.10727,47,417,0.07754,0.13701
2009,5th Quintile,East,"Yes, depending on situation",0.55730,248,417,0.50957,0.60504
2009,5th Quintile,East,Rather not,0.28303,122,417,0.23974,0.32632
2014,1st Quintile,West,"Yes, happily",0.04873,205,4268,0.04227,0.05519
2014,1st Quintile,West,"Yes, depending on situation",0.22641,939,4268,0.21386,0.23897
2014,1st Quintile,West,Rather not,0.23546,1062,4268,0.22273,0.24819
2014,1st Quintile,West,Never,0.48940,2062,4268,0.47440,0.50440
2014,1st Quintile,East,"Yes, happily",0.08542,121,1419,0.07088,0.09997
2014,1st Quintile,East,"Yes, depending on situation",0.28524,416,1419,0.26174,0.30874
2014,1st Quintile,East,Rather not,0.22071,338,1419,0.19912,0.24229
2014,1st Quintile,East,Never,0.40863,544,1419,0.38304,0.43422
2014,2nd Quintile,West,"Yes, happily",0.03103,168,3990,0.02565,0.03641
2014,2nd Quintile,West,"Yes, depending on situation",0.21992,900,3990,0.20707,0.23277
2014,2nd Quintile,West,Rather not,0.26248,1065,3990,0.24883,0.27614
2014,2nd Quintile,West,Never,0.48657,1857,3990,0.47106,0.50208
2014,2nd Quintile,East,"Yes, happily",0.05443,78,1386,0.04248,0.06638
2014,2nd Quintile,East,"Yes, depending on situation",0.24902,371,1386,0.22625,0.27180
2014,2nd Quintile,East,Rather not,0.27209,384,1386,0.24865,0.29553
2014,2nd Quintile,East,Never,0.42446,553,1386,0.39843,0.45049
