,Unnamed: 0,year,bula_h,pgisced97,plj0045,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2009,Schleswig-Holstein,Upper Secondary Level,"Yes, depending on situation",0.47285,43,7252,0.35567,0.63491
1,1,2009,Schleswig-Holstein,Upper Secondary Level,Rather not,0.52715,47,7252,0.40127,0.63853
2,2,2009,Hamburg,Upper Secondary Level,Rather not,1.0,31,7252,0.69515,1.30708
3,3,2009,Hamburg,Second Stage of Tertiary Education,"Yes, depending on situation",1.0,35,7252,0.61993,1.43813
4,4,2009,Lower Saxony,Upper Secondary Level,"Yes, depending on situation",0.37644,178,7252,0.32379,0.42443
5,5,2009,Lower Saxony,Upper Secondary Level,Rather not,0.43863,177,7252,0.37268,0.49433
6,6,2009,Lower Saxony,Upper Secondary Level,Never,0.18494,83,7252,0.15586,0.22329
7,7,2009,Lower Saxony,First Stage of Tertiary Education,"Yes, depending on situation",1.0,35,7252,0.68781,1.36986
8,8,2009,Lower Saxony,Second Stage of Tertiary Education,"Yes, depending on situation",0.69422,102,7252,0.57076,0.84567
9,9,2009,Lower Saxony,Second Stage of Tertiary Education,Rather not,0.30578,62,7252,0.23674,0.37563
10,10,2009,North Rhine-Westphalia,Pre-primary Level,"Yes, depending on situation",1.0,31,7252,0.7358,1.34296
11,11,2009,North Rhine-Westphalia,Lower Secondary Level,"Yes, depending on situation",0.29657,53,7252,0.22883,0.36726
12,12,2009,North Rhine-Westphalia,Lower Secondary Level,Rather not,0.32944,53,7252,0.24501,0.4073
13,13,2009,North Rhine-Westphalia,Lower Secondary Level,Never,0.37399,59,7252,0.3042,0.44192
14,14,2009,North Rhine-Westphalia,Upper Secondary Level,"Yes, happily",0.04917,35,7252,0.03313,0.06484
15,15,2009,North Rhine-Westphalia,Upper Secondary Level,"Yes, depending on situation",0.33032,280,7252,0.29898,0.36496
16,16,2009,North Rhine-Westphalia,Upper Secondary Level,Rather not,0.32172,289,7252,0.2851,0.35686
