year,age_gr,sex,plj0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,17-29 y.,male,"Yes, happily",0.08361,101,1149,0.06760,0.09962
2009,17-29 y.,male,"Yes, depending on situation",0.38905,511,1149,0.36085,0.41726
2009,17-29 y.,male,Rather not,0.35055,372,1149,0.32295,0.37816
2009,17-29 y.,male,Never,0.17678,165,1149,0.15471,0.19885
2009,17-29 y.,female,"Yes, happily",0.08168,115,1165,0.06595,0.09741
2009,17-29 y.,female,"Yes, depending on situation",0.38845,492,1165,0.36045,0.41645
2009,17-29 y.,female,Rather not,0.37271,393,1165,0.34493,0.40049
2009,17-29 y.,female,Never,0.15716,165,1165,0.13625,0.17807
2009,30-45 y.,male,"Yes, happily",0.06037,97,1493,0.04828,0.07245
2009,30-45 y.,male,"Yes, depending on situation",0.38646,615,1493,0.36175,0.41116
2009,30-45 y.,male,Rather not,0.33953,511,1493,0.31550,0.36356
2009,30-45 y.,male,Never,0.21364,270,1493,0.19285,0.23444
2009,30-45 y.,female,"Yes, happily",0.06039,88,1633,0.04883,0.07194
2009,30-45 y.,female,"Yes, depending on situation",0.37607,627,1633,0.35256,0.39957
2009,30-45 y.,female,Rather not,0.37322,620,1633,0.34976,0.39669
2009,30-45 y.,female,Never,0.19032,298,1633,0.17128,0.20937
2009,46-65 y.,male,"Yes, happily",0.04436,82,1651,0.03443,0.05430
2009,46-65 y.,male,"Yes, depending on situation",0.40096,710,1651,0.37731,0.42461
2009,46-65 y.,male,Rather not,0.36602,582,1651,0.34278,0.38927
2009,46-65 y.,male,Never,0.18865,277,1651,0.16977,0.20753
2009,46-65 y.,female,"Yes, happily",0.04089,61,1771,0.03167,0.05012
2009,46-65 y.,female,"Yes, depending on situation",0.34713,701,1771,0.32495,0.36931
2009,46-65 y.,female,Rather not,0.37330,636,1771,0.35077,0.39584
2009,46-65 y.,female,Never,0.23868,373,1771,0.21882,0.25853
2009,66 and older,male,"Yes, depending on situation",0.31764,203,557,0.27894,0.35634
2009,66 and older,male,Rather not,0.35364,196,557,0.31390,0.39338
2009,66 and older,male,Never,0.27969,158,557,0.24238,0.31700
2009,66 and older,female,"Yes, depending on situation",0.31396,191,545,0.27496,0.35296
2009,66 and older,female,Rather not,0.29786,180,545,0.25943,0.33630
2009,66 and older,female,Never,0.34101,174,545,0.30118,0.38085
2014,17-29 y.,male,"Yes, happily",0.07747,173,2017,0.06580,0.08914
2014,17-29 y.,male,"Yes, depending on situation",0.38900,729,2017,0.36772,0.41029
2014,17-29 y.,male,Rather not,0.28415,582,2017,0.26446,0.30384
2014,17-29 y.,male,Never,0.24937,533,2017,0.23049,0.26826
2014,17-29 y.,female,"Yes, happily",0.11129,230,2204,0.09815,0.12442
2014,17-29 y.,female,"Yes, depending on situation",0.36990,758,2204,0.34973,0.39006
2014,17-29 y.,female,Rather not,0.27288,610,2204,0.25428,0.29148
2014,17-29 y.,female,Never,0.24594,606,2204,0.22796,0.26393
2014,30-45 y.,male,"Yes, happily",0.06475,228,3533,0.05664,0.07287
2014,30-45 y.,male,"Yes, depending on situation",0.34363,1128,3533,0.32797,0.35929
2014,30-45 y.,male,Rather not,0.29085,998,3533,0.27588,0.30583
2014,30-45 y.,male,Never,0.30076,1179,3533,0.28564,0.31589
2014,30-45 y.,female,"Yes, happily",0.05481,264,4807,0.04838,0.06125
2014,30-45 y.,female,"Yes, depending on situation",0.31935,1379,4807,0.30617,0.33253
2014,30-45 y.,female,Rather not,0.30183,1405,4807,0.28885,0.31481
2014,30-45 y.,female,Never,0.32401,1759,4807,0.31078,0.33724
2014,46-65 y.,male,"Yes, happily",0.04191,176,4246,0.03588,0.04794
2014,46-65 y.,male,"Yes, depending on situation",0.28961,1260,4246,0.27597,0.30326
2014,46-65 y.,male,Rather not,0.29806,1249,4246,0.28430,0.31182
2014,46-65 y.,male,Never,0.37042,1561,4246,0.35589,0.38494
2014,46-65 y.,female,"Yes, happily",0.03493,180,4863,0.02977,0.04010
2014,46-65 y.,female,"Yes, depending on situation",0.24226,1261,4863,0.23022,0.25431
2014,46-65 y.,female,Rather not,0.31587,1524,4863,0.30281,0.32894
2014,46-65 y.,female,Never,0.40693,1898,4863,0.39312,0.42074
2014,66 and older,male,"Yes, happily",0.01985,50,2355,0.01422,0.02549
2014,66 and older,male,"Yes, depending on situation",0.17082,405,2355,0.15562,0.18602
2014,66 and older,male,Rather not,0.25030,579,2355,0.23280,0.26780
2014,66 and older,male,Never,0.55903,1321,2355,0.53897,0.57908
2014,66 and older,female,"Yes, happily",0.01972,51,2456,0.01422,0.02522
2014,66 and older,female,"Yes, depending on situation",0.12298,323,2456,0.10999,0.13597
2014,66 and older,female,Rather not,0.21899,528,2456,0.20263,0.23535
2014,66 and older,female,Never,0.63831,1554,2456,0.61931,0.65732
2019,17-29 y.,male,"Yes, happily",0.08782,170,1795,0.07472,0.10092
2019,17-29 y.,male,"Yes, depending on situation",0.34510,617,1795,0.32310,0.36710
2019,17-29 y.,male,Rather not,0.32258,564,1795,0.30095,0.34421
2019,17-29 y.,male,Never,0.24450,444,1795,0.22461,0.26439
2019,17-29 y.,female,"Yes, happily",0.09592,183,1903,0.08269,0.10916
2019,17-29 y.,female,"Yes, depending on situation",0.33701,679,1903,0.31577,0.35826
2019,17-29 y.,female,Rather not,0.34024,607,1903,0.31895,0.36154
2019,17-29 y.,female,Never,0.22682,434,1903,0.20800,0.24564
2019,30-45 y.,male,"Yes, happily",0.09635,208,2652,0.08512,0.10759
2019,30-45 y.,male,"Yes, depending on situation",0.31773,834,2652,0.30001,0.33546
2019,30-45 y.,male,Rather not,0.29653,773,2652,0.27915,0.31392
2019,30-45 y.,male,Never,0.28938,837,2652,0.27212,0.30664
2019,30-45 y.,female,"Yes, happily",0.06992,219,3512,0.06148,0.07835
2019,30-45 y.,female,"Yes, depending on situation",0.27140,960,3512,0.25669,0.28611
2019,30-45 y.,female,Rather not,0.28905,1000,3512,0.27406,0.30405
2019,30-45 y.,female,Never,0.36963,1333,3512,0.35367,0.38560
2019,46-65 y.,male,"Yes, happily",0.06593,333,4956,0.05902,0.07284
2019,46-65 y.,male,"Yes, depending on situation",0.28833,1555,4956,0.27572,0.30094
2019,46-65 y.,male,Rather not,0.28561,1336,4956,0.27303,0.29818
2019,46-65 y.,male,Never,0.36013,1732,4956,0.34676,0.37350
2019,46-65 y.,female,"Yes, happily",0.04783,268,5204,0.04203,0.05362
2019,46-65 y.,female,"Yes, depending on situation",0.25358,1418,5204,0.24175,0.26540
2019,46-65 y.,female,Rather not,0.30709,1558,5204,0.29455,0.31962
2019,46-65 y.,female,Never,0.39151,1960,5204,0.37825,0.40477
2019,66 and older,male,"Yes, happily",0.02206,73,2557,0.01637,0.02776
2019,66 and older,male,"Yes, depending on situation",0.17822,506,2557,0.16338,0.19306
2019,66 and older,male,Rather not,0.26589,660,2557,0.24876,0.28302
2019,66 and older,male,Never,0.53383,1318,2557,0.51449,0.55317
2019,66 and older,female,"Yes, happily",0.02018,51,2496,0.01467,0.02570
2019,66 and older,female,"Yes, depending on situation",0.13857,399,2496,0.12501,0.15212
2019,66 and older,female,Rather not,0.23840,607,2496,0.22168,0.25512
2019,66 and older,female,Never,0.60285,1439,2496,0.58365,0.62205
