year,migback,sex,plj0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,No migration background,male,"Yes, happily",0.06311,278,4200,0.05576,0.07047
2009,No migration background,male,"Yes, depending on situation",0.41935,1858,4200,0.40442,0.43427
2009,No migration background,male,Rather not,0.34012,1407,4200,0.32579,0.35445
2009,No migration background,male,Never,0.17742,657,4200,0.16586,0.18897
2009,No migration background,female,"Yes, happily",0.06598,268,4418,0.05866,0.07330
2009,No migration background,female,"Yes, depending on situation",0.38923,1820,4418,0.37485,0.40361
2009,No migration background,female,Rather not,0.35796,1570,4418,0.34382,0.37210
2009,No migration background,female,Never,0.18683,760,4418,0.17534,0.19833
2009,Direct migration background,male,"Yes, depending on situation",0.22028,98,415,0.18036,0.26020
2009,Direct migration background,male,Rather not,0.37378,161,415,0.32718,0.42039
2009,Direct migration background,male,Never,0.35703,156,415,0.31088,0.40318
2009,Direct migration background,female,"Yes, depending on situation",0.22617,114,457,0.18777,0.26457
2009,Direct migration background,female,Rather not,0.37644,167,457,0.33197,0.42091
2009,Direct migration background,female,Never,0.37609,176,457,0.33163,0.42055
2009,Indirect migration background,male,"Yes, depending on situation",0.25357,83,233,0.19759,0.30956
2009,Indirect migration background,male,Rather not,0.46277,93,233,0.39860,0.52693
2009,Indirect migration background,male,Never,0.24450,57,233,0.18919,0.29980
2009,Indirect migration background,female,"Yes, depending on situation",0.29154,77,243,0.23428,0.34880
2009,Indirect migration background,female,Rather not,0.41239,92,243,0.35036,0.47441
2009,Indirect migration background,female,Never,0.27035,74,243,0.21439,0.32631
2014,No migration background,male,"Yes, happily",0.04948,456,9036,0.04501,0.05395
2014,No migration background,male,"Yes, depending on situation",0.30239,2719,9036,0.29292,0.31186
2014,No migration background,male,Rather not,0.28462,2585,9036,0.27532,0.29392
2014,No migration background,male,Never,0.36351,3276,9036,0.35359,0.37343
2014,No migration background,female,"Yes, happily",0.04742,534,10633,0.04338,0.05146
2014,No migration background,female,"Yes, depending on situation",0.25685,2941,10633,0.24854,0.26515
2014,No migration background,female,Rather not,0.28591,3083,10633,0.27732,0.29450
2014,No migration background,female,Never,0.40982,4075,10633,0.40047,0.41917
2014,Direct migration background,male,"Yes, happily",0.03730,120,2328,0.02960,0.04500
2014,Direct migration background,male,"Yes, depending on situation",0.24366,554,2328,0.22622,0.26111
2014,Direct migration background,male,Rather not,0.27380,602,2328,0.25568,0.29192
2014,Direct migration background,male,Never,0.44524,1052,2328,0.42505,0.46543
2014,Direct migration background,female,"Yes, happily",0.03766,137,2822,0.03063,0.04468
2014,Direct migration background,female,"Yes, depending on situation",0.20113,576,2822,0.18634,0.21592
2014,Direct migration background,female,Rather not,0.24671,728,2822,0.23080,0.26262
2014,Direct migration background,female,Never,0.51451,1381,2822,0.49606,0.53295
2014,Indirect migration background,male,"Yes, happily",0.07011,51,787,0.05226,0.08796
2014,Indirect migration background,male,"Yes, depending on situation",0.30252,249,787,0.27041,0.33463
2014,Indirect migration background,male,Rather not,0.29020,221,787,0.25847,0.32193
2014,Indirect migration background,male,Never,0.33717,266,787,0.30412,0.37022
2014,Indirect migration background,female,"Yes, happily",0.07444,54,875,0.05704,0.09184
2014,Indirect migration background,female,"Yes, depending on situation",0.24610,204,875,0.21754,0.27466
2014,Indirect migration background,female,Rather not,0.29016,256,875,0.26007,0.32025
2014,Indirect migration background,female,Never,0.38929,361,875,0.35697,0.42162
2019,No migration background,male,"Yes, happily",0.06923,629,9487,0.06413,0.07434
2019,No migration background,male,"Yes, depending on situation",0.29078,2920,9487,0.28165,0.29992
2019,No migration background,male,Rather not,0.28926,2634,9487,0.28013,0.29838
2019,No migration background,male,Never,0.35073,3304,9487,0.34112,0.36033
2019,No migration background,female,"Yes, happily",0.05355,567,10155,0.04918,0.05793
2019,No migration background,female,"Yes, depending on situation",0.25119,2810,10155,0.24276,0.25963
2019,No migration background,female,Rather not,0.29055,2970,10155,0.28172,0.29938
2019,No migration background,female,Never,0.40470,3808,10155,0.39515,0.41425
2019,Direct migration background,male,"Yes, happily",0.06398,107,1742,0.05249,0.07548
2019,Direct migration background,male,"Yes, depending on situation",0.23021,372,1742,0.21043,0.24998
2019,Direct migration background,male,Rather not,0.27299,487,1742,0.25206,0.29391
2019,Direct migration background,male,Never,0.43282,776,1742,0.40955,0.45610
2019,Direct migration background,female,"Yes, happily",0.04108,95,2156,0.03270,0.04946
2019,Direct migration background,female,"Yes, depending on situation",0.18190,458,2156,0.16561,0.19819
2019,Direct migration background,female,Rather not,0.26436,551,2156,0.24574,0.28298
2019,Direct migration background,female,Never,0.51265,1052,2156,0.49155,0.53376
2019,Indirect migration background,male,"Yes, happily",0.04780,48,731,0.03232,0.06328
2019,Indirect migration background,male,"Yes, depending on situation",0.25967,220,731,0.22786,0.29147
2019,Indirect migration background,male,Rather not,0.33448,212,731,0.30025,0.36870
2019,Indirect migration background,male,Never,0.35805,251,731,0.32327,0.39283
2019,Indirect migration background,female,"Yes, happily",0.07141,59,804,0.05360,0.08922
2019,Indirect migration background,female,"Yes, depending on situation",0.22939,188,804,0.20031,0.25847
2019,Indirect migration background,female,Rather not,0.34211,251,804,0.30929,0.37492
2019,Indirect migration background,female,Never,0.35710,306,804,0.32396,0.39024
