year,sex,plj0045,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,male,"Yes, happily",0.05984,308,4878,0.05318,0.06650
2009,male,"Yes, depending on situation",0.38436,2039,4878,0.37070,0.39801
2009,male,Rather not,0.35209,1661,4878,0.33869,0.36550
2009,male,Never,0.20371,870,4878,0.19241,0.21502
2009,female,"Yes, happily",0.05768,288,5138,0.05131,0.06406
2009,female,"Yes, depending on situation",0.36220,2011,5138,0.34905,0.37534
2009,female,Rather not,0.36389,1829,5138,0.35073,0.37704
2009,female,Never,0.21623,1010,5138,0.20497,0.22749
2014,male,"Yes, happily",0.04886,627,12151,0.04503,0.05269
2014,male,"Yes, depending on situation",0.29405,3522,12151,0.28595,0.30215
2014,male,Rather not,0.28338,3408,12151,0.27537,0.29140
2014,male,Never,0.37371,4594,12151,0.36510,0.38231
2014,female,"Yes, happily",0.04721,725,14330,0.04374,0.05069
2014,female,"Yes, depending on situation",0.24837,3721,14330,0.24129,0.25544
2014,female,Rather not,0.28046,4067,14330,0.27311,0.28782
2014,female,Never,0.42396,5817,14330,0.41587,0.43205
2019,male,"Yes, happily",0.06709,784,11960,0.06261,0.07157
2019,male,"Yes, depending on situation",0.27977,3512,11960,0.27173,0.28782
2019,male,Rather not,0.28970,3333,11960,0.28157,0.29783
2019,male,Never,0.36343,4331,11960,0.35481,0.37205
2019,female,"Yes, happily",0.05264,721,13115,0.04882,0.05646
2019,female,"Yes, depending on situation",0.23924,3456,13115,0.23194,0.24654
2019,female,Rather not,0.28943,3772,13115,0.28167,0.29719
2019,female,Never,0.41869,5166,13115,0.41025,0.42713
