year,regtyp,hgeqpnrj,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Urban regions,Yes,0.01094,104,6538,0.00842,0.01347
2009,Urban regions,No,0.95281,6434,6538,0.94767,0.95795
2009,Rural regions,Yes,0.02830,109,3386,0.02271,0.03388
2009,Rural regions,No,0.92829,3277,3386,0.91960,0.93698
2010,Urban regions,Yes,0.01421,211,9010,0.01177,0.01666
2010,Urban regions,No,0.96896,8799,9010,0.96538,0.97254
2010,Rural regions,Yes,0.02889,181,4688,0.02410,0.03369
2010,Rural regions,No,0.95841,4507,4688,0.95270,0.96413
2011,Urban regions,Yes,0.02019,303,10721,0.01752,0.02285
2011,Urban regions,No,0.97508,10418,10721,0.97213,0.97803
2011,Rural regions,Yes,0.03324,236,5827,0.02864,0.03785
2011,Rural regions,No,0.95865,5591,5827,0.95354,0.96376
2012,Urban regions,Yes,0.02350,322,10427,0.02060,0.02641
2012,Urban regions,No,0.97261,10105,10427,0.96948,0.97575
2012,Rural regions,Yes,0.03321,217,5847,0.02862,0.03780
2012,Rural regions,No,0.96356,5630,5847,0.95875,0.96836
2013,Urban regions,Yes,0.02341,334,11844,0.02069,0.02613
2013,Urban regions,No,0.97564,11510,11844,0.97286,0.97842
2013,Rural regions,Yes,0.03394,235,6016,0.02936,0.03851
2013,Rural regions,No,0.96539,5781,6016,0.96077,0.97001
2014,Urban regions,Yes,0.02894,352,10391,0.02572,0.03216
2014,Urban regions,No,0.96916,10039,10391,0.96584,0.97248
2014,Rural regions,Yes,0.04252,250,5423,0.03715,0.04790
2014,Rural regions,No,0.95667,5173,5423,0.95125,0.96209
2015,Urban regions,Yes,0.02559,322,10366,0.02255,0.02863
2015,Urban regions,No,0.97192,10044,10366,0.96874,0.97510
2015,Rural regions,Yes,0.03948,247,5372,0.03427,0.04469
2015,Rural regions,No,0.95842,5125,5372,0.95308,0.96376
2016,Urban regions,Yes,0.02848,303,9367,0.02511,0.03185
2016,Urban regions,No,0.96452,9064,9367,0.96078,0.96827
2016,Rural regions,Yes,0.04220,228,4919,0.03658,0.04782
2016,Rural regions,No,0.94980,4691,4919,0.94370,0.95590
2017,Urban regions,Yes,0.03282,381,10224,0.02937,0.03628
2017,Urban regions,No,0.95864,9843,10224,0.95478,0.96250
2017,Rural regions,Yes,0.04568,279,5422,0.04012,0.05124
2017,Rural regions,No,0.94468,5143,5422,0.93860,0.95077
2018,Urban regions,Yes,0.03329,374,10153,0.02980,0.03678
2018,Urban regions,No,0.95586,9779,10153,0.95187,0.95986
2018,Rural regions,Yes,0.05142,270,5265,0.04546,0.05739
2018,Rural regions,No,0.93937,4995,5265,0.93292,0.94582
2019,Urban regions,Yes,0.02860,317,8231,0.02500,0.03220
2019,Urban regions,No,0.87509,7914,8231,0.86795,0.88224
2019,Rural regions,Yes,0.04720,243,4373,0.04092,0.05349
2019,Rural regions,No,0.86398,4130,4373,0.85382,0.87414
2020,Urban regions,Yes,0.02784,384,10935,0.02475,0.03092
2020,Urban regions,No,0.95540,10551,10935,0.95153,0.95927
2020,Rural regions,Yes,0.04911,297,5264,0.04327,0.05495
2020,Rural regions,No,0.94054,4967,5264,0.93415,0.94693
2021,Urban regions,Yes,0.02603,250,6594,0.02218,0.02987
2021,Urban regions,No,0.84992,6344,6594,0.84130,0.85854
2021,Rural regions,Yes,0.04888,192,3326,0.04155,0.05621
2021,Rural regions,No,0.85719,3134,3326,0.84530,0.86909
2022,Urban regions,Yes,0.04297,736,13099,0.03950,0.04645
2022,Urban regions,No,0.94160,12363,13099,0.93758,0.94562
2022,Rural regions,Yes,0.06880,499,6057,0.06243,0.07518
2022,Rural regions,No,0.92212,5558,6057,0.91537,0.92887
