year,hhtyp,quintil_oecd_hh,hgeqpnrj,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Single-person household,1st Quintile,No,0.95829,751,751,0.94398,0.97260
2009,Single-person household,2nd Quintile,No,0.96284,539,539,0.94685,0.97882
2009,Single-person household,3rd Quintile,No,0.96920,531,531,0.95450,0.98391
2009,Single-person household,4th Quintile,No,0.95161,460,460,0.93197,0.97124
2009,Single-person household,5th Quintile,No,0.96735,477,477,0.95138,0.98331
2009,Couple without children,1st Quintile,No,0.93648,361,361,0.91129,0.96168
2009,Couple without children,2nd Quintile,No,0.96506,593,593,0.95026,0.97985
2009,Couple without children,3rd Quintile,No,0.95347,595,595,0.93653,0.97041
2009,Couple without children,4th Quintile,No,0.92778,720,720,0.90886,0.94670
2009,Couple without children,5th Quintile,Yes,0.04277,50,1169,0.03117,0.05438
2009,Couple without children,5th Quintile,No,0.91159,1119,1169,0.89530,0.92787
2009,Single parent,1st Quintile,No,0.96095,248,248,0.93680,0.98511
2009,Single parent,2nd Quintile,No,0.93019,137,137,0.88736,0.97302
2009,Single parent,3rd Quintile,No,0.97611,103,103,0.94647,1.00574
2009,Single parent,4th Quintile,No,0.98576,77,77,0.95911,1.01240
2009,Single parent,5th Quintile,No,0.89003,47,47,0.79962,0.98044
2009,Couple with children,1st Quintile,No,0.96670,360,360,0.94814,0.98526
2009,Couple with children,2nd Quintile,No,0.94566,531,531,0.92636,0.96496
2009,Couple with children,3rd Quintile,No,0.92107,618,618,0.89979,0.94234
2009,Couple with children,4th Quintile,Yes,0.04387,33,699,0.02868,0.05906
2009,Couple with children,4th Quintile,No,0.90697,666,699,0.88542,0.92852
2009,Couple with children,5th Quintile,Yes,0.04578,45,690,0.03017,0.06138
2009,Couple with children,5th Quintile,No,0.90176,645,690,0.87953,0.92398
2010,Single-person household,1st Quintile,No,0.97176,706,706,0.95953,0.98399
2010,Single-person household,2nd Quintile,No,0.98916,545,545,0.98046,0.99786
2010,Single-person household,3rd Quintile,No,0.98078,493,493,0.96865,0.99291
2010,Single-person household,4th Quintile,No,0.97138,453,453,0.95601,0.98675
2010,Single-person household,5th Quintile,No,0.97455,444,444,0.95989,0.98922
2010,Couple without children,1st Quintile,No,0.98158,328,328,0.96701,0.99615
2010,Couple without children,2nd Quintile,No,0.98049,568,568,0.96910,0.99187
2010,Couple without children,3rd Quintile,No,0.98642,595,595,0.97711,0.99573
2010,Couple without children,4th Quintile,No,0.94454,697,697,0.92754,0.96154
2010,Couple without children,5th Quintile,Yes,0.04155,45,1119,0.02985,0.05325
2010,Couple without children,5th Quintile,No,0.92978,1074,1119,0.91480,0.94475
2010,Single parent,1st Quintile,No,0.99405,880,880,0.98897,0.99913
2010,Single parent,2nd Quintile,No,0.98343,415,415,0.97114,0.99573
2010,Single parent,3rd Quintile,No,0.96200,265,265,0.93894,0.98507
2010,Single parent,4th Quintile,No,0.99344,161,161,0.98094,1.00595
2010,Couple with children,1st Quintile,No,0.98682,1144,1144,0.98020,0.99343
2010,Couple with children,2nd Quintile,Yes,0.02239,46,1330,0.01443,0.03034
2010,Couple with children,2nd Quintile,No,0.96058,1284,1330,0.95012,0.97104
2010,Couple with children,3rd Quintile,Yes,0.03209,66,1134,0.02183,0.04235
2010,Couple with children,3rd Quintile,No,0.96079,1068,1134,0.94949,0.97209
2010,Couple with children,4th Quintile,Yes,0.05142,73,1068,0.03817,0.06467
2010,Couple with children,4th Quintile,No,0.93434,995,1068,0.91948,0.94920
2010,Couple with children,5th Quintile,Yes,0.07547,69,996,0.05906,0.09188
