year,sampreg,pet_horse,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,West,Yes,0.01166,110,8837,0.00942,0.01389
2001,West,No,0.98834,8727,8837,0.98611,0.99058
2001,East,No,0.99198,2819,2819,0.98868,0.99527
2006,West,Yes,0.01179,123,9337,0.00960,0.01398
2006,West,No,0.98821,9214,9337,0.98602,0.99040
2006,East,Yes,0.00931,31,2928,0.00583,0.01278
2006,East,No,0.99069,2897,2928,0.98722,0.99417
2011,West,Yes,0.01042,108,9192,0.00835,0.01250
2011,West,No,0.91187,9084,9192,0.90608,0.91767
2011,East,No,0.92101,2866,2866,0.91113,0.93089
2016,West,Yes,0.01184,132,11228,0.00984,0.01384
2016,West,No,0.98289,11096,11228,0.98049,0.98529
2016,East,No,0.98816,3044,3044,0.98431,0.99200
2021,West,Yes,0.01378,127,8665,0.01132,0.01623
2021,West,No,0.97457,8538,8665,0.97125,0.97788
2021,East,No,0.98389,2372,2372,0.97883,0.98896
