,Unnamed: 0,year,regtyp,rentown,pet_horse,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2001,Urban regions,Owner,Yes,0.01546,47,11644,0.01314,0.01775
1,1,2001,Urban regions,Owner,No,0.98454,3091,11644,0.96657,1.003
2,2,2001,Urban regions,Tenant,No,1.0,4611,11644,0.9823,1.01696
3,3,2001,Rural regions,Owner,Yes,0.02374,51,11644,0.02084,0.02699
4,4,2001,Rural regions,Owner,No,0.97626,2078,11644,0.94937,0.99619
5,5,2001,Rural regions,Tenant,No,1.0,1766,11644,0.97431,1.02921
6,6,2006,Urban regions,Owner,Yes,0.01306,53,12228,0.01045,0.01683
7,7,2006,Urban regions,Owner,No,0.98694,3642,12228,0.95844,1.0084
8,8,2006,Urban regions,Tenant,No,1.0,4433,12228,0.9828,1.02439
9,9,2006,Rural regions,Owner,Yes,0.03215,66,12228,0.02596,0.03867
10,10,2006,Rural regions,Owner,No,0.96785,2242,12228,0.93969,1.00397
11,11,2006,Rural regions,Tenant,No,1.0,1792,12228,0.96792,1.03188
12,12,2011,Urban regions,Owner,Yes,0.00865,40,12042,0.00642,0.01096
13,13,2011,Urban regions,Owner,No,0.99135,3547,12042,0.96782,1.01977
14,14,2011,Urban regions,Tenant,No,1.0,4242,12042,0.97667,1.02778
15,15,2011,Rural regions,Owner,Yes,0.02793,52,12042,0.02145,0.03453
16,16,2011,Rural regions,Owner,No,0.97207,2305,12042,0.93001,1.0117
17,17,2011,Rural regions,Tenant,No,1.0,1856,12042,0.96103,1.03717
18,18,2016,Urban regions,Owner,Yes,0.01228,58,14259,0.00862,0.01604
19,19,2016,Urban regions,Owner,No,0.98772,3707,14259,0.95115,1.01396
20,20,2016,Urban regions,Tenant,No,1.0,5574,14259,0.97285,1.02834
21,21,2016,Rural regions,Owner,Yes,0.02715,62,14259,0.01848,0.03466
22,22,2016,Rural regions,Owner,No,0.97285,2475,14259,0.93024,1.01495
23,23,2016,Rural regions,Tenant,No,1.0,2383,14259,0.95422,1.05101
24,24,2021,Urban regions,Owner,Yes,0.01474,54,11015,0.01082,0.02035
25,25,2021,Urban regions,Owner,No,0.98526,3067,11015,0.9449,1.02807
26,26,2021,Urban regions,Tenant,No,1.0,4252,11015,0.96371,1.03906
27,27,2021,Rural regions,Owner,Yes,0.03008,56,11015,0.02078,0.04002
28,28,2021,Rural regions,Owner,No,0.96992,1903,11015,0.91973,1.02183
29,29,2021,Rural regions,Tenant,No,1.0,1683,11015,0.94349,1.0647
