year,hhtyp,pet_horse,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Single-person household,No,0.99527,2912,2912,0.99278,0.99776
2001,Couple without children,No,0.99098,3559,3559,0.98788,0.99409
2001,Single parent,No,0.99179,700,700,0.98510,0.99848
2001,Couple with children,Yes,0.02232,81,4175,0.01784,0.02680
2001,Couple with children,No,0.97768,4094,4175,0.97320,0.98216
2001,Multi-generational household,No,0.97891,156,156,0.95629,1.00153
2006,Single-person household,No,0.99519,3271,3271,0.99282,0.99756
2006,Couple without children,Yes,0.01097,39,4158,0.00780,0.01414
2006,Couple without children,No,0.98903,4119,4158,0.98586,0.99220
2006,Single parent,No,0.99434,766,766,0.98903,0.99966
2006,Couple with children,Yes,0.02265,89,3837,0.01794,0.02736
2006,Couple with children,No,0.97735,3748,3837,0.97264,0.98206
2006,Multi-generational household,No,0.95608,103,103,0.91631,0.99585
2006,Other Combinations,No,0.98626,104,104,0.96378,1.00874
2011,Single-person household,No,0.99243,3489,3489,0.98956,0.99531
2011,Couple without children,Yes,0.01029,45,4371,0.00729,0.01328
2011,Couple without children,No,0.98943,4326,4371,0.98639,0.99246
2011,Single parent,No,0.51483,776,776,0.47964,0.55002
2011,Couple with children,Yes,0.01567,58,3240,0.01139,0.01995
2011,Couple with children,No,0.77871,3182,3240,0.76441,0.79300
2011,Multi-generational household,No,0.82756,83,83,0.74580,0.90933
2011,Other Combinations,No,0.94966,94,94,0.90523,0.99410
2016,Single-person household,No,0.99025,3375,3375,0.98693,0.99356
2016,Couple without children,Yes,0.01341,43,4097,0.00989,0.01694
2016,Couple without children,No,0.98581,4054,4097,0.98219,0.98943
2016,Single parent,No,0.97752,1509,1509,0.97003,0.98500
2016,Couple with children,Yes,0.01783,86,4990,0.01416,0.02150
2016,Couple with children,No,0.97460,4904,4990,0.97023,0.97896
2016,Multi-generational household,No,0.91355,105,105,0.85954,0.96756
2016,Other Combinations,No,0.94109,193,193,0.90779,0.97440
2021,Single-person household,No,0.98322,3170,3170,0.97875,0.98769
2021,Couple without children,Yes,0.01451,40,3414,0.01050,0.01852
2021,Couple without children,No,0.98344,3374,3414,0.97916,0.98772
2021,Single parent,No,0.96295,881,881,0.95047,0.97543
2021,Couple with children,Yes,0.01975,67,3162,0.01490,0.02460
2021,Couple with children,No,0.95740,3095,3162,0.95036,0.96444
2021,Multi-generational household,No,0.97704,73,73,0.94244,1.01164
2021,Other Combinations,No,0.95231,259,259,0.92631,0.97832
