,Unnamed: 0,year,hhtyp,rentown,pet_horse,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2001,Single-person household,Owner,No,1.0,769,11607,0.9658,1.03175
1,1,2001,Single-person household,Tenant,No,1.0,2143,11607,0.97927,1.01907
2,2,2001,Couple without children,Owner,No,1.0,1756,11607,0.97663,1.02612
3,3,2001,Couple without children,Tenant,No,1.0,1803,11607,0.96842,1.03193
4,4,2001,Single parent,Owner,No,1.0,187,11607,0.9043,1.09407
5,5,2001,Single parent,Tenant,No,1.0,513,11607,0.95268,1.04196
6,6,2001,Couple with children,Owner,Yes,0.02962,61,11607,0.02554,0.03399
7,7,2001,Couple with children,Owner,No,0.97038,2278,11607,0.95104,0.99533
8,8,2001,Couple with children,Tenant,No,1.0,1816,11607,0.96621,1.02882
9,9,2001,Multi-generational household,Owner,No,1.0,113,11607,0.91043,1.10496
10,10,2001,Multi-generational household,Tenant,No,1.0,43,11607,0.78746,1.178
11,11,2001,Other Combinations,Owner,No,1.0,66,11607,0.87835,1.13965
12,12,2001,Other Combinations,Tenant,No,1.0,59,11607,0.82071,1.15056
13,13,2006,Single-person household,Owner,No,1.0,948,12160,0.96228,1.0345
14,14,2006,Single-person household,Tenant,No,1.0,2322,12160,0.97519,1.02161
15,15,2006,Couple without children,Owner,No,1.0,2282,12160,0.96898,1.03393
16,16,2006,Couple without children,Tenant,No,1.0,1837,12160,0.97212,1.03409
17,17,2006,Single parent,Owner,No,1.0,220,12160,0.91061,1.09711
18,18,2006,Single parent,Tenant,No,1.0,546,12160,0.94772,1.04733
19,19,2006,Couple with children,Owner,Yes,0.03795,78,12160,0.03088,0.04424
20,20,2006,Couple with children,Owner,No,0.96205,2297,12160,0.9243,0.99694
21,21,2006,Couple with children,Tenant,No,1.0,1450,12160,0.95671,1.04109
22,22,2006,Multi-generational household,Owner,No,1.0,76,12160,0.78936,1.22981
23,23,2006,Other Combinations,Owner,No,1.0,61,12160,0.81858,1.23563
24,24,2006,Other Combinations,Tenant,No,1.0,43,12160,0.70143,1.32334
25,25,2011,Single-person household,Owner,No,1.0,1067,11972,0.96731,1.03815
26,26,2011,Single-person household,Tenant,No,1.0,2422,11972,0.97651,1.02518
27,27,2011,Couple without children,Owner,No,1.0,2484,11972,0.96427,1.03784
28,28,2011,Couple without children,Tenant,No,1.0,1842,11972,0.96554,1.04158
29,29,2011,Single parent,Owner,No,1.0,218,11972,0.8965,1.10585
30,30,2011,Single parent,Tenant,No,1.0,558,11972,0.91152,1.0829
31,31,2011,Couple with children,Owner,Yes,0.02772,48,11972,0.02048,0.03423
32,32,2011,Couple with children,Owner,No,0.97228,1982,11972,0.9295,1.01197
33,33,2011,Couple with children,Tenant,No,1.0,1200,11972,0.93239,1.07311
34,34,2011,Multi-generational household,Owner,No,1.0,57,11972,0.73523,1.22578
35,35,2011,Other Combinations,Owner,No,1.0,44,11972,0.72008,1.30218
36,36,2011,Other Combinations,Tenant,No,1.0,50,11972,0.80976,1.2431
37,37,2016,Single-person household,Owner,No,1.0,926,14208,0.95593,1.04156
38,38,2016,Single-person household,Tenant,No,1.0,2448,14208,0.96837,1.02772
39,39,2016,Couple without children,Owner,No,1.0,2192,14208,0.96278,1.03767
40,40,2016,Couple without children,Tenant,No,1.0,1862,14208,0.95275,1.05935
41,41,2016,Single parent,Owner,No,1.0,371,14208,0.89225,1.12022
42,42,2016,Single parent,Tenant,No,1.0,1138,14208,0.93137,1.06781
43,43,2016,Couple with children,Owner,Yes,0.02406,69,14208,0.01769,0.03198
44,44,2016,Couple with children,Owner,No,0.97594,2593,14208,0.92783,1.02586
45,45,2016,Couple with children,Tenant,No,1.0,2311,14208,0.94808,1.05891
46,46,2016,Multi-generational household,Owner,No,1.0,49,14208,0.69782,1.2764
47,47,2016,Multi-generational household,Tenant,No,1.0,56,14208,0.6602,1.33555
48,48,2016,Other Combinations,Owner,No,1.0,51,14208,0.6862,1.3092
49,49,2016,Other Combinations,Tenant,No,1.0,142,14208,0.83651,1.17046
50,50,2021,Single-person household,Owner,No,1.0,855,10861,0.94682,1.06794
51,51,2021,Single-person household,Tenant,No,1.0,2320,10861,0.95746,1.04057
52,52,2021,Couple without children,Owner,No,1.0,1890,10861,0.95306,1.04616
53,53,2021,Couple without children,Tenant,No,1.0,1468,10861,0.92547,1.05832
54,54,2021,Single parent,Owner,No,1.0,237,10861,0.86296,1.14477
55,55,2021,Single parent,Tenant,No,1.0,642,10861,0.90241,1.10041
56,56,2021,Couple with children,Owner,Yes,0.02652,57,10861,0.01823,0.03695
57,57,2021,Couple with children,Owner,No,0.97348,1815,10861,0.91144,1.04155
58,58,2021,Couple with children,Tenant,No,1.0,1255,10861,0.93181,1.07773
59,59,2021,Multi-generational household,Owner,No,1.0,40,10861,0.68028,1.3781
60,60,2021,Multi-generational household,Tenant,No,1.0,34,10861,0.5088,1.60109
61,61,2021,Other Combinations,Owner,No,1.0,102,10861,0.78428,1.25065
62,62,2021,Other Combinations,Tenant,No,1.0,146,10861,0.80868,1.25286
