,Unnamed: 0,year,pet_horse,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2001,Yes,0.01098,134,11680,0.00986,0.01203
1,1,2001,No,0.98902,11546,11680,0.97885,0.99762
2,2,2006,Yes,0.01133,154,12265,0.00967,0.013
3,3,2006,No,0.98867,12111,12265,0.97498,1.00172
4,4,2011,Yes,0.01074,134,12084,0.00898,0.01271
5,5,2011,No,0.98926,11950,12084,0.97475,1.00619
6,6,2016,Yes,0.01088,162,14302,0.00838,0.01314
7,7,2016,No,0.98912,14140,14302,0.97169,1.00317
8,8,2021,Yes,0.01276,146,11056,0.01041,0.01491
9,9,2021,No,0.98724,10910,11056,0.96609,1.00934
