year,bula_h,hhtyp,pet_horse,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Schleswig-Holstein,Single-person household,No,0.98594,94,94,0.96202,1.00987
2001,Schleswig-Holstein,Couple without children,No,0.98914,126,126,0.97097,1.00731
2001,Schleswig-Holstein,Couple with children,No,0.93921,106,106,0.89351,0.98492
2001,Hamburg,Couple without children,No,0.96240,42,42,0.90416,1.02063
2001,Hamburg,Couple with children,No,0.96157,36,36,0.89788,1.02526
2001,Lower Saxony,Single-person household,No,0.98295,198,198,0.96487,1.00103
2001,Lower Saxony,Couple without children,No,0.97846,304,304,0.96211,0.99480
2001,Lower Saxony,Couple with children,No,0.95487,349,349,0.93306,0.97668
2001,North Rhine-Westphalia,Single-person household,No,0.99854,602,602,0.99549,1.00159
2001,North Rhine-Westphalia,Couple without children,No,0.99858,794,794,0.99596,1.00120
2001,North Rhine-Westphalia,Single parent,No,0.99423,130,130,0.98116,1.00730
2001,North Rhine-Westphalia,Couple with children,No,0.98339,885,885,0.97496,0.99181
2001,Hesse,Single-person household,No,0.99628,179,179,0.98733,1.00522
2001,Hesse,Couple without children,No,0.99693,251,251,0.99006,1.00379
2001,Hesse,Couple with children,No,0.98586,287,287,0.97217,0.99954
2001,"Rhineland-Palatinate, Saarland",Single-person household,No,0.99465,163,163,0.98342,1.00588
2001,"Rhineland-Palatinate, Saarland",Couple without children,No,0.99776,202,202,0.99123,1.00429
2001,"Rhineland-Palatinate, Saarland",Couple with children,No,0.94782,269,269,0.92119,0.97445
2001,Baden-Wuerttemberg,Couple without children,No,0.98690,363,363,0.97518,0.99861
2001,Baden-Wuerttemberg,Single parent,No,0.98578,80,80,0.95967,1.01189
2001,Baden-Wuerttemberg,Couple with children,No,0.99230,546,546,0.98496,0.99964
2001,Bavaria,Single-person household,No,0.99186,412,412,0.98317,1.00055
2001,Bavaria,Couple without children,No,0.98646,463,463,0.97592,0.99700
2001,Bavaria,Single parent,No,0.98886,104,104,0.96860,1.00913
2001,Bavaria,Couple with children,No,0.98299,575,575,0.97241,0.99357
2001,Berlin,Couple with children,No,0.97300,131,131,0.94514,1.00086
2001,Brandenburg,Single-person household,No,0.99311,118,118,0.97812,1.00810
2001,Brandenburg,Couple without children,No,0.98651,171,171,0.96916,1.00385
2001,Brandenburg,Couple with children,No,0.97092,162,162,0.94496,0.99687
2001,Mecklenburg-Western Pomerania,Single-person household,No,0.97819,86,86,0.94713,1.00924
2001,Mecklenburg-Western Pomerania,Couple without children,No,0.94843,80,80,0.89966,0.99720
2001,Mecklenburg-Western Pomerania,Couple with children,No,0.97541,86,86,0.94249,1.00834
2001,Saxony,Single parent,No,0.97425,44,44,0.92691,1.02159
2001,Saxony,Couple with children,No,0.99427,297,297,0.98568,1.00287
2001,Saxony-Anhalt,Couple with children,No,0.97945,167,167,0.95787,1.00103
2001,Thuringa,Couple without children,No,0.99533,148,148,0.98431,1.00635
2001,Thuringa,Couple with children,No,0.99440,176,176,0.98334,1.00546
2006,Schleswig-Holstein,Couple without children,No,0.97980,147,147,0.95699,1.00262
2006,Schleswig-Holstein,Couple with children,No,0.92924,110,110,0.88110,0.97738
2006,Hamburg,Couple without children,No,0.94880,55,55,0.89002,1.00759
2006,Hamburg,Couple with children,No,0.97656,45,45,0.93186,1.02127
2006,Lower Saxony,Single-person household,No,0.97575,246,246,0.95649,0.99501
2006,Lower Saxony,Couple without children,No,0.97947,360,360,0.96480,0.99414
2006,Lower Saxony,Couple with children,No,0.94928,334,334,0.92571,0.97285
2006,North Rhine-Westphalia,Single-person household,No,0.99619,645,645,0.99143,1.00095
2006,North Rhine-Westphalia,Couple without children,No,0.99406,888,888,0.98901,0.99912
2006,North Rhine-Westphalia,Single parent,No,0.99724,150,150,0.98882,1.00566
2006,North Rhine-Westphalia,Couple with children,No,0.98766,793,793,0.97997,0.99535
2006,Hesse,Couple without children,No,0.98911,302,302,0.97738,1.00083
2006,Hesse,Couple with children,No,0.97982,255,255,0.96253,0.99711
2006,"Rhineland-Palatinate, Saarland",Couple without children,No,0.98107,213,213,0.96272,0.99941
2006,"Rhineland-Palatinate, Saarland",Single parent,No,0.99574,49,49,0.97732,1.01416
2006,"Rhineland-Palatinate, Saarland",Couple with children,No,0.96739,229,229,0.94434,0.99045
2006,Baden-Wuerttemberg,Single-person household,No,0.98828,382,382,0.97747,0.99908
2006,Baden-Wuerttemberg,Couple without children,No,0.99070,462,462,0.98194,0.99946
2006,Baden-Wuerttemberg,Couple with children,No,0.99774,503,503,0.99359,1.00189
2006,Bavaria,Single-person household,No,0.99949,434,434,0.99735,1.00162
2006,Bavaria,Couple without children,No,0.99106,561,561,0.98326,0.99885
2006,Bavaria,Single parent,No,0.97240,107,107,0.94121,1.00359
2006,Bavaria,Couple with children,No,0.97764,571,571,0.96551,0.98978
2006,Berlin,Single parent,No,0.99699,36,36,0.97885,1.01513
2006,Berlin,Couple with children,No,0.99748,109,109,0.98804,1.00693
2006,Brandenburg,Single-person household,No,0.98579,140,140,0.96612,1.00547
2006,Brandenburg,Couple without children,No,0.97334,184,184,0.95000,0.99668
2006,Brandenburg,Couple with children,No,0.97575,151,151,0.95113,1.00036
2006,Mecklenburg-Western Pomerania,Couple without children,No,0.96253,99,99,0.92493,1.00013
2006,Mecklenburg-Western Pomerania,Couple with children,No,0.95413,85,85,0.90939,0.99887
2006,Saxony,Couple without children,No,0.99796,322,322,0.99303,1.00290
2006,Saxony,Couple with children,No,0.98300,242,242,0.96667,0.99932
2006,Saxony-Anhalt,Couple with children,No,0.97723,149,149,0.95320,1.00126
2006,Thuringa,Couple with children,No,0.96879,154,154,0.94124,0.99635
