year,quintil_oecd_hh,regtyp,pet_horse,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,1st Quintile,Urban regions,No,0.99277,1426,1426,0.98837,0.99717
2001,1st Quintile,Rural regions,No,0.99129,790,790,0.98480,0.99777
2001,2nd Quintile,Urban regions,No,0.99669,1485,1485,0.99377,0.99961
2001,2nd Quintile,Rural regions,No,0.99167,958,958,0.98591,0.99743
2001,3rd Quintile,Urban regions,No,0.99071,1541,1541,0.98592,0.99550
2001,3rd Quintile,Rural regions,No,0.98453,865,865,0.97631,0.99276
2001,4th Quintile,Urban regions,No,0.99134,1601,1601,0.98679,0.99588
2001,4th Quintile,Rural regions,No,0.97276,733,733,0.96096,0.98455
2001,5th Quintile,Urban regions,No,0.98767,1662,1662,0.98237,0.99298
2001,5th Quintile,Rural regions,No,0.96581,482,482,0.94957,0.98205
2006,1st Quintile,Urban regions,No,0.99960,1329,1329,0.99852,1.00068
2006,1st Quintile,Rural regions,No,0.99006,756,756,0.98299,0.99714
2006,2nd Quintile,Urban regions,No,0.99202,1324,1324,0.98723,0.99681
2006,2nd Quintile,Rural regions,No,0.98499,877,877,0.97694,0.99304
2006,3rd Quintile,Urban regions,No,0.99487,1492,1492,0.99125,0.99850
2006,3rd Quintile,Rural regions,No,0.98001,873,873,0.97072,0.98930
2006,4th Quintile,Urban regions,No,0.99182,1666,1666,0.98750,0.99615
2006,4th Quintile,Rural regions,No,0.97837,788,788,0.96821,0.98853
2006,5th Quintile,Urban regions,Yes,0.01234,35,2318,0.00785,0.01684
2006,5th Quintile,Urban regions,No,0.98766,2283,2318,0.98316,0.99215
2006,5th Quintile,Rural regions,No,0.95336,717,717,0.93791,0.96880
2011,1st Quintile,Urban regions,No,0.86278,1384,1384,0.84465,0.88091
2011,1st Quintile,Rural regions,No,0.87116,862,862,0.84878,0.89354
2011,2nd Quintile,Urban regions,No,0.90457,1327,1327,0.88876,0.92038
2011,2nd Quintile,Rural regions,No,0.88276,900,900,0.86173,0.90379
2011,3rd Quintile,Urban regions,No,0.91922,1438,1438,0.90513,0.93331
2011,3rd Quintile,Rural regions,No,0.92445,908,908,0.90725,0.94165
2011,4th Quintile,Urban regions,No,0.94141,1619,1619,0.92996,0.95285
2011,4th Quintile,Rural regions,No,0.92246,784,784,0.90372,0.94119
2011,5th Quintile,Urban regions,Yes,0.01345,32,2064,0.00848,0.01842
2011,5th Quintile,Urban regions,No,0.95046,2032,2064,0.94110,0.95982
2011,5th Quintile,Rural regions,No,0.93850,693,693,0.92060,0.95640
2016,1st Quintile,Urban regions,No,0.97119,1983,1983,0.96383,0.97856
2016,1st Quintile,Rural regions,No,0.97323,1099,1099,0.96368,0.98278
2016,2nd Quintile,Urban regions,No,0.99750,1845,1845,0.99522,0.99978
2016,2nd Quintile,Rural regions,No,0.98953,1172,1172,0.98370,0.99536
2016,3rd Quintile,Urban regions,No,0.99113,1708,1708,0.98669,0.99558
2016,3rd Quintile,Rural regions,No,0.98472,1003,1003,0.97713,0.99232
2016,4th Quintile,Urban regions,No,0.98890,1742,1742,0.98398,0.99382
2016,4th Quintile,Rural regions,No,0.98286,886,886,0.97431,0.99141
2016,5th Quintile,Urban regions,Yes,0.01677,39,2050,0.01121,0.02233
2016,5th Quintile,Urban regions,No,0.98323,2011,2050,0.97767,0.98879
2016,5th Quintile,Rural regions,No,0.95700,686,686,0.94181,0.97219
2021,1st Quintile,Urban regions,No,0.94766,1347,1347,0.93576,0.95956
2021,1st Quintile,Rural regions,No,0.95971,682,682,0.94494,0.97448
2021,2nd Quintile,Urban regions,No,0.98740,1322,1322,0.98139,0.99342
2021,2nd Quintile,Rural regions,No,0.99207,845,845,0.98609,0.99806
2021,3rd Quintile,Urban regions,No,0.98903,1283,1283,0.98333,0.99473
2021,3rd Quintile,Rural regions,No,0.98036,711,711,0.97015,0.99056
2021,4th Quintile,Urban regions,No,0.98284,1381,1381,0.97599,0.98969
2021,4th Quintile,Rural regions,No,0.97384,667,667,0.96172,0.98596
2021,5th Quintile,Urban regions,Yes,0.01373,34,2018,0.00866,0.01881
2021,5th Quintile,Urban regions,No,0.98347,1984,2018,0.97790,0.98903
2021,5th Quintile,Rural regions,No,0.95157,668,668,0.93528,0.96786
