year,regtyp,sampreg,pet_horse,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Urban regions,West,Yes,0.00922,65,6828,0.00696,0.01149
2001,Urban regions,West,No,0.99078,6763,6828,0.98851,0.99304
2001,Rural regions,West,Yes,0.02017,45,2009,0.01402,0.02632
2001,Rural regions,West,No,0.97983,1964,2009,0.97368,0.98598
2001,Rural regions,East,No,0.98777,1864,1864,0.98278,0.99276
2006,Urban regions,West,Yes,0.00766,68,7176,0.00564,0.00968
2006,Urban regions,West,No,0.99234,7108,7176,0.99032,0.99436
2006,Urban regions,East,No,0.99953,990,990,0.99818,1.00088
2006,Rural regions,West,Yes,0.02540,55,2161,0.01877,0.03204
2006,Rural regions,West,No,0.97460,2106,2161,0.96796,0.98123
2006,Rural regions,East,No,0.98602,1907,1907,0.98075,0.99129
2011,Urban regions,West,Yes,0.00808,69,6851,0.00596,0.01021
2011,Urban regions,West,No,0.91692,6782,6851,0.91039,0.92346
2011,Urban regions,East,No,0.92189,1021,1021,0.90542,0.93836
2011,Rural regions,West,Yes,0.01764,39,2341,0.01231,0.02298
2011,Rural regions,West,No,0.89627,2302,2341,0.88391,0.90862
2011,Rural regions,East,No,0.92051,1845,1845,0.90816,0.93286
2016,Urban regions,West,Yes,0.00888,79,8255,0.00685,0.01090
2016,Urban regions,West,No,0.98571,8176,8255,0.98315,0.98827
2016,Urban regions,East,No,0.99078,1118,1118,0.98517,0.99638
2016,Rural regions,West,Yes,0.02090,53,2973,0.01576,0.02605
2016,Rural regions,West,No,0.97426,2920,2973,0.96856,0.97995
2016,Rural regions,East,No,0.98665,1926,1926,0.98152,0.99178
2021,Urban regions,West,Yes,0.01054,77,6511,0.00806,0.01302
2021,Urban regions,West,No,0.97729,6434,6511,0.97367,0.98091
2021,Urban regions,East,No,0.98083,897,897,0.97186,0.98981
2021,Rural regions,West,Yes,0.02390,50,2153,0.01745,0.03035
2021,Rural regions,West,No,0.96599,2103,2153,0.95833,0.97365
2021,Rural regions,East,No,0.98550,1475,1475,0.97940,0.99160
