,Unnamed: 0,year,hhtyp,quintil_oecd_hh,pet_horse,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2001,Single-person household,1st Quintile,No,1.0,828,11404,0.97117,1.03044
1,1,2001,Single-person household,2nd Quintile,No,1.0,623,11404,0.95928,1.03532
2,2,2001,Single-person household,3rd Quintile,No,1.0,524,11404,0.96021,1.04171
3,3,2001,Single-person household,4th Quintile,No,1.0,481,11404,0.95757,1.03849
4,4,2001,Single-person household,5th Quintile,No,1.0,454,11404,0.96305,1.04089
5,5,2001,Couple without children,1st Quintile,No,1.0,414,11404,0.94077,1.05774
6,6,2001,Couple without children,2nd Quintile,No,1.0,611,11404,0.96052,1.03919
7,7,2001,Couple without children,3rd Quintile,No,1.0,736,11404,0.95968,1.03766
8,8,2001,Couple without children,4th Quintile,No,1.0,844,11404,0.96301,1.04416
9,9,2001,Couple without children,5th Quintile,No,1.0,954,11404,0.96348,1.03805
10,10,2001,Single parent,1st Quintile,No,1.0,299,11404,0.93061,1.08707
11,11,2001,Single parent,2nd Quintile,No,1.0,168,11404,0.9005,1.09183
12,12,2001,Single parent,3rd Quintile,No,1.0,114,11404,0.9105,1.0903
13,13,2001,Single parent,4th Quintile,No,1.0,71,11404,0.86361,1.17351
14,14,2001,Single parent,5th Quintile,No,1.0,48,11404,0.83146,1.16137
15,15,2001,Couple with children,1st Quintile,No,1.0,605,11404,0.94109,1.06164
16,16,2001,Couple with children,2nd Quintile,No,1.0,983,11404,0.95928,1.04356
17,17,2001,Couple with children,3rd Quintile,No,1.0,1002,11404,0.9544,1.03516
18,18,2001,Couple with children,4th Quintile,No,1.0,874,11404,0.96457,1.04486
19,19,2001,Couple with children,5th Quintile,No,1.0,630,11404,0.9542,1.05122
20,20,2001,Multi-generational household,2nd Quintile,No,1.0,43,11404,0.83873,1.21303
21,21,2001,Multi-generational household,3rd Quintile,No,1.0,34,11404,0.81947,1.19374
22,22,2001,Multi-generational household,4th Quintile,No,1.0,33,11404,0.81385,1.27271
23,23,2001,Other Combinations,4th Quintile,No,1.0,31,11404,0.85804,1.13469
24,24,2006,Single-person household,1st Quintile,No,1.0,844,11931,0.96305,1.03603
25,25,2006,Single-person household,2nd Quintile,No,1.0,650,11931,0.96082,1.03749
26,26,2006,Single-person household,3rd Quintile,No,1.0,605,11931,0.96229,1.04136
27,27,2006,Single-person household,4th Quintile,No,1.0,577,11931,0.95183,1.05
28,28,2006,Single-person household,5th Quintile,No,1.0,590,11931,0.94514,1.04707
29,29,2006,Couple without children,1st Quintile,No,1.0,429,11931,0.92925,1.072
30,30,2006,Couple without children,2nd Quintile,No,1.0,653,11931,0.95125,1.04057
31,31,2006,Couple without children,3rd Quintile,No,1.0,769,11931,0.9453,1.05612
32,32,2006,Couple without children,4th Quintile,No,1.0,814,11931,0.95209,1.05162
33,33,2006,Couple without children,5th Quintile,No,1.0,1453,11931,0.95013,1.04935
34,34,2006,Single parent,1st Quintile,No,1.0,337,11931,0.92164,1.06968
35,35,2006,Single parent,2nd Quintile,No,1.0,160,11931,0.90887,1.10332
36,36,2006,Single parent,3rd Quintile,No,1.0,117,11931,0.87901,1.11169
37,37,2006,Single parent,4th Quintile,No,1.0,95,11931,0.87789,1.15162
38,38,2006,Single parent,5th Quintile,No,1.0,57,11931,0.76156,1.21451
39,39,2006,Couple with children,1st Quintile,No,1.0,432,11931,0.93639,1.07078
40,40,2006,Couple with children,2nd Quintile,No,1.0,702,11931,0.93779,1.06837
41,41,2006,Couple with children,3rd Quintile,No,1.0,856,11931,0.94781,1.05693
42,42,2006,Couple with children,4th Quintile,No,1.0,908,11931,0.94625,1.05249
43,43,2006,Couple with children,5th Quintile,No,1.0,850,11931,0.94559,1.06854
44,44,2006,Other Combinations,5th Quintile,No,1.0,33,11931,0.75022,1.30336
45,45,2011,Single-person household,1st Quintile,No,1.0,1019,11770,0.9648,1.04603
46,46,2011,Single-person household,2nd Quintile,No,1.0,724,11770,0.95675,1.04072
47,47,2011,Single-person household,3rd Quintile,No,1.0,643,11770,0.95176,1.04165
48,48,2011,Single-person household,4th Quintile,No,1.0,538,11770,0.94697,1.04968
49,49,2011,Single-person household,5th Quintile,No,1.0,562,11770,0.93969,1.0677
50,50,2011,Couple without children,1st Quintile,No,1.0,459,11770,0.91506,1.08235
51,51,2011,Couple without children,2nd Quintile,No,1.0,745,11770,0.94483,1.05398
52,52,2011,Couple without children,3rd Quintile,No,1.0,780,11770,0.94789,1.06618
