year,regtyp,pet_horse,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Urban regions,Yes,0.00838,65,7783,0.00635,0.01040
2001,Urban regions,No,0.99162,7718,7783,0.98960,0.99365
2001,Rural regions,Yes,0.01697,69,3897,0.01291,0.02102
2001,Rural regions,No,0.98303,3828,3897,0.97898,0.98709
2006,Urban regions,Yes,0.00698,70,8168,0.00517,0.00879
2006,Urban regions,No,0.99302,8098,8168,0.99121,0.99483
2006,Rural regions,Yes,0.02091,84,4097,0.01653,0.02529
2006,Rural regions,No,0.97909,4013,4097,0.97471,0.98347
2011,Urban regions,Yes,0.00732,70,7873,0.00544,0.00921
2011,Urban regions,No,0.91741,7803,7873,0.91133,0.92349
2011,Rural regions,Yes,0.01544,64,4211,0.01171,0.01916
2011,Rural regions,No,0.90520,4147,4211,0.89635,0.91405
2016,Urban regions,Yes,0.00832,83,9377,0.00648,0.01016
2016,Urban regions,No,0.98620,9294,9377,0.98384,0.98856
2016,Rural regions,Yes,0.01636,79,4925,0.01281,0.01990
2016,Rural regions,No,0.97873,4846,4925,0.97470,0.98276
2021,Urban regions,Yes,0.00964,78,7409,0.00742,0.01187
2021,Urban regions,No,0.97760,7331,7409,0.97423,0.98097
2021,Rural regions,Yes,0.01884,68,3646,0.01443,0.02326
2021,Rural regions,No,0.97306,3578,3646,0.96780,0.97831
