year,hhtyp,sampreg,pet_horse,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Single-person household,West,No,0.99513,2209,2209,0.99223,0.99804
2001,Single-person household,East,No,0.99587,703,703,0.99113,1.00062
2001,Couple without children,West,No,0.99081,2640,2640,0.98717,0.99445
2001,Couple without children,East,No,0.99170,919,919,0.98583,0.99757
2001,Single parent,West,No,0.99118,509,509,0.98305,0.99931
2001,Single parent,East,No,0.99405,191,191,0.98311,1.00499
2001,Couple with children,West,Yes,0.02419,68,3208,0.01888,0.02951
2001,Couple with children,West,No,0.97581,3140,3208,0.97049,0.98112
2001,Couple with children,East,No,0.98643,954,954,0.97908,0.99378
2001,Multi-generational household,West,No,0.98091,132,132,0.95748,1.00434
2006,Single-person household,West,No,0.99459,2457,2457,0.99169,0.99749
2006,Single-person household,East,No,0.99768,814,814,0.99437,1.00099
2006,Couple without children,West,Yes,0.01134,31,3132,0.00763,0.01504
2006,Couple without children,West,No,0.98866,3101,3132,0.98496,0.99237
2006,Couple without children,East,No,0.99051,1018,1018,0.98455,0.99647
2006,Single parent,West,No,0.99329,577,577,0.98662,0.99996
2006,Single parent,East,No,0.99894,189,189,0.99428,1.00359
2006,Couple with children,West,Yes,0.02240,70,2984,0.01709,0.02772
2006,Couple with children,West,No,0.97760,2914,2984,0.97228,0.98291
2006,Couple with children,East,No,0.97613,834,834,0.96577,0.98650
2006,Multi-generational household,West,No,0.95730,82,82,0.91327,1.00133
2006,Other Combinations,West,No,0.98347,83,83,0.95587,1.01107
2011,Single-person household,West,No,0.99095,2602,2602,0.98731,0.99459
2011,Single-person household,East,No,0.99866,887,887,0.99625,1.00107
2011,Couple without children,West,Yes,0.01034,34,3281,0.00687,0.01380
2011,Couple without children,West,No,0.98931,3247,3281,0.98579,0.99283
2011,Couple without children,East,No,0.98993,1079,1079,0.98397,0.99589
2011,Single parent,West,No,0.51096,578,578,0.47018,0.55175
2011,Single parent,East,No,0.53068,198,198,0.46099,0.60037
2011,Couple with children,West,Yes,0.01505,45,2566,0.01034,0.01976
2011,Couple with children,West,No,0.78152,2521,2566,0.76553,0.79751
2011,Couple with children,East,No,0.76314,661,661,0.73070,0.79557
2011,Multi-generational household,West,No,0.80883,63,63,0.71095,0.90671
2011,Other Combinations,West,No,0.93950,73,73,0.88443,0.99457
2016,Single-person household,West,No,0.98938,2523,2523,0.98538,0.99338
2016,Single-person household,East,No,0.99373,852,852,0.98843,0.99904
2016,Couple without children,West,Yes,0.01484,33,3085,0.01057,0.01910
2016,Couple without children,West,No,0.98440,3052,3085,0.98003,0.98878
2016,Couple without children,East,No,0.99223,1002,1002,0.98679,0.99767
2016,Single parent,West,No,0.98098,1176,1176,0.97316,0.98879
2016,Single parent,East,No,0.96136,333,333,0.94062,0.98209
2016,Couple with children,West,Yes,0.01860,70,4169,0.01450,0.02270
2016,Couple with children,West,No,0.97411,4099,4169,0.96929,0.97893
2016,Couple with children,East,No,0.97738,805,805,0.96710,0.98766
2016,Multi-generational household,West,No,0.89451,81,81,0.82720,0.96183
2016,Other Combinations,West,No,0.93866,165,165,0.90193,0.97538
2021,Single-person household,West,No,0.98264,2462,2462,0.97748,0.98780
2021,Single-person household,East,No,0.98581,708,708,0.97709,0.99453
2021,Couple without children,West,Yes,0.01630,35,2595,0.01143,0.02117
2021,Couple without children,West,No,0.98155,2560,2595,0.97637,0.98673
2021,Couple without children,East,No,0.99209,814,814,0.98599,0.99818
2021,Single parent,West,No,0.95610,643,643,0.94025,0.97195
2021,Single parent,East,No,0.98909,238,238,0.97587,1.00232
2021,Couple with children,West,Yes,0.02030,57,2611,0.01489,0.02571
2021,Couple with children,West,No,0.95645,2554,2611,0.94862,0.96428
2021,Couple with children,East,No,0.96323,541,541,0.94735,0.97910
2021,Multi-generational household,West,No,0.98231,57,57,0.94779,1.01684
2021,Other Combinations,West,No,0.94825,216,216,0.91864,0.97786
2021,Other Combinations,East,No,0.97985,43,43,0.93736,1.02235
