year,hhtyp,regtyp,pet_horse,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Single-person household,Urban regions,No,0.99760,2058,2058,0.99548,0.99971
2001,Single-person household,Rural regions,No,0.98912,854,854,0.98215,0.99608
2001,Couple without children,Urban regions,No,0.99359,2363,2363,0.99038,0.99681
2001,Couple without children,Rural regions,No,0.98518,1196,1196,0.97833,0.99203
2001,Single parent,Urban regions,No,0.99054,463,463,0.98171,0.99937
2001,Single parent,Rural regions,No,0.99458,237,237,0.98521,1.00395
2001,Couple with children,Urban regions,Yes,0.01958,42,2689,0.01434,0.02482
2001,Couple with children,Urban regions,No,0.98042,2647,2689,0.97518,0.98566
2001,Couple with children,Rural regions,Yes,0.02787,39,1486,0.01950,0.03624
2001,Couple with children,Rural regions,No,0.97213,1447,1486,0.96376,0.98050
2001,Multi-generational household,Urban regions,No,0.99380,104,104,0.97865,1.00896
2001,Multi-generational household,Rural regions,No,0.95428,52,52,0.89695,1.01161
2006,Single-person household,Urban regions,No,0.99688,2250,2250,0.99457,0.99918
2006,Single-person household,Rural regions,No,0.99098,1021,1021,0.98518,0.99678
2006,Couple without children,Urban regions,No,0.99280,2766,2766,0.98964,0.99595
2006,Couple without children,Rural regions,No,0.98106,1353,1353,0.97380,0.98833
2006,Single parent,Urban regions,No,0.99839,491,491,0.99485,1.00194
2006,Single parent,Rural regions,No,0.98638,275,275,0.97265,1.00010
2006,Couple with children,Urban regions,Yes,0.01339,34,2499,0.00888,0.01789
2006,Couple with children,Urban regions,No,0.98661,2465,2499,0.98211,0.99112
2006,Couple with children,Rural regions,Yes,0.04150,55,1338,0.03081,0.05219
2006,Couple with children,Rural regions,No,0.95850,1283,1338,0.94781,0.96919
2006,Multi-generational household,Urban regions,No,0.93124,60,60,0.86667,0.99581
2006,Multi-generational household,Rural regions,No,0.98609,43,43,0.95066,1.02151
2006,Other Combinations,Rural regions,No,0.96295,38,38,0.90209,1.02381
2011,Single-person household,Urban regions,No,0.99229,2373,2373,0.98877,0.99581
2011,Single-person household,Rural regions,No,0.99279,1116,1116,0.98782,0.99775
2011,Couple without children,Urban regions,No,0.99451,2751,2751,0.99175,0.99727
2011,Couple without children,Rural regions,No,0.97976,1575,1575,0.97281,0.98672
2011,Single parent,Urban regions,No,0.51775,514,514,0.47451,0.56099
2011,Single parent,Rural regions,No,0.50840,262,262,0.44774,0.56905
2011,Couple with children,Urban regions,No,0.78465,2059,2059,0.76689,0.80241
2011,Couple with children,Rural regions,No,0.76654,1123,1123,0.74178,0.79129
2011,Multi-generational household,Urban regions,No,0.81053,45,45,0.69474,0.92633
2011,Multi-generational household,Rural regions,No,0.84981,38,38,0.73470,0.96493
2011,Other Combinations,Urban regions,No,0.98165,61,61,0.94769,1.01561
2011,Other Combinations,Rural regions,No,0.88321,33,33,0.77193,0.99449
2016,Single-person household,Urban regions,No,0.99031,2310,2310,0.98632,0.99431
2016,Single-person household,Rural regions,No,0.99009,1065,1065,0.98413,0.99604
2016,Couple without children,Urban regions,No,0.98910,2546,2546,0.98507,0.99314
2016,Couple without children,Rural regions,No,0.97963,1508,1508,0.97250,0.98677
2016,Single parent,Urban regions,No,0.98714,985,985,0.98010,0.99418
2016,Single parent,Rural regions,No,0.95966,524,524,0.94279,0.97652
2016,Couple with children,Urban regions,Yes,0.01382,41,3297,0.00983,0.01780
2016,Couple with children,Urban regions,No,0.97864,3256,3297,0.97370,0.98357
2016,Couple with children,Rural regions,Yes,0.02683,45,1693,0.01913,0.03453
2016,Couple with children,Rural regions,No,0.96554,1648,1693,0.95685,0.97423
2016,Multi-generational household,Urban regions,No,0.91188,62,62,0.84075,0.98302
2016,Multi-generational household,Rural regions,No,0.91653,43,43,0.83288,1.00018
2016,Other Combinations,Urban regions,No,0.93728,135,135,0.89623,0.97833
2016,Other Combinations,Rural regions,No,0.95307,58,58,0.89816,1.00797
2021,Single-person household,Urban regions,No,0.98207,2237,2237,0.97657,0.98757
2021,Single-person household,Rural regions,No,0.98579,932,932,0.97819,0.99339
2021,Couple without children,Urban regions,No,0.98778,2195,2195,0.98318,0.99237
2021,Couple without children,Rural regions,No,0.97423,1179,1179,0.96518,0.98328
2021,Single parent,Urban regions,No,0.97150,565,565,0.95777,0.98523
2021,Single parent,Rural regions,No,0.94756,316,316,0.92294,0.97217
2021,Couple with children,Urban regions,Yes,0.01882,36,2101,0.01301,0.02464
2021,Couple with children,Urban regions,No,0.95750,2065,2101,0.94887,0.96613
2021,Couple with children,Rural regions,Yes,0.02176,31,1061,0.01297,0.03054
2021,Couple with children,Rural regions,No,0.95718,1030,1061,0.94499,0.96937
2021,Multi-generational household,Urban regions,No,0.99250,47,47,0.96758,1.01743
2021,Other Combinations,Urban regions,No,0.95646,184,184,0.92689,0.98603
2021,Other Combinations,Rural regions,No,0.94235,75,75,0.88924,0.99545
