year,hhtyp,pet_othrodent,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Single-person household,No,0.98986,3372,3372,0.98648,0.99324
2016,Couple without children,Yes,0.00900,46,4097,0.00611,0.01189
2016,Couple without children,No,0.99022,4051,4097,0.98721,0.99324
2016,Single parent,Yes,0.03900,77,1524,0.02928,0.04872
2016,Single parent,No,0.95463,1447,1524,0.94418,0.96508
2016,Couple with children,Yes,0.04285,242,4990,0.03723,0.04847
2016,Couple with children,No,0.94958,4748,4990,0.94351,0.95565
2016,Multi-generational household,No,0.96808,104,104,0.93413,1.00203
2016,Other Combinations,No,0.92300,189,189,0.88489,0.96111
2021,Single-person household,No,0.98566,3168,3168,0.98152,0.98980
2021,Couple without children,Yes,0.01033,34,3414,0.00694,0.01372
2021,Couple without children,No,0.98762,3380,3414,0.98391,0.99133
2021,Single parent,Yes,0.07222,47,896,0.05526,0.08918
2021,Single parent,No,0.91209,849,896,0.89354,0.93064
2021,Couple with children,Yes,0.02801,135,3162,0.02226,0.03377
2021,Couple with children,No,0.94913,3027,3162,0.94147,0.95679
2021,Multi-generational household,No,0.95982,71,71,0.91382,1.00583
2021,Other Combinations,No,0.96436,260,260,0.94178,0.98694
