year,hhtyp,regtyp,pet_othrodent,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Single-person household,Urban regions,No,0.99133,2311,2311,0.98755,0.99511
2016,Single-person household,Rural regions,No,0.98633,1061,1061,0.97933,0.99332
2016,Couple without children,Urban regions,No,0.99264,2541,2541,0.98932,0.99597
2016,Couple without children,Rural regions,No,0.98568,1510,1510,0.97968,0.99167
2016,Single parent,Urban regions,Yes,0.02926,45,992,0.01877,0.03976
2016,Single parent,Urban regions,No,0.96392,947,992,0.95231,0.97553
2016,Single parent,Rural regions,Yes,0.05707,32,532,0.03734,0.07680
2016,Single parent,Rural regions,No,0.93738,500,532,0.91677,0.95799
2016,Couple with children,Urban regions,Yes,0.03917,142,3297,0.03255,0.04579
2016,Couple with children,Urban regions,No,0.95328,3155,3297,0.94608,0.96049
2016,Couple with children,Rural regions,Yes,0.05108,100,1693,0.04059,0.06157
2016,Couple with children,Rural regions,No,0.94129,1593,1693,0.93008,0.95249
2016,Multi-generational household,Urban regions,No,0.97120,63,63,0.92957,1.01283
2016,Multi-generational household,Rural regions,No,0.96251,41,41,0.90364,1.02138
2016,Other Combinations,Urban regions,No,0.92090,132,132,0.87468,0.96712
2016,Other Combinations,Rural regions,No,0.92957,57,57,0.86255,0.99659
2021,Single-person household,Urban regions,No,0.98354,2233,2233,0.97826,0.98882
2021,Single-person household,Rural regions,No,0.99047,934,934,0.98424,0.99671
2021,Couple without children,Urban regions,No,0.99162,2195,2195,0.98780,0.99543
2021,Couple without children,Rural regions,No,0.97914,1185,1185,0.97100,0.98728
2021,Single parent,Urban regions,Yes,0.07814,32,572,0.05612,0.10015
2021,Single parent,Urban regions,No,0.90007,540,572,0.87547,0.92467
2021,Single parent,Rural regions,No,0.93372,309,309,0.90594,0.96150
2021,Couple with children,Urban regions,Yes,0.02850,82,2101,0.02138,0.03562
2021,Couple with children,Urban regions,No,0.94782,2019,2101,0.93831,0.95734
2021,Couple with children,Rural regions,Yes,0.02696,53,1061,0.01721,0.03671
2021,Couple with children,Rural regions,No,0.95197,1008,1061,0.93910,0.96485
2021,Multi-generational household,Urban regions,No,0.96178,44,44,0.90448,1.01909
2021,Other Combinations,Urban regions,No,0.95689,184,184,0.92746,0.98631
2021,Other Combinations,Rural regions,No,0.98234,76,76,0.95253,1.01215
