year,regtyp,sampreg,pet_othrodent,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Urban regions,West,Yes,0.01335,193,8255,0.01087,0.01582
2016,Urban regions,West,No,0.98125,8062,8255,0.97832,0.98417
2016,Urban regions,East,Yes,0.01711,35,1122,0.00952,0.02470
2016,Urban regions,East,No,0.97673,1087,1122,0.96790,0.98555
2016,Rural regions,West,Yes,0.01765,89,2973,0.01292,0.02238
2016,Rural regions,West,No,0.97751,2884,2973,0.97218,0.98284
2016,Rural regions,East,Yes,0.03076,74,1952,0.02310,0.03842
2016,Rural regions,East,No,0.96419,1878,1952,0.95595,0.97244
2021,Urban regions,West,Yes,0.01398,128,6511,0.01113,0.01683
2021,Urban regions,West,No,0.97386,6383,6511,0.96998,0.97773
2021,Urban regions,East,No,0.96764,870,870,0.95587,0.97940
2021,Rural regions,West,Yes,0.01624,50,2153,0.01090,0.02158
2021,Rural regions,West,No,0.97365,2103,2153,0.96688,0.98041
2021,Rural regions,East,Yes,0.01719,37,1493,0.01059,0.02379
2021,Rural regions,East,No,0.97824,1456,1493,0.97084,0.98565
