year,quintil_oecd_hh,regtyp,pet_othrodent,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,1st Quintile,Urban regions,Yes,0.01544,51,1987,0.01002,0.02086
2016,1st Quintile,Urban regions,No,0.95679,1936,1987,0.94785,0.96574
2016,1st Quintile,Rural regions,Yes,0.02973,51,1109,0.01973,0.03974
2016,1st Quintile,Rural regions,No,0.94692,1058,1109,0.93371,0.96012
2016,2nd Quintile,Urban regions,Yes,0.01673,66,1849,0.01088,0.02258
2016,2nd Quintile,Urban regions,No,0.98327,1783,1849,0.97742,0.98912
2016,2nd Quintile,Rural regions,Yes,0.02189,42,1192,0.01358,0.03020
2016,2nd Quintile,Rural regions,No,0.97811,1150,1192,0.96980,0.98642
2016,3rd Quintile,Urban regions,Yes,0.01596,39,1725,0.01004,0.02187
2016,3rd Quintile,Urban regions,No,0.98404,1686,1725,0.97813,0.98996
2016,3rd Quintile,Rural regions,Yes,0.02708,31,1018,0.01710,0.03705
2016,3rd Quintile,Rural regions,No,0.97292,987,1018,0.96295,0.98290
2016,4th Quintile,Urban regions,Yes,0.01319,40,1761,0.00786,0.01852
2016,4th Quintile,Urban regions,No,0.98681,1721,1761,0.98148,0.99214
2016,4th Quintile,Rural regions,No,0.97829,876,876,0.96863,0.98794
2016,5th Quintile,Urban regions,Yes,0.00816,32,2050,0.00426,0.01205
2016,5th Quintile,Urban regions,No,0.99184,2018,2050,0.98795,0.99574
2016,5th Quintile,Rural regions,No,0.99267,691,691,0.98631,0.99904
2021,1st Quintile,Urban regions,No,0.93955,1320,1320,0.92669,0.95241
2021,1st Quintile,Rural regions,No,0.95532,673,673,0.93970,0.97094
2021,2nd Quintile,Urban regions,Yes,0.03100,36,1332,0.02169,0.04031
2021,2nd Quintile,Urban regions,No,0.96025,1296,1332,0.94975,0.97074
2021,2nd Quintile,Rural regions,No,0.98207,829,829,0.97304,0.99111
2021,3rd Quintile,Urban regions,No,0.99073,1273,1273,0.98547,0.99600
2021,3rd Quintile,Rural regions,No,0.98901,706,706,0.98131,0.99670
2021,4th Quintile,Urban regions,No,0.98720,1370,1370,0.98124,0.99315
2021,4th Quintile,Rural regions,No,0.97459,667,667,0.96264,0.98654
2021,5th Quintile,Urban regions,Yes,0.00884,38,2018,0.00476,0.01293
2021,5th Quintile,Urban regions,No,0.98836,1980,2018,0.98368,0.99304
2021,5th Quintile,Rural regions,No,0.97439,679,679,0.96250,0.98628
