year,pgisced97,plb0240,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Pre-primary Level,Full-time,0.67130,125,125,0.58862,0.75398
1984,Primary Level,Full-time,0.13449,102,134,0.07651,0.19248
1984,Primary Level,Part-time,0.03467,32,134,0.00358,0.06576
1984,Lower Secondary Level,Full-time,0.07169,303,602,0.05107,0.09232
1984,Lower Secondary Level,Part-time,0.04925,186,602,0.03195,0.06655
1984,Lower Secondary Level,Either,0.01621,73,602,0.00611,0.02630
1984,Lower Secondary Level,I'm not sure yet,0.00782,40,602,0.00078,0.01486
1984,Upper Secondary Level,Full-time,0.05432,365,885,0.03937,0.06926
1984,Upper Secondary Level,Part-time,0.05831,352,885,0.04286,0.07375
1984,Upper Secondary Level,Either,0.01576,99,885,0.00755,0.02397
1984,Upper Secondary Level,I'm not sure yet,0.01107,69,885,0.00418,0.01797
1984,Post-secondary Non-tertiary Level,Full-time,0.10555,32,32,-0.00261,0.21371
1984,First Stage of Tertiary Education,Part-time,0.05144,39,39,-0.01879,0.12167
1984,Second Stage of Tertiary Education,Part-time,0.03548,31,31,-0.03072,0.10167
1985,Pre-primary Level,Full-time,0.55385,105,105,0.45831,0.64939
1985,Primary Level,Full-time,0.13563,93,130,0.07654,0.19471
1985,Primary Level,Part-time,0.06100,37,130,0.01970,0.10230
1985,Lower Secondary Level,Full-time,0.07548,279,426,0.05036,0.10059
1985,Lower Secondary Level,Part-time,0.03028,114,426,0.01399,0.04657
1985,Lower Secondary Level,Either,0.00943,33,426,0.00024,0.01861
1985,Upper Secondary Level,Full-time,0.05091,303,635,0.03380,0.06802
1985,Upper Secondary Level,Part-time,0.04239,241,635,0.02671,0.05808
1985,Upper Secondary Level,Either,0.00875,49,635,0.00150,0.01600
1985,Upper Secondary Level,I'm not sure yet,0.00653,42,635,0.00026,0.01280
1986,Pre-primary Level,Full-time,0.56073,112,112,0.46840,0.65306
1986,Primary Level,Full-time,0.10163,79,114,0.04592,0.15734
1986,Primary Level,Part-time,0.06447,35,114,0.01919,0.10975
1986,Lower Secondary Level,Full-time,0.07358,266,440,0.04916,0.09800
1986,Lower Secondary Level,Part-time,0.02530,100,440,0.01061,0.04000
1986,Lower Secondary Level,Either,0.01169,35,440,0.00163,0.02174
1986,Lower Secondary Level,I'm not sure yet,0.00902,39,440,0.00018,0.01787
1986,Upper Secondary Level,Full-time,0.05369,309,643,0.03625,0.07113
1986,Upper Secondary Level,Part-time,0.04573,254,643,0.02957,0.06190
1986,Upper Secondary Level,Either,0.00764,47,643,0.00090,0.01437
1986,Upper Secondary Level,I'm not sure yet,0.00519,33,643,-0.00037,0.01075
1987,Pre-primary Level,Full-time,0.52778,103,103,0.43090,0.62467
