year,age_gr,migback,plb0240,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,No migration background,Full-time,0.21449,490,830,0.18654,0.24243
1984,17-29 y.,No migration background,Part-time,0.06219,156,830,0.04575,0.07863
1984,17-29 y.,No migration background,Either,0.04735,113,830,0.03289,0.06181
1984,17-29 y.,No migration background,I'm not sure yet,0.03013,71,830,0.01850,0.04177
1984,17-29 y.,Direct migration background,Full-time,0.21900,203,324,0.17390,0.26411
1984,17-29 y.,Direct migration background,Part-time,0.06158,53,324,0.03536,0.08780
1984,17-29 y.,Direct migration background,Either,0.04018,37,324,0.01877,0.06160
1984,17-29 y.,Direct migration background,I'm not sure yet,0.02984,31,324,0.01128,0.04839
1984,30-45 y.,No migration background,Full-time,0.03252,80,409,0.01531,0.04973
1984,30-45 y.,No migration background,Part-time,0.11182,293,409,0.08124,0.14240
1984,30-45 y.,No migration background,Either,0.01283,36,409,0.00191,0.02375
1984,30-45 y.,Direct migration background,Full-time,0.08216,95,161,0.03961,0.12471
1984,30-45 y.,Direct migration background,Part-time,0.07087,66,161,0.03111,0.11063
1984,46-65 y.,No migration background,Full-time,0.01549,37,113,-0.00738,0.03835
1984,46-65 y.,No migration background,Part-time,0.02841,76,113,-0.00236,0.05919
1984,46-65 y.,Direct migration background,Full-time,0.02937,48,48,-0.01890,0.07764
1985,17-29 y.,No migration background,Full-time,0.20069,441,654,0.16997,0.23141
1985,17-29 y.,No migration background,Part-time,0.04643,110,654,0.03029,0.06257
1985,17-29 y.,No migration background,Either,0.02469,53,654,0.01279,0.03660
1985,17-29 y.,No migration background,I'm not sure yet,0.02258,50,654,0.01118,0.03397
1985,17-29 y.,Direct migration background,Full-time,0.19043,164,209,0.13707,0.24379
1985,17-29 y.,Direct migration background,Part-time,0.07202,45,209,0.03689,0.10715
1985,30-45 y.,No migration background,Full-time,0.03016,62,257,0.00921,0.05112
1985,30-45 y.,No migration background,Part-time,0.08008,195,257,0.04683,0.11333
1985,30-45 y.,Direct migration background,Full-time,0.07587,84,141,0.03201,0.11973
1985,30-45 y.,Direct migration background,Part-time,0.07063,57,141,0.02819,0.11307
1985,46-65 y.,No migration background,Full-time,0.02067,46,97,-0.00779,0.04913
1985,46-65 y.,No migration background,Part-time,0.02027,51,97,-0.00792,0.04846
1985,46-65 y.,Direct migration background,Full-time,0.03343,43,43,-0.02093,0.08780
1986,17-29 y.,No migration background,Full-time,0.18909,413,607,0.15791,0.22027
1986,17-29 y.,No migration background,Part-time,0.04157,93,607,0.02568,0.05746
1986,17-29 y.,No migration background,Either,0.02661,58,607,0.01379,0.03942
1986,17-29 y.,No migration background,I'm not sure yet,0.01806,43,607,0.00745,0.02866
1986,17-29 y.,Direct migration background,Full-time,0.22046,174,222,0.16580,0.27511
1986,17-29 y.,Direct migration background,Part-time,0.06561,48,222,0.03297,0.09826
1986,30-45 y.,No migration background,Full-time,0.03686,75,267,0.01422,0.05951
1986,30-45 y.,No migration background,Part-time,0.08490,192,267,0.05140,0.11840
1986,30-45 y.,Direct migration background,Full-time,0.08192,68,123,0.03326,0.13058
1986,30-45 y.,Direct migration background,Part-time,0.05431,55,123,0.01409,0.09452
1986,46-65 y.,No migration background,Full-time,0.01946,45,101,-0.00761,0.04654
1986,46-65 y.,No migration background,Part-time,0.02225,56,101,-0.00666,0.05116
1986,46-65 y.,Direct migration background,Full-time,0.02969,45,45,-0.02046,0.07984
1987,17-29 y.,No migration background,Full-time,0.17662,390,593,0.14590,0.20734
1987,17-29 y.,No migration background,Part-time,0.04729,96,593,0.03019,0.06439
1987,17-29 y.,No migration background,Either,0.02820,62,593,0.01486,0.04153
1987,17-29 y.,No migration background,I'm not sure yet,0.01678,45,593,0.00643,0.02713
1987,17-29 y.,Direct migration background,Full-time,0.18450,155,192,0.12949,0.23951
1987,17-29 y.,Direct migration background,Part-time,0.06587,37,192,0.03069,0.10104
1987,17-29 y.,Indirect migration background,Full-time,0.15414,35,35,0.03277,0.27552
1987,30-45 y.,No migration background,Full-time,0.03209,63,295,0.01194,0.05223
1987,30-45 y.,No migration background,Part-time,0.09372,201,295,0.06041,0.12704
1987,30-45 y.,No migration background,Either,0.01399,31,295,0.00057,0.02742
1987,30-45 y.,Direct migration background,Full-time,0.06751,54,111,0.02062,0.11439
1987,30-45 y.,Direct migration background,Part-time,0.05043,57,111,0.00954,0.09133
1987,46-65 y.,No migration background,Full-time,0.01877,41,116,-0.00604,0.04357
1987,46-65 y.,No migration background,Part-time,0.03103,75,116,-0.00066,0.06272
1987,46-65 y.,Direct migration background,Full-time,0.03627,46,46,-0.01836,0.09089
1988,17-29 y.,No migration background,Full-time,0.19086,378,573,0.15866,0.22307
1988,17-29 y.,No migration background,Part-time,0.05103,100,573,0.03300,0.06907
1988,17-29 y.,No migration background,Either,0.02786,51,573,0.01438,0.04135
1988,17-29 y.,No migration background,I'm not sure yet,0.02002,44,573,0.00854,0.03150
1988,17-29 y.,Direct migration background,Full-time,0.19770,143,177,0.13886,0.25654
1988,17-29 y.,Direct migration background,Part-time,0.04136,34,177,0.01194,0.07078
1988,17-29 y.,Indirect migration background,Full-time,0.25613,46,46,0.12860,0.38367
1988,30-45 y.,No migration background,Full-time,0.03696,68,260,0.01399,0.05994
1988,30-45 y.,No migration background,Part-time,0.09103,192,260,0.05600,0.12607
1988,30-45 y.,Direct migration background,Full-time,0.07160,51,101,0.02107,0.12214
1988,30-45 y.,Direct migration background,Part-time,0.05861,50,101,0.01257,0.10465
