year,age_gr,plb0240,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Full-time,0.21526,721,1193,0.19193,0.23859
1984,17-29 y.,Part-time,0.06168,210,1193,0.04802,0.07533
1984,17-29 y.,Either,0.04647,154,1193,0.03452,0.05842
1984,17-29 y.,I'm not sure yet,0.03071,108,1193,0.02091,0.04050
1984,30-45 y.,Full-time,0.03914,176,648,0.02420,0.05409
1984,30-45 y.,Part-time,0.10672,361,648,0.08293,0.13051
1984,30-45 y.,Either,0.01394,61,648,0.00491,0.02298
1984,30-45 y.,I'm not sure yet,0.01175,50,648,0.00345,0.02006
1984,46-65 y.,Full-time,0.01688,86,181,-0.00194,0.03569
1984,46-65 y.,Part-time,0.02731,95,181,0.00350,0.05112
1985,17-29 y.,Full-time,0.19955,634,933,0.17389,0.22521
1985,17-29 y.,Part-time,0.04824,157,933,0.03448,0.06199
1985,17-29 y.,Either,0.02373,70,933,0.01396,0.03350
1985,17-29 y.,I'm not sure yet,0.02209,72,933,0.01265,0.03152
1985,30-45 y.,Full-time,0.03626,146,401,0.01794,0.05457
1985,30-45 y.,Part-time,0.07908,255,401,0.05264,0.10553
1985,46-65 y.,Full-time,0.02190,89,158,-0.00099,0.04479
1985,46-65 y.,Part-time,0.02100,69,158,-0.00143,0.04343
1986,17-29 y.,Full-time,0.19222,616,894,0.16637,0.21806
1986,17-29 y.,Part-time,0.04327,142,894,0.02992,0.05661
1986,17-29 y.,Either,0.02511,67,894,0.01485,0.03537
1986,17-29 y.,I'm not sure yet,0.01814,69,894,0.00938,0.02689
1986,30-45 y.,Full-time,0.04306,143,426,0.02376,0.06236
1986,30-45 y.,Part-time,0.08077,249,426,0.05486,0.10667
1986,30-45 y.,I'm not sure yet,0.01108,34,426,0.00113,0.02103
1986,46-65 y.,Full-time,0.02049,90,163,-0.00133,0.04231
1986,46-65 y.,Part-time,0.02120,73,163,-0.00098,0.04338
1987,17-29 y.,Full-time,0.17703,580,883,0.15184,0.20222
1987,17-29 y.,Part-time,0.05024,143,883,0.03582,0.06466
1987,17-29 y.,Either,0.02801,90,883,0.01712,0.03890
1987,17-29 y.,I'm not sure yet,0.01746,70,883,0.00882,0.02611
1987,30-45 y.,Full-time,0.03714,118,462,0.01988,0.05441
1987,30-45 y.,Part-time,0.08820,261,462,0.06231,0.11409
1987,30-45 y.,Either,0.01543,51,462,0.00418,0.02668
1987,30-45 y.,I'm not sure yet,0.00912,32,462,0.00044,0.01779
1987,46-65 y.,Full-time,0.02073,87,213,0.00155,0.03991
1987,46-65 y.,Part-time,0.03084,94,213,0.00757,0.05411
1987,46-65 y.,Either,0.00800,32,213,-0.00399,0.01999
1988,17-29 y.,Full-time,0.19278,567,858,0.16637,0.21919
1988,17-29 y.,Part-time,0.04999,140,858,0.03540,0.06458
1988,17-29 y.,Either,0.02656,73,858,0.01579,0.03733
1988,17-29 y.,I'm not sure yet,0.02121,78,858,0.01156,0.03085
1988,30-45 y.,Full-time,0.04147,120,406,0.02205,0.06089
1988,30-45 y.,Part-time,0.08685,243,406,0.05942,0.11428
1988,30-45 y.,Either,0.01549,43,406,0.00346,0.02752
1988,46-65 y.,Full-time,0.02122,85,176,-0.00013,0.04257
1988,46-65 y.,Part-time,0.02898,91,176,0.00412,0.05383
1989,17-29 y.,Full-time,0.17639,500,776,0.14955,0.20322
