"year","quintil","regtyp","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1995","1 Einkommensschwächstes Quintil","Laendlicher Raum","1.16","0.5","2818","1.11","1.21"
"1995","1 Einkommensschwächstes Quintil","Staedtischer Raum","1.12","0.5","4287","1.08","1.16"
"1995","2","Laendlicher Raum","0.74","0","1765","0.69","0.79"
"1995","2","Staedtischer Raum","0.77","0","3185","0.73","0.81"
"1995","3","Laendlicher Raum","0.7","0","983","0.64","0.76"
"1995","3","Staedtischer Raum","0.65","0","2034","0.61","0.69"
"1995","4","Laendlicher Raum","0.53","0","478","0.45","0.61"
"1995","4","Staedtischer Raum","0.44","0","1317","0.39","0.49"
"1995","5 Einkommensstärkstes Quintil","Laendlicher Raum","0.3","0","160","0.17","0.43"
"1995","5 Einkommensstärkstes Quintil","Staedtischer Raum","0.34","0","685","0.28","0.4"
"1996","1 Einkommensschwächstes Quintil","Laendlicher Raum","1.06","0.5","2475","1.01","1.11"
"1996","1 Einkommensschwächstes Quintil","Staedtischer Raum","1.04","0.5","3899","1","1.08"
"1996","2","Laendlicher Raum","0.92","0","1855","0.87","0.97"
"1996","2","Staedtischer Raum","0.87","0","3081","0.83","0.91"
"1996","3","Laendlicher Raum","0.64","0","1041","0.59","0.69"
"1996","3","Staedtischer Raum","0.64","0","2115","0.6","0.68"
"1996","4","Laendlicher Raum","0.51","0","490","0.43","0.59"
"1996","4","Staedtischer Raum","0.53","0","1411","0.48","0.58"
"1996","5 Einkommensstärkstes Quintil","Laendlicher Raum","0.41","0","213","0.29","0.53"
"1996","5 Einkommensstärkstes Quintil","Staedtischer Raum","0.36","0","759","0.31","0.41"
"1997","1 Einkommensschwächstes Quintil","Laendlicher Raum","1.13","0.5","2336","1.08","1.18"
"1997","1 Einkommensschwächstes Quintil","Staedtischer Raum","1.06","0.5","3651","1.02","1.1"
"1997","2","Laendlicher Raum","0.88","0","1866","0.83","0.93"
"1997","2","Staedtischer Raum","0.86","0","2961","0.82","0.9"
"1997","3","Laendlicher Raum","0.63","0","1036","0.58","0.68"
"1997","3","Staedtischer Raum","0.67","0","2255","0.63","0.71"
"1997","4","Laendlicher Raum","0.55","0","550","0.48","0.62"
"1997","4","Staedtischer Raum","0.43","0","1385","0.39","0.47"
"1997","5 Einkommensstärkstes Quintil","Laendlicher Raum","0.35","0","185","0.23","0.47"
"1997","5 Einkommensstärkstes Quintil","Staedtischer Raum","0.39","0","781","0.33","0.45"
"1998","1 Einkommensschwächstes Quintil","Laendlicher Raum","1.15","0.5","2582","1.1","1.2"
"1998","1 Einkommensschwächstes Quintil","Staedtischer Raum","1.06","0.5","3857","1.02","1.1"
"1998","2","Laendlicher Raum","0.89","0","1905","0.84","0.94"
"1998","2","Staedtischer Raum","0.82","0","3269","0.78","0.86"
"1998","3","Laendlicher Raum","0.65","0","1226","0.6","0.7"
"1998","3","Staedtischer Raum","0.67","0","2371","0.63","0.71"
"1998","4","Laendlicher Raum","0.51","0","639","0.44","0.58"
"1998","4","Staedtischer Raum","0.56","0","1744","0.52","0.6"
"1998","5 Einkommensstärkstes Quintil","Laendlicher Raum","0.53","0","267","0.43","0.63"
"1998","5 Einkommensstärkstes Quintil","Staedtischer Raum","0.29","0","896","0.24","0.34"
"1999","1 Einkommensschwächstes Quintil","Laendlicher Raum","1.09","0.5","2102","1.04","1.14"
"1999","1 Einkommensschwächstes Quintil","Staedtischer Raum","1.04","0.5","3156","0.99","1.09"
