"year","quintil","sampreg","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1995","1 Einkommensschwächstes Quintil","Ostdeutschland","1.02","0.5","2335","0.97","1.07"
"1995","1 Einkommensschwächstes Quintil","Westdeutschland","1.18","0.5","4770","1.14","1.22"
"1995","2","Ostdeutschland","0.64","0","1530","0.6","0.68"
"1995","2","Westdeutschland","0.79","0","3420","0.75","0.83"
"1995","3","Ostdeutschland","0.45","0","695","0.39","0.51"
"1995","3","Westdeutschland","0.7","0","2322","0.66","0.74"
"1995","4","Ostdeutschland","0.39","0","250","0.3","0.48"
"1995","4","Westdeutschland","0.46","0","1545","0.42","0.5"
"1995","5 Einkommensstärkstes Quintil","Ostdeutschland","0.4","0","51","0.16","0.64"
"1995","5 Einkommensstärkstes Quintil","Westdeutschland","0.33","0","794","0.28","0.38"
"1996","1 Einkommensschwächstes Quintil","Ostdeutschland","0.99","0.5","2040","0.94","1.04"
"1996","1 Einkommensschwächstes Quintil","Westdeutschland","1.07","0.5","4334","1.03","1.11"
"1996","2","Ostdeutschland","0.71","0","1598","0.66","0.76"
"1996","2","Westdeutschland","0.94","0.5","3338","0.9","0.98"
"1996","3","Ostdeutschland","0.5","0","793","0.45","0.55"
"1996","3","Westdeutschland","0.66","0","2363","0.62","0.7"
"1996","4","Ostdeutschland","0.38","0","289","0.3","0.46"
"1996","4","Westdeutschland","0.54","0","1612","0.49","0.59"
"1996","5 Einkommensstärkstes Quintil","Ostdeutschland","0.37","0","77","0.18","0.56"
"1996","5 Einkommensstärkstes Quintil","Westdeutschland","0.37","0","895","0.32","0.42"
"1997","1 Einkommensschwächstes Quintil","Ostdeutschland","1.03","0.5","1956","0.98","1.08"
"1997","1 Einkommensschwächstes Quintil","Westdeutschland","1.11","0.5","4031","1.07","1.15"
"1997","2","Ostdeutschland","0.63","0","1518","0.58","0.68"
"1997","2","Westdeutschland","0.94","0","3309","0.9","0.98"
"1997","3","Ostdeutschland","0.48","0","823","0.42","0.54"
"1997","3","Westdeutschland","0.69","0","2468","0.65","0.73"
"1997","4","Ostdeutschland","0.32","0","307","0.24","0.4"
"1997","4","Westdeutschland","0.47","0","1628","0.43","0.51"
"1997","5 Einkommensstärkstes Quintil","Ostdeutschland","0.33","0","79","0.2","0.46"
"1997","5 Einkommensstärkstes Quintil","Westdeutschland","0.38","0","888","0.32","0.44"
"1998","1 Einkommensschwächstes Quintil","Ostdeutschland","1","0.5","2103","0.95","1.05"
"1998","1 Einkommensschwächstes Quintil","Westdeutschland","1.12","0.5","4336","1.08","1.16"
"1998","2","Ostdeutschland","0.62","0","1418","0.57","0.67"
"1998","2","Westdeutschland","0.9","0","3756","0.86","0.94"
"1998","3","Ostdeutschland","0.45","0","903","0.4","0.5"
"1998","3","Westdeutschland","0.71","0","2694","0.67","0.75"
"1998","4","Ostdeutschland","0.36","0","391","0.3","0.42"
"1998","4","Westdeutschland","0.57","0","1992","0.53","0.61"
"1998","5 Einkommensstärkstes Quintil","Ostdeutschland","0.46","0","119","0.32","0.6"
"1998","5 Einkommensstärkstes Quintil","Westdeutschland","0.33","0","1044","0.29","0.37"
"1999","1 Einkommensschwächstes Quintil","Ostdeutschland","0.97","0.5","1675","0.92","1.02"
"1999","1 Einkommensschwächstes Quintil","Westdeutschland","1.09","0.5","3583","1.05","1.13"
"1999","2","Ostdeutschland","0.64","0","1624","0.6","0.68"
"1999","2","Westdeutschland","0.98","0.5","3679","0.94","1.02"
"1999","3","Ostdeutschland","0.46","0","954","0.41","0.51"
"1999","3","Westdeutschland","0.82","0","2709","0.78","0.86"
"1999","4","Ostdeutschland","0.35","0","406","0.29","0.41"
"1999","4","Westdeutschland","0.46","0","2032","0.42","0.5"
"1999","5 Einkommensstärkstes Quintil","Ostdeutschland","0.38","0","112","0.27","0.49"
"1999","5 Einkommensstärkstes Quintil","Westdeutschland","0.4","0","1214","0.35","0.45"
"2000","1 Einkommensschwächstes Quintil","Ostdeutschland","0.98","0.5","2588","0.94","1.02"
"2000","1 Einkommensschwächstes Quintil","Westdeutschland","1.14","0.5","6101","1.11","1.17"
"2000","2","Ostdeutschland","0.59","0","2342","0.55","0.63"
"2000","2","Westdeutschland","0.97","0.5","6372","0.94","1"
"2000","3","Ostdeutschland","0.46","0","1462","0.42","0.5"
"2000","3","Westdeutschland","0.74","0","5276","0.71","0.77"
"2000","4","Ostdeutschland","0.34","0","711","0.29","0.39"
"2000","4","Westdeutschland","0.51","0","4041","0.48","0.54"
"2000","5 Einkommensstärkstes Quintil","Ostdeutschland","0.47","0","254","0.4","0.54"
"2000","5 Einkommensstärkstes Quintil","Westdeutschland","0.35","0","2660","0.32","0.38"
"2001","1 Einkommensschwächstes Quintil","Ostdeutschland","0.87","0.5","2154","0.82","0.92"
"2001","1 Einkommensschwächstes Quintil","Westdeutschland","1.16","0.5","5123","1.12","1.2"
"2001","2","Ostdeutschland","0.62","0","2067","0.58","0.66"
"2001","2","Westdeutschland","0.99","0.5","5580","0.96","1.02"
"2001","3","Ostdeutschland","0.43","0","1472","0.39","0.47"
"2001","3","Westdeutschland","0.72","0","4833","0.69","0.75"
"2001","4","Ostdeutschland","0.39","0","768","0.34","0.44"
"2001","4","Westdeutschland","0.52","0","3868","0.49","0.55"
"2001","5 Einkommensstärkstes Quintil","Ostdeutschland","0.39","0","277","0.31","0.47"
"2001","5 Einkommensstärkstes Quintil","Westdeutschland","0.33","0","2586","0.3","0.36"
"2002","1 Einkommensschwächstes Quintil","Ostdeutschland","0.91","0.5","1876","0.86","0.96"
"2002","1 Einkommensschwächstes Quintil","Westdeutschland","1.1","0.5","4370","1.06","1.14"
"2002","2","Ostdeutschland","0.57","0","1766","0.53","0.61"
"2002","2","Westdeutschland","1.03","0.5","4814","1","1.06"
"2002","3","Ostdeutschland","0.49","0","1514","0.45","0.53"
"2002","3","Westdeutschland","0.8","0","4451","0.77","0.83"
"2002","4","Ostdeutschland","0.35","0","980","0.29","0.41"
"2002","4","Westdeutschland","0.44","0","4879","0.41","0.47"
"2002","5 Einkommensstärkstes Quintil","Ostdeutschland","0.58","0","568","0.49","0.67"
"2002","5 Einkommensstärkstes Quintil","Westdeutschland","0.39","0","4898","0.36","0.42"
"2003","1 Einkommensschwächstes Quintil","Ostdeutschland","0.92","0.5","1889","0.87","0.97"
"2003","1 Einkommensschwächstes Quintil","Westdeutschland","1.07","0.5","3891","1.03","1.11"
"2003","2","Ostdeutschland","0.59","0","1622","0.55","0.63"
"2003","2","Westdeutschland","1.02","0.5","4504","0.98","1.06"
"2003","3","Ostdeutschland","0.39","0","1495","0.36","0.42"
"2003","3","Westdeutschland","0.83","0","4637","0.8","0.86"
"2003","4","Ostdeutschland","0.31","0","1040","0.27","0.35"
"2003","4","Westdeutschland","0.47","0","4798","0.44","0.5"
"2003","5 Einkommensstärkstes Quintil","Ostdeutschland","0.55","0","501","0.44","0.66"
"2003","5 Einkommensstärkstes Quintil","Westdeutschland","0.38","0","4415","0.35","0.41"
"2004","1 Einkommensschwächstes Quintil","Ostdeutschland","0.89","0.5","1806","0.83","0.95"
"2004","1 Einkommensschwächstes Quintil","Westdeutschland","1.04","0.5","3759","1","1.08"
"2004","2","Ostdeutschland","0.51","0","1555","0.47","0.55"
"2004","2","Westdeutschland","1","0.5","4368","0.96","1.04"
"2004","3","Ostdeutschland","0.32","0","1436","0.28","0.36"
"2004","3","Westdeutschland","0.8","0","4451","0.77","0.83"
"2004","4","Ostdeutschland","0.35","0","1040","0.3","0.4"
"2004","4","Westdeutschland","0.47","0","4647","0.44","0.5"
"2004","5 Einkommensstärkstes Quintil","Ostdeutschland","0.49","0","541","0.4","0.58"
"2004","5 Einkommensstärkstes Quintil","Westdeutschland","0.36","0","4328","0.33","0.39"
"2005","1 Einkommensschwächstes Quintil","Ostdeutschland","0.88","0.5","1824","0.83","0.93"
"2005","1 Einkommensschwächstes Quintil","Westdeutschland","0.99","0.5","3563","0.95","1.03"
"2005","2","Ostdeutschland","0.52","0","1435","0.47","0.57"
"2005","2","Westdeutschland","0.96","0.5","4059","0.92","1"
"2005","3","Ostdeutschland","0.36","0","1365","0.32","0.4"
"2005","3","Westdeutschland","0.82","0","4174","0.79","0.85"
"2005","4","Ostdeutschland","0.32","0","963","0.27","0.37"
"2005","4","Westdeutschland","0.49","0","4492","0.46","0.52"
"2005","5 Einkommensstärkstes Quintil","Ostdeutschland","0.48","0","564","0.38","0.58"
"2005","5 Einkommensstärkstes Quintil","Westdeutschland","0.35","0","4267","0.32","0.38"
"2006","1 Einkommensschwächstes Quintil","Ostdeutschland","0.85","0","1889","0.8","0.9"
"2006","1 Einkommensschwächstes Quintil","Westdeutschland","0.96","0","3829","0.92","1"
"2006","2","Ostdeutschland","0.46","0","1505","0.42","0.5"
"2006","2","Westdeutschland","0.96","0.5","4424","0.92","1"
"2006","3","Ostdeutschland","0.42","0","1547","0.38","0.46"
"2006","3","Westdeutschland","0.78","0","4367","0.75","0.81"
"2006","4","Ostdeutschland","0.27","0","1075","0.21","0.33"
"2006","4","Westdeutschland","0.49","0","4983","0.46","0.52"
"2006","5 Einkommensstärkstes Quintil","Ostdeutschland","0.48","0","524","0.4","0.56"
"2006","5 Einkommensstärkstes Quintil","Westdeutschland","0.38","0","4525","0.35","0.41"
"2007","1 Einkommensschwächstes Quintil","Ostdeutschland","0.64","0","1565","0.58","0.7"
"2007","1 Einkommensschwächstes Quintil","Westdeutschland","0.95","0.5","3331","0.91","0.99"
"2007","2","Ostdeutschland","0.59","0","1539","0.54","0.64"
"2007","2","Westdeutschland","0.89","0","3874","0.85","0.93"
"2007","3","Ostdeutschland","0.39","0","1433","0.35","0.43"
"2007","3","Westdeutschland","0.81","0","4172","0.78","0.84"
"2007","4","Ostdeutschland","0.31","0","1032","0.26","0.36"
"2007","4","Westdeutschland","0.49","0","4704","0.46","0.52"
"2007","5 Einkommensstärkstes Quintil","Ostdeutschland","0.48","0","554","0.37","0.59"
"2007","5 Einkommensstärkstes Quintil","Westdeutschland","0.42","0","4411","0.39","0.45"
"2008","1 Einkommensschwächstes Quintil","Ostdeutschland","0.69","0","1430","0.63","0.75"
"2008","1 Einkommensschwächstes Quintil","Westdeutschland","0.86","0","2854","0.82","0.9"
"2008","2","Ostdeutschland","0.56","0","1351","0.51","0.61"
"2008","2","Westdeutschland","0.87","0","3325","0.83","0.91"
"2008","3","Ostdeutschland","0.38","0","1383","0.34","0.42"
"2008","3","Westdeutschland","0.79","0","4016","0.76","0.82"
"2008","4","Ostdeutschland","0.3","0","1072","0.26","0.34"
"2008","4","Westdeutschland","0.49","0","4476","0.46","0.52"
"2008","5 Einkommensstärkstes Quintil","Ostdeutschland","0.51","0","585","0.41","0.61"
"2008","5 Einkommensstärkstes Quintil","Westdeutschland","0.43","0","4385","0.4","0.46"
"2009","1 Einkommensschwächstes Quintil","Ostdeutschland","0.67","0","1223","0.6","0.74"
"2009","1 Einkommensschwächstes Quintil","Westdeutschland","0.74","0","2555","0.7","0.78"
"2009","2","Ostdeutschland","0.54","0","1326","0.49","0.59"
"2009","2","Westdeutschland","0.9","0","2982","0.86","0.94"
"2009","3","Ostdeutschland","0.47","0","1356","0.42","0.52"
"2009","3","Westdeutschland","0.75","0","3518","0.72","0.78"
"2009","4","Ostdeutschland","0.34","0","1096","0.3","0.38"
"2009","4","Westdeutschland","0.53","0","4257","0.5","0.56"
"2009","5 Einkommensstärkstes Quintil","Ostdeutschland","0.61","0","581","0.51","0.71"
"2009","5 Einkommensstärkstes Quintil","Westdeutschland","0.41","0","4327","0.38","0.44"
"2010","1 Einkommensschwächstes Quintil","Ostdeutschland","0.67","0","2224","0.61","0.73"
"2010","1 Einkommensschwächstes Quintil","Westdeutschland","0.89","0","5909","0.85","0.93"
"2010","2","Ostdeutschland","0.51","0","2015","0.45","0.57"
"2010","2","Westdeutschland","0.81","0","6344","0.78","0.84"
"2010","3","Ostdeutschland","0.37","0","1634","0.32","0.42"
"2010","3","Westdeutschland","0.74","0","5587","0.71","0.77"
"2010","4","Ostdeutschland","0.39","0","1349","0.34","0.44"
"2010","4","Westdeutschland","0.51","0","5956","0.48","0.54"
"2010","5 Einkommensstärkstes Quintil","Ostdeutschland","0.48","0","708","0.4","0.56"
"2010","5 Einkommensstärkstes Quintil","Westdeutschland","0.42","0","5742","0.39","0.45"
"2011","1 Einkommensschwächstes Quintil","Ostdeutschland","0.68","0","2449","0.62","0.74"
"2011","1 Einkommensschwächstes Quintil","Westdeutschland","0.82","0","6128","0.78","0.86"
"2011","2","Ostdeutschland","0.59","0","2104","0.53","0.65"
"2011","2","Westdeutschland","0.87","0","7165","0.84","0.9"
"2011","3","Ostdeutschland","0.4","0","1991","0.35","0.45"
"2011","3","Westdeutschland","0.73","0","6754","0.7","0.76"
"2011","4","Ostdeutschland","0.42","0","1675","0.37","0.47"
"2011","4","Westdeutschland","0.57","0","7621","0.54","0.6"
"2011","5 Einkommensstärkstes Quintil","Ostdeutschland","0.48","0","927","0.41","0.55"
"2011","5 Einkommensstärkstes Quintil","Westdeutschland","0.44","0","7187","0.41","0.47"
"2012","1 Einkommensschwächstes Quintil","Ostdeutschland","0.67","0","2095","0.61","0.73"
"2012","1 Einkommensschwächstes Quintil","Westdeutschland","0.83","0","5042","0.79","0.87"
"2012","2","Ostdeutschland","0.54","0","2051","0.48","0.6"
"2012","2","Westdeutschland","0.86","0","6520","0.82","0.9"
"2012","3","Ostdeutschland","0.46","0","2020","0.41","0.51"
"2012","3","Westdeutschland","0.74","0","6822","0.71","0.77"
"2012","4","Ostdeutschland","0.4","0","1657","0.35","0.45"
"2012","4","Westdeutschland","0.56","0","7664","0.53","0.59"
"2012","5 Einkommensstärkstes Quintil","Ostdeutschland","0.5","0","1047","0.43","0.57"
"2012","5 Einkommensstärkstes Quintil","Westdeutschland","0.44","0","7487","0.41","0.47"
"2013","1 Einkommensschwächstes Quintil","Ostdeutschland","0.62","0","2032","0.55","0.69"
"2013","1 Einkommensschwächstes Quintil","Westdeutschland","0.91","0","6749","0.87","0.95"
"2013","2","Ostdeutschland","0.68","0","2035","0.62","0.74"
"2013","2","Westdeutschland","0.89","0","7584","0.86","0.92"
"2013","3","Ostdeutschland","0.41","0","1784","0.36","0.46"
"2013","3","Westdeutschland","0.69","0","7562","0.66","0.72"
"2013","4","Ostdeutschland","0.41","0","1846","0.36","0.46"
"2013","4","Westdeutschland","0.55","0","8712","0.53","0.57"
"2013","5 Einkommensstärkstes Quintil","Ostdeutschland","0.51","0","1139","0.45","0.57"
"2013","5 Einkommensstärkstes Quintil","Westdeutschland","0.43","0","8221","0.41","0.45"
"2014","1 Einkommensschwächstes Quintil","Ostdeutschland","0.73","0","1515","0.66","0.8"
"2014","1 Einkommensschwächstes Quintil","Westdeutschland","0.9","0","5026","0.86","0.94"
"2014","2","Ostdeutschland","0.68","0","1822","0.61","0.75"
"2014","2","Westdeutschland","0.92","0","6023","0.88","0.96"
"2014","3","Ostdeutschland","0.44","0","1744","0.38","0.5"
"2014","3","Westdeutschland","0.71","0","6498","0.68","0.74"
"2014","4","Ostdeutschland","0.44","0","1854","0.39","0.49"
"2014","4","Westdeutschland","0.53","0","7783","0.5","0.56"
"2014","5 Einkommensstärkstes Quintil","Ostdeutschland","0.53","0","1087","0.47","0.59"
"2014","5 Einkommensstärkstes Quintil","Westdeutschland","0.44","0","8155","0.41","0.47"
"2015","1 Einkommensschwächstes Quintil","Ostdeutschland","0.64","0","1407","0.56","0.72"
"2015","1 Einkommensschwächstes Quintil","Westdeutschland","0.9","0","5160","0.86","0.94"
"2015","2","Ostdeutschland","0.77","0","1530","0.69","0.85"
"2015","2","Westdeutschland","0.89","0","5687","0.85","0.93"
"2015","3","Ostdeutschland","0.54","0","1786","0.48","0.6"
"2015","3","Westdeutschland","0.7","0","6192","0.67","0.73"
"2015","4","Ostdeutschland","0.43","0","1823","0.38","0.48"
"2015","4","Westdeutschland","0.55","0","7725","0.52","0.58"
"2015","5 Einkommensstärkstes Quintil","Ostdeutschland","0.53","0","1177","0.48","0.58"
"2015","5 Einkommensstärkstes Quintil","Westdeutschland","0.45","0","8563","0.43","0.47"
"2016","1 Einkommensschwächstes Quintil","Ostdeutschland","0.71","0","2644","0.64","0.78"
"2016","1 Einkommensschwächstes Quintil","Westdeutschland","0.99","0","10288","0.96","1.02"
"2016","2","Ostdeutschland","0.86","0","1363","0.77","0.95"
"2016","2","Westdeutschland","0.92","0","5094","0.88","0.96"
"2016","3","Ostdeutschland","0.54","0","1573","0.48","0.6"
"2016","3","Westdeutschland","0.72","0","5303","0.68","0.76"
"2016","4","Ostdeutschland","0.44","0","1849","0.39","0.49"
"2016","4","Westdeutschland","0.54","0","7426","0.51","0.57"
"2016","5 Einkommensstärkstes Quintil","Ostdeutschland","0.55","0","1221","0.49","0.61"
"2016","5 Einkommensstärkstes Quintil","Westdeutschland","0.48","0","8327","0.46","0.5"
