"year","hhtyp","quintil","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1995","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"1995","(Ehe-)Paar ohne Kind(er)","2","76.64","74","94","53","65","90","100","140","72.53","80.75","40","140","66","76"
"1995","(Ehe-)Paar ohne Kind(er)","3","","","","","","","","","","","","","",""
"1995","(Ehe-)Paar ohne Kind(er)","4","","","","","","","","","","","","","",""
"1995","(Ehe-)Paar ohne Kind(er)","5 Einkommensstärkstes Quintil","123.56","112.5","54","68","90","142","200","350","106.01","141.11","52","350","81","120"
"1995","1-Pers.- Haushalt","1 Einkommensschwächstes Quintil","44.86","39.5","75","20","30","50","75","180","38.95","50.77","13","180","40","45"
"1995","1-Pers.- Haushalt","2","58.49","51","51","30","43","63","90","180","50.79","66.19","20","180","47","60"
"1995","1-Pers.- Haushalt","3","62.18","57.5","30","48","50","72","88","120","54.56","69.8","12","120","50","67"
"1995","1-Pers.- Haushalt","4","","","","","","","","","","","","","",""
"1995","1-Pers.- Haushalt","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"1995","Alleinerziehende","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"1995","Alleinerziehende","2","","","","","","","","","","","","","",""
"1995","Alleinerziehende","3","140.6","137.5","7","83","95","180","180","180","99.77","181.43","83","180","",""
"1995","Alleinerziehende","4","99.85","63","8","56","70","140","140","140","65.16","134.54","56","140","",""
"1995","Alleinerziehende","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"1995","Paar mit Kind(ern)","1 Einkommensschwächstes Quintil","97.42","88.5","806","59","72","120","146","300","94.8","100.04","18","300","80","85"
"1995","Paar mit Kind(ern)","2","102.4","99","406","70","83","120","140","173","99.64","105.16","22","173","90","100"
"1995","Paar mit Kind(ern)","3","","","","","","","","","","","","","",""
"1995","Paar mit Kind(ern)","4","131.75","125","89","97","115","140","178","232","123.11","140.39","53","232","120","135"
"1995","Paar mit Kind(ern)","5 Einkommensstärkstes Quintil","169.37","155","44","120","140","170","300","300","154.21","184.53","114","300","140","165"
"1995","Sonstige","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
"1995","Sonstige","2","99.77","92","47","68","76","130","145","150","89.94","109.6","44","150","76","115"
"1995","Sonstige","3","111.97","95","45","70","90","145","180","180","100.36","123.58","50","180","90","130"
"1995","Sonstige","4","","","","","","","","","","","","","",""
"1995","Sonstige","5 Einkommensstärkstes Quintil","","","","","","","","","","","","","",""
"1996","(Ehe-)Paar ohne Kind(er)","1 Einkommensschwächstes Quintil","","","","","","","","","","","","","",""
