"year","quintil","sampreg","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1995","1 Einkommensschwächstes Quintil","Ostdeutschland","80.81","69","308","76.74","84.88"
"1995","1 Einkommensschwächstes Quintil","Westdeutschland","85.07","75.5","938","82.53","87.61"
"1995","2","Ostdeutschland","84.36","73.5","118","78.89","89.83"
"1995","2","Westdeutschland","92.54","89","491","89.79","95.29"
"1995","3","Ostdeutschland","97.98","85","63","87.96","108"
"1995","3","Westdeutschland","105.4","94.5","358","100.94","109.86"
"1995","4","Ostdeutschland","","","","",""
"1995","4","Westdeutschland","99.11","91.5","217","93.62","104.6"
"1995","5 Einkommensstärkstes Quintil","Ostdeutschland","","","","",""
"1995","5 Einkommensstärkstes Quintil","Westdeutschland","124.35","114.5","119","113.22","135.48"
"1996","1 Einkommensschwächstes Quintil","Ostdeutschland","81.85","69.5","270","75.31","88.39"
"1996","1 Einkommensschwächstes Quintil","Westdeutschland","88.72","79","612","85.84","91.6"
"1996","2","Ostdeutschland","85.8","68.5","171","79.79","91.81"
"1996","2","Westdeutschland","97.27","89.5","445","93.48","101.06"
"1996","3","Ostdeutschland","80.88","64","105","73.72","88.04"
"1996","3","Westdeutschland","95.62","91.5","302","91.56","99.68"
"1996","4","Ostdeutschland","80.78","71","47","70.08","91.48"
"1996","4","Westdeutschland","97.97","84.5","173","91.71","104.23"
"1996","5 Einkommensstärkstes Quintil","Ostdeutschland","","","","",""
"1996","5 Einkommensstärkstes Quintil","Westdeutschland","134.27","123.5","108","122.96","145.58"
"1997","1 Einkommensschwächstes Quintil","Ostdeutschland","72.71","66.5","320","69.68","75.74"
"1997","1 Einkommensschwächstes Quintil","Westdeutschland","90.57","79.5","506","87.2","93.94"
"1997","2","Ostdeutschland","71.92","69.5","175","66.43","77.41"
"1997","2","Westdeutschland","96.33","91.5","356","91.89","100.77"
"1997","3","Ostdeutschland","85.04","76","82","78.08","92"
"1997","3","Westdeutschland","93.67","84","304","88.38","98.96"
"1997","4","Ostdeutschland","91","83.5","34","79.9","102.1"
"1997","4","Westdeutschland","106.19","105.5","191","100.9","111.48"
"1997","5 Einkommensstärkstes Quintil","Ostdeutschland","","","","",""
"1997","5 Einkommensstärkstes Quintil","Westdeutschland","116.45","116","102","107","125.9"
