"year","regtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1985","Ländlicher Raum","93.53","89.5","1037","53","67","115","140","200","91.3","95.76","13","340","90","96"
"1985","Städtischer Raum","81.3","73.5","4037","45","57","100","127","200","80.18","82.42","9","564","75","77"
"1986","Ländlicher Raum","90.85","75.5","122","53","60","120","150","225","83.29","98.41","16","240","74","89"
"1986","Städtischer Raum","75.42","69.5","559","35","51","92","120","200","72.47","78.37","8","270","69","75"
"1987","Ländlicher Raum","87.9","79","109","60","63","106","130","220","81.19","94.61","20","220","72","82"
"1987","Städtischer Raum","75.19","69.5","483","38","50","94","120","175","72.3","78.08","12","220","70","75"
"1988","Ländlicher Raum","82.87","71.5","100","39","56","96","135","312","73.73","92.01","25","312","70","86"
"1988","Städtischer Raum","77.45","69.5","459","35","54","90","130","200","73.87","81.03","10","260","68","75"
"1989","Ländlicher Raum","89.25","81","101","39","57","120","150","250","80.61","97.89","15","250","75","90"
"1989","Städtischer Raum","77.78","69.5","431","41","53","93","125","200","74.31","81.25","12","270","68","75"
"1990","Ländlicher Raum","69.6","59.5","1458","36","48","82","118","180","67.9","71.3","13","240","62","67"
"1990","Städtischer Raum","70.09","62.5","1122","34","48","84","111","200","68.23","71.95","10","300","64","68"
"1991","Ländlicher Raum","87.66","79","193","36","55","110","150","250","80.91","94.41","15","300","70","93"
"1991","Städtischer Raum","78.29","69.5","430","40","52","100","130","190","74.85","81.73","9","204","66","72"
"1992","Ländlicher Raum","84.93","70.5","209","43","54","105","150","240","79.37","90.49","15","240","68","80"
"1992","Städtischer Raum","76.93","69.5","434","35","50","100","130","200","73.42","80.44","12","250","65","72"
"1993","Ländlicher Raum","88.99","79.5","224","36","60","120","146","200","83.15","94.83","10","350","74","90"
"1993","Städtischer Raum","84.74","74.5","479","42","58","100","140","240","81.17","88.31","18","350","70","76"
"1994","Ländlicher Raum","85.68","77","243","40","50","115","150","200","80.38","90.98","10","250","74","87"
"1994","Städtischer Raum","77.52","66.5","508","38","50","96","126","200","74.24","80.8","15","270","70","77"
"1995","Ländlicher Raum","93.1","81.5","301","46","60","120","150","300","87.57","98.63","18","400","76","90"
"1995","Städtischer Raum","79.85","71.5","674","40","54","100","130","200","77.1","82.6","12","250","71","76"
"1996","Ländlicher Raum","82.71","69.5","292","41","54","103","140","210","77.55","87.87","10","400","70","80"
"1996","Städtischer Raum","83.34","75.5","622","45","55","100","135","240","80.41","86.27","10","320","72","79"
"1997","Ländlicher Raum","85.82","74.5","290","45","60","110","140","220","80.87","90.77","10","365","70","80"
"1997","Städtischer Raum","81.67","74.5","556","42","59","100","132","188","78.77","84.57","10","230","74","79"
"1998","Ländlicher Raum","93.78","86.5","2485","50","61","120","150","220","92.15","95.41","8","350","85","90"
"1998","Städtischer Raum","86.34","78.5","4859","48","60","104","132","220","85.3","87.38","10","420","80","80"
"1999","Ländlicher Raum","88.51","77.5","305","45","58","108","143","240","83.34","93.68","10","330","71","85"
"1999","Städtischer Raum","82.33","71.5","630","42","55","98","130","250","78.91","85.75","16","450","72","79"
"2000","Ländlicher Raum","94.67","89.5","2270","49","61","120","150","240","92.91","96.43","16","450","90","96"
"2000","Städtischer Raum","89.41","79.5","4506","48","60","110","145","220","88.17","90.65","10","400","82","85"
"2001","Ländlicher Raum","91.17","79","391","48","60","120","150","240","86.73","95.61","20","300","80","90"
"2001","Städtischer Raum","84.46","74.5","880","45","58","100","140","220","81.87","87.05","14","320","75","80"
"2002","Ländlicher Raum","94.14","89.5","3916","49","63","120","150","230","92.73","95.55","9","450","90","96"
"2002","Städtischer Raum","88.79","79.5","8107","48","60","110","140","220","87.8","89.78","10","450","86","90"
"2003","Ländlicher Raum","93.63","89.5","3837","48","61","120","150","224","92.21","95.05","10","450","90","96"
"2003","Städtischer Raum","88.4","79.5","7927","49","60","110","140","220","87.42","89.38","12","450","86","90"
"2004","Ländlicher Raum","94.54","89.5","3765","49","62","120","150","240","93.07","96.01","12","450","91","98"
"2004","Städtischer Raum","89.17","79.5","7737","50","61","110","140","220","88.17","90.17","10","450","87","90"
"2005","Ländlicher Raum","95.87","89.5","3660","50","64","120","150","240","94.38","97.36","10","450","91","98"
"2005","Städtischer Raum","89.2","79.5","7517","50","61","110","140","216","88.19","90.21","8","450","87","90"
"2006","Ländlicher Raum","95.18","89.5","4109","49","63","120","150","240","93.77","96.59","12","450","92","98"
"2006","Städtischer Raum","89.38","79.5","8115","50","61","110","140","220","88.36","90.4","9","838","86","90"
"2007","Ländlicher Raum","96.59","89.5","3865","49","63","120","150","250","95.07","98.11","12","470","93","99"
"2007","Städtischer Raum","90.32","79.5","7556","50","62","110","140","220","89.29","91.35","9","838","88","90"
"2008","Ländlicher Raum","97.59","89.5","3651","50","65","120","150","248","96.07","99.11","12","470","96","100"
"2008","Städtischer Raum","90.91","79.5","7139","50","62","115","144","220","89.84","91.98","10","938","88","90"
"2009","Ländlicher Raum","98.47","89.5","3496","50","65","120","150","250","96.88","100.06","10","550","96","100"
"2009","Städtischer Raum","91.69","79.5","6646","50","63","116","144","230","90.6","92.78","10","500","88","90"
"2010","Ländlicher Raum","99.43","91.5","4733","50","65","120","151","250","98.05","100.81","15","550","100","100"
"2010","Städtischer Raum","92.82","81.5","9021","50","63","120","150","240","91.9","93.74","13","500","90","91"
"2011","Ländlicher Raum","99.48","91.5","5876","50","65","120","156","240","98.24","100.72","13","470","100","100"
"2011","Städtischer Raum","92.5","81.5","10693","50","63","120","150","240","91.63","93.37","9","500","90","90"
"2012","Ländlicher Raum","99.3","89.5","5873","50","65","120","155","250","98.05","100.55","15","540","100","100"
"2012","Städtischer Raum","93.24","81.5","10409","50","63","120","150","240","92.35","94.13","9","500","90","91"
"2013","Ländlicher Raum","98.93","89.5","6032","50","65","120","152","250","97.7","100.16","10","540","98","100"
"2013","Städtischer Raum","92.6","80.5","11789","50","63","120","150","230","91.8","93.4","10","500","87","90"
"2014","Ländlicher Raum","98.97","89.5","5437","50","65","120","155","250","97.68","100.26","10","470","98","100"
"2014","Städtischer Raum","93.61","82.5","10346","50","64","120","150","240","92.74","94.48","10","450","90","90"
"2015","Ländlicher Raum","99.52","89.5","5381","50","65","120","156","250","98.2","100.84","10","470","97","100"
"2015","Städtischer Raum","93.44","81.5","10313","50","63","120","150","240","92.57","94.31","11","430","86","89"
"2016","Ländlicher Raum","101.06","92.5","5492","50","67","125","160","250","99.79","102.33","10","470","92","97"
"2016","Städtischer Raum","93.49","82.5","10644","50","63","120","150","230","92.64","94.34","6","430","85","87"
"2017","Ländlicher Raum","101.31","94.5","6163","50","67","125","160","250","100.1","102.52","9","470","95","100"
"2017","Städtischer Raum","93.88","83.5","11827","50","64","120","150","236","93.08","94.68","10","410","85","88"
"2018","Ländlicher Raum","101.67","94.5","5861","50","67","125","160","250","100.43","102.91","13","400","95","100"
"2018","Städtischer Raum","94.45","84.5","11716","50","64","120","150","240","93.65","95.25","11","420","85","86"
"2019","Ländlicher Raum","102.52","95.5","5981","50","67","129","160","270","101.1","103.94","12","600","100","100"
"2019","Städtischer Raum","95.58","84.5","11893","50","64","120","150","245","94.6","96.56","9","698","90","92"
"2020","Ländlicher Raum","103.6","97.5","5960","50","68","130","160","260","102.25","104.95","10","600","95","100"
"2020","Städtischer Raum","95.94","84.5","13229","50","64","120","150","250","95.09","96.79","9","700","82","84"
