"year","quintil","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1995","1 Einkommensschwächstes Quintil","84.24","75.5","1246","82.08","86.4"
"1995","2","91.44","87.5","609","88.98","93.9"
"1995","3","104.71","94.5","421","100.65","108.77"
"1995","4","99.31","91.5","240","93.89","104.73"
"1995","5 Einkommensstärkstes Quintil","127.63","114.5","135","114.97","140.29"
"1996","1 Einkommensschwächstes Quintil","86.96","79","882","84.14","89.78"
"1996","2","94.5","84.5","616","91.28","97.72"
"1996","3","93.39","85.5","407","89.83","96.95"
"1996","4","95.88","82.5","220","90.43","101.33"
"1996","5 Einkommensstärkstes Quintil","133.49","117.5","119","122.98","144"
"1997","1 Einkommensschwächstes Quintil","84.51","74.5","826","82.08","86.94"
"1997","2","89.52","79.5","531","85.98","93.06"
"1997","3","92.3","82.5","386","87.88","96.72"
"1997","4","104.95","99","225","100.17","109.73"
"1997","5 Einkommensstärkstes Quintil","115.34","116","121","107.19","123.49"
"1998","1 Einkommensschwächstes Quintil","89.59","79.5","6376","88.72","90.46"
"1998","2","95.21","89.5","5119","94.19","96.23"
"1998","3","99.67","93.5","3569","98.38","100.96"
"1998","4","109.47","99","2370","107.71","111.23"
"1998","5 Einkommensstärkstes Quintil","122.96","116.5","1156","120.09","125.83"
"1999","1 Einkommensschwächstes Quintil","79.59","77","708","77.11","82.07"
"1999","2","92.74","84.5","592","88.9","96.58"
"1999","3","105.89","96.5","429","101.42","110.36"
"1999","4","102.1","85.5","268","96.13","108.07"
"1999","5 Einkommensstärkstes Quintil","143.47","115.5","182","132.13","154.81"
"2000","1 Einkommensschwächstes Quintil","86.56","79.5","4564","85.5","87.62"
"2000","2","98.31","91.5","4393","97.15","99.47"
"2000","3","105.65","99.5","3417","104.28","107.02"
"2000","4","109.97","99.5","2332","108.06","111.88"
"2000","5 Einkommensstärkstes Quintil","122.8","116.5","1583","120.2","125.4"
"2001","1 Einkommensschwächstes Quintil","81.6","76.5","919","79.39","83.81"
"2001","2","102.96","99.5","788","99.71","106.21"
"2001","3","101.58","89","634","97.91","105.25"
"2001","4","111.01","99","472","107.02","115"
"2001","5 Einkommensstärkstes Quintil","117.46","109.5","272","112.51","122.41"
