"year","hhtyp","regtyp","mean","median","n","lower_confidence","upper_confidence"
"1985","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","91.15","88.5","506","88.37","93.93"
"1985","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","81.69","74.5","1858","80.38","83"
"1985","1-Pers.- Haushalt","Laendlicher Raum","68.49","60.5","168","64.02","72.96"
"1985","1-Pers.- Haushalt","Staedtischer Raum","59.73","55.5","926","57.84","61.62"
"1985","Alleinerziehende","Laendlicher Raum","93.02","84.5","152","87.18","98.86"
"1985","Alleinerziehende","Staedtischer Raum","89.85","79.5","584","87.03","92.67"
"1985","Paar mit Kind(ern)","Laendlicher Raum","111.27","109","1935","109.76","112.78"
"1985","Paar mit Kind(ern)","Staedtischer Raum","104.55","99.5","7018","103.69","105.41"
"1985","Sonstige","Laendlicher Raum","121.56","113.5","264","116.09","127.03"
"1985","Sonstige","Staedtischer Raum","107.3","95.5","610","103.9","110.7"
"1986","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","84.05","72.5","60","76.36","91.74"
"1986","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","84.38","77","298","80.42","88.34"
"1986","1-Pers.- Haushalt","Laendlicher Raum","","","","",""
"1986","1-Pers.- Haushalt","Staedtischer Raum","53.89","49","161","49.9","57.88"
"1986","Alleinerziehende","Laendlicher Raum","","","","",""
"1986","Alleinerziehende","Staedtischer Raum","84.23","77","84","76.02","92.44"
"1986","Paar mit Kind(ern)","Laendlicher Raum","121.04","112","182","114.58","127.5"
"1986","Paar mit Kind(ern)","Staedtischer Raum","105.05","98","712","102.48","107.62"
"1986","Sonstige","Laendlicher Raum","","","","",""
"1986","Sonstige","Staedtischer Raum","85.71","78","90","80.52","90.9"
"1987","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","95.71","79","72","87.2","104.22"
"1987","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","82.69","77.5","234","79.47","85.91"
"1987","1-Pers.- Haushalt","Laendlicher Raum","","","","",""
"1987","1-Pers.- Haushalt","Staedtischer Raum","56.9","50.5","153","52.52","61.28"
"1987","Alleinerziehende","Laendlicher Raum","","","","",""
"1987","Alleinerziehende","Staedtischer Raum","79.46","76","75","72.68","86.24"
"1987","Paar mit Kind(ern)","Laendlicher Raum","100.42","92.5","145","95.76","105.08"
"1987","Paar mit Kind(ern)","Staedtischer Raum","103.57","99.5","643","101.11","106.03"
"1987","Sonstige","Laendlicher Raum","","","","",""
"1987","Sonstige","Staedtischer Raum","86.56","82.5","74","80.53","92.59"
"1988","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","78.98","68","62","70.7","87.26"
"1988","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","78.44","74.5","266","75.57","81.31"
"1988","1-Pers.- Haushalt","Laendlicher Raum","","","","",""
"1988","1-Pers.- Haushalt","Staedtischer Raum","56.75","54.5","126","51.78","61.72"
"1988","Alleinerziehende","Laendlicher Raum","","","","",""
"1988","Alleinerziehende","Staedtischer Raum","70.55","66","59","65.23","75.87"
"1988","Paar mit Kind(ern)","Laendlicher Raum","103.13","93.5","133","98.19","108.07"
"1988","Paar mit Kind(ern)","Staedtischer Raum","112.9","108.5","581","109.27","116.53"
"1988","Sonstige","Laendlicher Raum","","","","",""
"1988","Sonstige","Staedtischer Raum","116.49","87.5","81","106.66","126.32"
"1989","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","95.22","85.5","66","85.57","104.87"
"1989","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","76.55","74.5","252","72.93","80.17"
"1989","1-Pers.- Haushalt","Laendlicher Raum","","","","",""
"1989","1-Pers.- Haushalt","Staedtischer Raum","62.54","58.5","118","56.92","68.16"
"1989","Alleinerziehende","Laendlicher Raum","","","","",""
"1989","Alleinerziehende","Staedtischer Raum","81.89","71.5","52","72.81","90.97"
"1989","Paar mit Kind(ern)","Laendlicher Raum","115.94","115","147","108.53","123.35"
"1989","Paar mit Kind(ern)","Staedtischer Raum","109.79","107.5","564","106.67","112.91"
"1989","Sonstige","Laendlicher Raum","","","","",""
