year,age_gr,pgisced97,plh0187,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,17-29 y.,Pre-primary Level,Very seldom,0.12649,77,296,0.08856,0.16442
2007,17-29 y.,Pre-primary Level,Seldom,0.17088,108,296,0.12793,0.21384
2007,17-29 y.,Pre-primary Level,Sometimes,0.15666,111,296,0.11518,0.19814
2007,17-29 y.,Lower Secondary Level,Very seldom,0.21022,136,583,0.17712,0.24333
2007,17-29 y.,Lower Secondary Level,Seldom,0.26270,189,583,0.22695,0.29846
2007,17-29 y.,Lower Secondary Level,Sometimes,0.31046,186,583,0.27287,0.34805
2007,17-29 y.,Lower Secondary Level,Often,0.10746,72,583,0.08230,0.13262
2007,17-29 y.,Upper Secondary Level,Very seldom,0.18286,323,1565,0.16370,0.20202
2007,17-29 y.,Upper Secondary Level,Seldom,0.33878,540,1565,0.31532,0.36224
2007,17-29 y.,Upper Secondary Level,Sometimes,0.31562,476,1565,0.29259,0.33866
2007,17-29 y.,Upper Secondary Level,Often,0.11438,178,1565,0.09860,0.13015
2007,17-29 y.,Upper Secondary Level,Very often,0.04402,48,1565,0.03386,0.05419
2007,17-29 y.,Post-secondary Non-tertiary Level,Very seldom,0.15811,38,246,0.11243,0.20380
2007,17-29 y.,Post-secondary Non-tertiary Level,Seldom,0.37026,95,246,0.30979,0.43072
2007,17-29 y.,Post-secondary Non-tertiary Level,Sometimes,0.30440,77,246,0.24678,0.36202
2007,17-29 y.,Post-secondary Non-tertiary Level,Often,0.09594,36,246,0.05906,0.13282
2007,17-29 y.,Second Stage of Tertiary Education,Very seldom,0.16706,36,197,0.11484,0.21929
2007,17-29 y.,Second Stage of Tertiary Education,Seldom,0.36819,85,197,0.30066,0.43571
2007,17-29 y.,Second Stage of Tertiary Education,Sometimes,0.32664,76,197,0.26098,0.39230
2007,30-45 y.,Lower Secondary Level,Very seldom,0.16255,58,319,0.12200,0.20310
2007,30-45 y.,Lower Secondary Level,Seldom,0.28238,103,319,0.23290,0.33186
2007,30-45 y.,Lower Secondary Level,Sometimes,0.33680,105,319,0.28486,0.38875
2007,30-45 y.,Lower Secondary Level,Often,0.17410,53,319,0.13242,0.21578
