,Unnamed: 0,year,migback,sex,plg0267_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2014,No migration background,male,General education,0.12977,161,2752,0.10179,0.15481
1,1,2014,No migration background,male,University/ Technical university,0.42255,324,2752,0.3726,0.47181
2,2,2014,No migration background,male,Vocational training,0.34844,300,2752,0.2981,0.39723
3,3,2014,No migration background,male,Further training/ Retraining,0.09924,70,2752,0.07678,0.12344
4,4,2014,No migration background,female,General education,0.13681,183,2752,0.11665,0.15882
5,5,2014,No migration background,female,University/ Technical university,0.44237,349,2752,0.39461,0.48788
6,6,2014,No migration background,female,Vocational training,0.27735,307,2752,0.24159,0.31257
7,7,2014,No migration background,female,Further training/ Retraining,0.14347,159,2752,0.11337,0.18277
8,8,2014,Direct migration background,male,General education,0.12263,31,2752,0.08366,0.16915
9,9,2014,Direct migration background,male,University/ Technical university,0.59484,73,2752,0.39393,0.81272
10,10,2014,Direct migration background,male,Vocational training,0.28253,72,2752,0.22139,0.36088
11,11,2014,Direct migration background,female,General education,0.06514,34,2752,0.04813,0.0832
12,12,2014,Direct migration background,female,University/ Technical university,0.57898,96,2752,0.40568,0.73697
13,13,2014,Direct migration background,female,Vocational training,0.23761,97,2752,0.19537,0.28095
14,14,2014,Direct migration background,female,Further training/ Retraining,0.11827,56,2752,0.08549,0.162
15,15,2014,Indirect migration background,male,General education,0.24669,68,2752,0.19584,0.30694
16,16,2014,Indirect migration background,male,University/ Technical university,0.34359,64,2752,0.23286,0.47476
17,17,2014,Indirect migration background,male,Vocational training,0.40971,87,2752,0.29932,0.51754
18,18,2014,Indirect migration background,female,General education,0.26931,67,2752,0.19411,0.36776
19,19,2014,Indirect migration background,female,University/ Technical university,0.33451,69,2752,0.27677,0.39495
20,20,2014,Indirect migration background,female,Vocational training,0.39618,85,2752,0.31655,0.49689
21,21,2015,No migration background,male,General education,0.12102,129,2432,0.09334,0.14796
22,22,2015,No migration background,male,University/ Technical university,0.42675,317,2432,0.37369,0.49454
23,23,2015,No migration background,male,Vocational training,0.31933,285,2432,0.27451,0.36683
24,24,2015,No migration background,male,Further training/ Retraining,0.1329,69,2432,0.09962,0.18224
25,25,2015,No migration background,female,General education,0.12032,159,2432,0.09841,0.14386
26,26,2015,No migration background,female,University/ Technical university,0.43458,349,2432,0.387,0.48652
27,27,2015,No migration background,female,Vocational training,0.28981,294,2432,0.25293,0.33562
28,28,2015,No migration background,female,Further training/ Retraining,0.15529,127,2432,0.12178,0.19193
29,29,2015,Direct migration background,male,University/ Technical university,0.62609,59,2432,0.38432,0.91613
30,30,2015,Direct migration background,male,Vocational training,0.37391,39,2432,0.22858,0.55482
31,31,2015,Direct migration background,female,University/ Technical university,0.47069,64,2432,0.32416,0.66672
32,32,2015,Direct migration background,female,Vocational training,0.34939,59,2432,0.22698,0.49818
33,33,2015,Direct migration background,female,Further training/ Retraining,0.17992,39,2432,0.117,0.25796
34,34,2015,Indirect migration background,male,General education,0.22489,58,2432,0.16326,0.27949
35,35,2015,Indirect migration background,male,University/ Technical university,0.34725,59,2432,0.24154,0.46439
36,36,2015,Indirect migration background,male,Vocational training,0.42786,84,2432,0.32817,0.52235
37,37,2015,Indirect migration background,female,General education,0.27525,75,2432,0.20712,0.35502
38,38,2015,Indirect migration background,female,University/ Technical university,0.36132,73,2432,0.28735,0.44479
39,39,2015,Indirect migration background,female,Vocational training,0.36342,94,2432,0.28201,0.44871
40,40,2016,No migration background,male,General education,0.11151,116,2536,0.08774,0.13988
41,41,2016,No migration background,male,University/ Technical university,0.47664,290,2536,0.41156,0.55146
42,42,2016,No migration background,male,Vocational training,0.33911,275,2536,0.29289,0.39061
43,43,2016,No migration background,male,Further training/ Retraining,0.07274,54,2536,0.05395,0.09462
44,44,2016,No migration background,female,General education,0.14718,151,2536,0.12161,0.17209
45,45,2016,No migration background,female,University/ Technical university,0.42172,300,2536,0.35709,0.48293
46,46,2016,No migration background,female,Vocational training,0.27872,253,2536,0.23448,0.33274
47,47,2016,No migration background,female,Further training/ Retraining,0.15238,115,2536,0.1148,0.19086
48,48,2016,Direct migration background,male,General education,0.08683,44,2536,0.05386,0.12222
49,49,2016,Direct migration background,male,University/ Technical university,0.4102,79,2536,0.30084,0.57638
50,50,2016,Direct migration background,male,Vocational training,0.29968,103,2536,0.20206,0.47507
51,51,2016,Direct migration background,male,Further training/ Retraining,0.2033,66,2536,0.09797,0.35645
52,52,2016,Direct migration background,female,General education,0.11887,47,2536,0.07104,0.17853
53,53,2016,Direct migration background,female,University/ Technical university,0.54288,87,2536,0.40921,0.75183
54,54,2016,Direct migration background,female,Vocational training,0.17532,69,2536,0.12395,0.24105
55,55,2016,Direct migration background,female,Further training/ Retraining,0.16294,68,2536,0.11755,0.22148
56,56,2016,Indirect migration background,male,General education,0.16844,51,2536,0.10632,0.22988
57,57,2016,Indirect migration background,male,University/ Technical university,0.49253,73,2536,0.35966,0.6609
58,58,2016,Indirect migration background,male,Vocational training,0.33903,83,2536,0.25633,0.45181
59,59,2016,Indirect migration background,female,General education,0.1912,57,2536,0.14529,0.24205
60,60,2016,Indirect migration background,female,University/ Technical university,0.49008,74,2536,0.35951,0.64157
61,61,2016,Indirect migration background,female,Vocational training,0.31872,81,2536,0.25103,0.38578
62,62,2017,No migration background,male,General education,0.13342,165,3017,0.1074,0.16135
63,63,2017,No migration background,male,University/ Technical university,0.46668,382,3017,0.42278,0.51376
64,64,2017,No migration background,male,Vocational training,0.3156,313,3017,0.27313,0.35951
65,65,2017,No migration background,male,Further training/ Retraining,0.08431,77,3017,0.06678,0.10173
66,66,2017,No migration background,female,General education,0.15532,177,3017,0.13108,0.18506
67,67,2017,No migration background,female,University/ Technical university,0.42991,362,3017,0.38128,0.47933
68,68,2017,No migration background,female,Vocational training,0.29767,298,3017,0.25841,0.34739
69,69,2017,No migration background,female,Further training/ Retraining,0.1171,125,3017,0.09533,0.14258
70,70,2017,Direct migration background,male,General education,0.07268,58,3017,0.04865,0.10502
71,71,2017,Direct migration background,male,University/ Technical university,0.38395,95,3017,0.26895,0.51787
72,72,2017,Direct migration background,male,Vocational training,0.34213,145,3017,0.23944,0.47125
73,73,2017,Direct migration background,male,Further training/ Retraining,0.20125,69,3017,0.11381,0.29196
74,74,2017,Direct migration background,female,General education,0.09864,62,3017,0.05166,0.16008
75,75,2017,Direct migration background,female,University/ Technical university,0.41965,81,3017,0.30031,0.55002
76,76,2017,Direct migration background,female,Vocational training,0.28458,92,3017,0.20704,0.39354
77,77,2017,Direct migration background,female,Further training/ Retraining,0.19713,72,3017,0.14064,0.26593
78,78,2017,Indirect migration background,male,General education,0.15351,51,3017,0.11575,0.19238
79,79,2017,Indirect migration background,male,University/ Technical university,0.53422,92,3017,0.3805,0.65757
80,80,2017,Indirect migration background,male,Vocational training,0.31227,76,3017,0.24387,0.41351
81,81,2017,Indirect migration background,female,General education,0.17898,62,3017,0.12115,0.23819
82,82,2017,Indirect migration background,female,University/ Technical university,0.46197,83,3017,0.37095,0.58659
83,83,2017,Indirect migration background,female,Vocational training,0.35905,80,3017,0.26807,0.46075
84,84,2018,No migration background,male,General education,0.11554,129,2950,0.09567,0.13959
85,85,2018,No migration background,male,University/ Technical university,0.48504,368,2950,0.43404,0.53852
86,86,2018,No migration background,male,Vocational training,0.33143,311,2950,0.29532,0.37697
87,87,2018,No migration background,male,Further training/ Retraining,0.06799,59,2950,0.04888,0.08861
88,88,2018,No migration background,female,General education,0.1461,151,2950,0.11734,0.1762
89,89,2018,No migration background,female,University/ Technical university,0.46422,378,2950,0.40943,0.52029
90,90,2018,No migration background,female,Vocational training,0.26345,268,2950,0.22934,0.30446
91,91,2018,No migration background,female,Further training/ Retraining,0.12624,104,2950,0.09565,0.15842
92,92,2018,Direct migration background,male,General education,0.09364,63,2950,0.04842,0.1437
93,93,2018,Direct migration background,male,University/ Technical university,0.3751,101,2950,0.2573,0.50093
94,94,2018,Direct migration background,male,Vocational training,0.34534,173,2950,0.25028,0.44791
95,95,2018,Direct migration background,male,Further training/ Retraining,0.18593,85,2950,0.11454,0.28393
96,96,2018,Direct migration background,female,General education,0.0654,70,2950,0.04529,0.09127
97,97,2018,Direct migration background,female,University/ Technical university,0.47094,82,2950,0.33818,0.61346
98,98,2018,Direct migration background,female,Vocational training,0.21129,95,2950,0.13342,0.29649
99,99,2018,Direct migration background,female,Further training/ Retraining,0.25236,80,2950,0.17398,0.34739
100,100,2018,Indirect migration background,male,General education,0.21135,59,2950,0.15471,0.27306
101,101,2018,Indirect migration background,male,University/ Technical university,0.44866,85,2950,0.34328,0.57473
102,102,2018,Indirect migration background,male,Vocational training,0.33998,70,2950,0.25416,0.43244
103,103,2018,Indirect migration background,female,General education,0.20775,56,2950,0.14037,0.30284
104,104,2018,Indirect migration background,female,University/ Technical university,0.40311,84,2950,0.30754,0.50618
105,105,2018,Indirect migration background,female,Vocational training,0.38914,79,2950,0.28634,0.52404
106,106,2019,No migration background,male,General education,0.1107,119,2735,0.0819,0.14559
107,107,2019,No migration background,male,University/ Technical university,0.50703,359,2735,0.44682,0.57545
108,108,2019,No migration background,male,Vocational training,0.31587,274,2735,0.2732,0.36292
109,109,2019,No migration background,male,Further training/ Retraining,0.06639,73,2735,0.05317,0.08155
110,110,2019,No migration background,female,General education,0.12626,128,2735,0.09421,0.15634
111,111,2019,No migration background,female,University/ Technical university,0.42221,385,2735,0.38128,0.46693
112,112,2019,No migration background,female,Vocational training,0.31525,290,2735,0.27088,0.37406
113,113,2019,No migration background,female,Further training/ Retraining,0.13628,107,2735,0.10074,0.17531
114,114,2019,Direct migration background,male,General education,0.09097,53,2735,0.05247,0.14036
115,115,2019,Direct migration background,male,University/ Technical university,0.48785,80,2735,0.25557,0.7693
116,116,2019,Direct migration background,male,Vocational training,0.30071,185,2735,0.20662,0.3936
117,117,2019,Direct migration background,male,Further training/ Retraining,0.12047,46,2735,0.05922,0.21486
118,118,2019,Direct migration background,female,General education,0.0695,43,2735,0.03649,0.10791
119,119,2019,Direct migration background,female,University/ Technical university,0.43174,66,2735,0.26565,0.60322
120,120,2019,Direct migration background,female,Vocational training,0.2743,92,2735,0.1681,0.41603
121,121,2019,Direct migration background,female,Further training/ Retraining,0.22446,49,2735,0.10944,0.38367
122,122,2019,Indirect migration background,male,General education,0.20672,60,2735,0.13731,0.28353
123,123,2019,Indirect migration background,male,University/ Technical university,0.49706,79,2735,0.37745,0.63194
124,124,2019,Indirect migration background,male,Vocational training,0.29622,58,2735,0.22498,0.42149
125,125,2019,Indirect migration background,female,General education,0.17229,43,2735,0.11298,0.23842
126,126,2019,Indirect migration background,female,University/ Technical university,0.43364,69,2735,0.32662,0.5401
127,127,2019,Indirect migration background,female,Vocational training,0.39407,77,2735,0.27887,0.4973
128,128,2020,No migration background,male,General education,0.09476,102,2913,0.07661,0.12202
129,129,2020,No migration background,male,University/ Technical university,0.53463,348,2913,0.46649,0.58793
130,130,2020,No migration background,male,Vocational training,0.27666,239,2913,0.23713,0.31453
131,131,2020,No migration background,male,Further training/ Retraining,0.09395,74,2913,0.07585,0.11503
132,132,2020,No migration background,female,General education,0.10163,122,2913,0.08076,0.11981
133,133,2020,No migration background,female,University/ Technical university,0.46387,405,2913,0.41558,0.51232
134,134,2020,No migration background,female,Vocational training,0.33119,270,2913,0.27838,0.3708
135,135,2020,No migration background,female,Further training/ Retraining,0.10331,82,2913,0.07556,0.13588
136,136,2020,Direct migration background,male,General education,0.13445,63,2913,0.07107,0.21454
137,137,2020,Direct migration background,male,University/ Technical university,0.32072,89,2913,0.16883,0.50491
138,138,2020,Direct migration background,male,Vocational training,0.39429,295,2913,0.27853,0.51549
139,139,2020,Direct migration background,male,Further training/ Retraining,0.15054,68,2913,0.05603,0.27278
140,140,2020,Direct migration background,female,General education,0.09758,55,2913,0.0696,0.13736
141,141,2020,Direct migration background,female,University/ Technical university,0.45005,77,2913,0.26702,0.62942
142,142,2020,Direct migration background,female,Vocational training,0.26027,171,2913,0.16457,0.3681
143,143,2020,Direct migration background,female,Further training/ Retraining,0.1921,57,2913,0.10185,0.32312
144,144,2020,Indirect migration background,male,General education,0.1767,53,2913,0.12953,0.22998
145,145,2020,Indirect migration background,male,University/ Technical university,0.46949,76,2913,0.31773,0.65845
146,146,2020,Indirect migration background,male,Vocational training,0.35381,66,2913,0.23989,0.46535
147,147,2020,Indirect migration background,female,General education,0.11178,44,2913,0.07704,0.14659
148,148,2020,Indirect migration background,female,University/ Technical university,0.41884,80,2913,0.2847,0.57855
149,149,2020,Indirect migration background,female,Vocational training,0.46938,77,2913,0.33543,0.59695
150,150,2021,No migration background,male,General education,0.11219,79,1963,0.08802,0.14366
151,151,2021,No migration background,male,University/ Technical university,0.57906,283,1963,0.50758,0.65237
152,152,2021,No migration background,male,Vocational training,0.24393,150,1963,0.19875,0.29611
153,153,2021,No migration background,male,Further training/ Retraining,0.06482,51,1963,0.04669,0.08615
154,154,2021,No migration background,female,General education,0.09265,62,1963,0.06588,0.13267
155,155,2021,No migration background,female,University/ Technical university,0.54785,318,1963,0.47466,0.62791
156,156,2021,No migration background,female,Vocational training,0.26414,174,1963,0.21267,0.31696
157,157,2021,No migration background,female,Further training/ Retraining,0.09536,62,1963,0.06303,0.12721
158,158,2021,Direct migration background,male,General education,0.14879,52,1963,0.08201,0.24168
159,159,2021,Direct migration background,male,University/ Technical university,0.37219,91,1963,0.19001,0.54972
160,160,2021,Direct migration background,male,Vocational training,0.30849,151,1963,0.23201,0.39542
161,161,2021,Direct migration background,male,Further training/ Retraining,0.17053,49,1963,0.09542,0.30057
162,162,2021,Direct migration background,female,General education,0.04666,45,1963,0.03081,0.06471
163,163,2021,Direct migration background,female,University/ Technical university,0.40405,51,1963,0.21473,0.68994
164,164,2021,Direct migration background,female,Vocational training,0.41693,111,1963,0.23914,0.61974
165,165,2021,Direct migration background,female,Further training/ Retraining,0.13236,38,1963,0.06746,0.2142
166,166,2021,Indirect migration background,male,University/ Technical university,0.69675,57,1963,0.42321,1.19831
167,167,2021,Indirect migration background,male,Vocational training,0.30325,36,1963,0.1984,0.45478
168,168,2021,Indirect migration background,female,University/ Technical university,0.68152,58,1963,0.45991,0.91555
169,169,2021,Indirect migration background,female,Vocational training,0.31848,45,1963,0.19603,0.45785
