,Unnamed: 0,year,age_gr,sex,plg0267_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2014,17-29 y.,male,General education,0.17904,259,2709,0.15349,0.20769
1,1,2014,17-29 y.,male,University/ Technical university,0.43954,377,2709,0.38347,0.48892
2,2,2014,17-29 y.,male,Vocational training,0.38142,416,2709,0.33694,0.43208
3,3,2014,17-29 y.,female,General education,0.17942,281,2709,0.15919,0.20674
4,4,2014,17-29 y.,female,University/ Technical university,0.46942,408,2709,0.42068,0.52784
5,5,2014,17-29 y.,female,Vocational training,0.30457,402,2709,0.27393,0.34226
6,6,2014,17-29 y.,female,Further training/ Retraining,0.0466,52,2709,0.02921,0.06356
7,7,2014,30-45 y.,male,University/ Technical university,0.4617,82,2709,0.34347,0.57346
8,8,2014,30-45 y.,male,Vocational training,0.2309,35,2709,0.13633,0.35078
9,9,2014,30-45 y.,male,Further training/ Retraining,0.3074,54,2709,0.22505,0.42278
10,10,2014,30-45 y.,female,University/ Technical university,0.40341,95,2709,0.32892,0.48742
11,11,2014,30-45 y.,female,Vocational training,0.21985,71,2709,0.14607,0.29873
12,12,2014,30-45 y.,female,Further training/ Retraining,0.37674,110,2709,0.27034,0.51664
13,13,2014,46-65 y.,female,Further training/ Retraining,1.0,67,2709,0.72854,1.29044
14,14,2015,17-29 y.,male,General education,0.16137,211,2463,0.13318,0.19032
15,15,2015,17-29 y.,male,University/ Technical university,0.41881,362,2463,0.36679,0.46819
16,16,2015,17-29 y.,male,Vocational training,0.37708,387,2463,0.32866,0.42854
17,17,2015,17-29 y.,male,Further training/ Retraining,0.04274,39,2463,0.02648,0.06614
18,18,2015,17-29 y.,female,General education,0.1721,258,2463,0.1491,0.19552
19,19,2015,17-29 y.,female,University/ Technical university,0.45048,406,2463,0.39068,0.49619
20,20,2015,17-29 y.,female,Vocational training,0.32667,374,2463,0.28145,0.37498
21,21,2015,17-29 y.,female,Further training/ Retraining,0.05074,47,2463,0.02993,0.07304
22,22,2015,30-45 y.,male,University/ Technical university,0.53705,69,2463,0.39357,0.71454
23,23,2015,30-45 y.,male,Further training/ Retraining,0.46295,49,2463,0.28041,0.65965
24,24,2015,30-45 y.,female,University/ Technical university,0.32665,69,2463,0.22791,0.44897
25,25,2015,30-45 y.,female,Vocational training,0.20717,60,2463,0.15075,0.28607
26,26,2015,30-45 y.,female,Further training/ Retraining,0.46618,97,2463,0.32561,0.59745
27,27,2015,46-65 y.,female,Further training/ Retraining,1.0,35,2463,0.70603,1.37343
28,28,2016,17-29 y.,male,General education,0.14005,209,2496,0.11563,0.17016
29,29,2016,17-29 y.,male,University/ Technical university,0.44686,355,2496,0.38434,0.51192
30,30,2016,17-29 y.,male,Vocational training,0.36117,419,2496,0.31709,0.41142
31,31,2016,17-29 y.,male,Further training/ Retraining,0.05193,46,2496,0.03273,0.07566
32,32,2016,17-29 y.,female,General education,0.18452,251,2496,0.15971,0.21608
33,33,2016,17-29 y.,female,University/ Technical university,0.47001,375,2496,0.41501,0.52171
34,34,2016,17-29 y.,female,Vocational training,0.29805,346,2496,0.25429,0.33669
35,35,2016,17-29 y.,female,Further training/ Retraining,0.04742,44,2496,0.0314,0.0666
36,36,2016,30-45 y.,male,University/ Technical university,0.59015,81,2496,0.42617,0.78773
37,37,2016,30-45 y.,male,Vocational training,0.16499,38,2496,0.08547,0.25747
38,38,2016,30-45 y.,male,Further training/ Retraining,0.24487,58,2496,0.14808,0.34845
39,39,2016,30-45 y.,female,University/ Technical university,0.39513,77,2496,0.2942,0.53271
40,40,2016,30-45 y.,female,Vocational training,0.15996,45,2496,0.09847,0.24506
41,41,2016,30-45 y.,female,Further training/ Retraining,0.44491,108,2496,0.32038,0.62394
42,42,2016,46-65 y.,female,Further training/ Retraining,1.0,44,2496,0.64915,1.34129
43,43,2017,17-29 y.,male,General education,0.1576,273,2975,0.13255,0.189
44,44,2017,17-29 y.,male,University/ Technical university,0.4517,470,2975,0.39482,0.4975
45,45,2017,17-29 y.,male,Vocational training,0.34642,477,2975,0.30528,0.38802
46,46,2017,17-29 y.,male,Further training/ Retraining,0.04428,60,2975,0.03044,0.06436
