,Unnamed: 0,year,pgisced97,sampreg,plg0267_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2014,Pre-primary Level,West,General education,1.0,373,2329,0.88824,1.12995
1,1,2014,Pre-primary Level,East,General education,1.0,53,2329,0.70133,1.37632
2,2,2014,Lower Secondary Level,West,General education,0.11953,64,2329,0.07931,0.15194
3,3,2014,Lower Secondary Level,West,Vocational training,0.77194,325,2329,0.67043,0.87496
4,4,2014,Lower Secondary Level,West,Further training/ Retraining,0.10853,43,2329,0.08001,0.15036
5,5,2014,Lower Secondary Level,East,Vocational training,1.0,64,2329,0.6312,1.43253
6,6,2014,Upper Secondary Level,West,General education,0.02421,35,2329,0.01588,0.0319
7,7,2014,Upper Secondary Level,West,University/ Technical university,0.58915,421,2329,0.53064,0.66078
8,8,2014,Upper Secondary Level,West,Vocational training,0.25122,219,2329,0.22287,0.28922
9,9,2014,Upper Secondary Level,West,Further training/ Retraining,0.13542,100,2329,0.10429,0.16574
10,10,2014,Upper Secondary Level,East,University/ Technical university,0.55787,79,2329,0.43742,0.70295
11,11,2014,Upper Secondary Level,East,Vocational training,0.32585,56,2329,0.22919,0.43204
12,12,2014,Upper Secondary Level,East,Further training/ Retraining,0.11629,34,2329,0.05002,0.23851
13,13,2014,Post-secondary Non-tertiary Level,West,University/ Technical university,0.75595,74,2329,0.59946,0.93951
14,14,2014,Post-secondary Non-tertiary Level,West,Further training/ Retraining,0.24405,42,2329,0.16137,0.34829
15,15,2014,Second Stage of Tertiary Education,West,University/ Technical university,0.67731,173,2329,0.575,0.76448
16,16,2014,Second Stage of Tertiary Education,West,Vocational training,0.14727,49,2329,0.1102,0.2037
17,17,2014,Second Stage of Tertiary Education,West,Further training/ Retraining,0.17542,71,2329,0.1196,0.23852
18,18,2014,Second Stage of Tertiary Education,East,University/ Technical university,1.0,54,2329,0.79368,1.21802
19,19,2015,Pre-primary Level,West,General education,1.0,296,1936,0.85272,1.14161
20,20,2015,Pre-primary Level,East,General education,1.0,52,1936,0.70646,1.27508
21,21,2015,Lower Secondary Level,West,General education,0.16733,65,1936,0.12495,0.21194
22,22,2015,Lower Secondary Level,West,Vocational training,0.83267,291,1936,0.70722,0.98319
23,23,2015,Lower Secondary Level,East,Vocational training,1.0,54,1936,0.6129,1.45339
24,24,2015,Upper Secondary Level,West,University/ Technical university,0.58006,400,1936,0.51033,0.65212
25,25,2015,Upper Secondary Level,West,Vocational training,0.24593,190,1936,0.20167,0.28527
26,26,2015,Upper Secondary Level,West,Further training/ Retraining,0.174,90,1936,0.12982,0.22038
27,27,2015,Upper Secondary Level,East,University/ Technical university,0.60037,62,1936,0.43649,0.75772
28,28,2015,Upper Secondary Level,East,Vocational training,0.39963,54,1936,0.2762,0.5276
29,29,2015,Post-secondary Non-tertiary Level,West,University/ Technical university,1.0,73,1936,0.74667,1.23595
30,30,2015,Second Stage of Tertiary Education,West,University/ Technical university,0.69219,175,1936,0.57717,0.82177
31,31,2015,Second Stage of Tertiary Education,West,Vocational training,0.13782,37,1936,0.0952,0.19663
32,32,2015,Second Stage of Tertiary Education,West,Further training/ Retraining,0.16998,54,1936,0.10603,0.23056
33,33,2015,Second Stage of Tertiary Education,East,University/ Technical university,1.0,43,1936,0.6749,1.41819
34,34,2016,Pre-primary Level,West,General education,1.0,299,1995,0.85743,1.16022
35,35,2016,Pre-primary Level,East,General education,1.0,44,1995,0.63755,1.38083
36,36,2016,Lower Secondary Level,West,General education,0.20923,64,1995,0.15434,0.27144
37,37,2016,Lower Secondary Level,West,Vocational training,0.79077,297,1995,0.65347,0.92699
38,38,2016,Lower Secondary Level,East,Vocational training,1.0,54,1995,0.59004,1.44304
39,39,2016,Upper Secondary Level,West,University/ Technical university,0.61772,374,1995,0.53657,0.71762
40,40,2016,Upper Secondary Level,West,Vocational training,0.25335,200,1995,0.2181,0.30042
41,41,2016,Upper Secondary Level,West,Further training/ Retraining,0.12893,97,1995,0.093,0.1773
42,42,2016,Upper Secondary Level,East,University/ Technical university,0.64161,61,1995,0.46895,0.84642
43,43,2016,Upper Secondary Level,East,Vocational training,0.35839,42,1995,0.24713,0.48924
44,44,2016,Post-secondary Non-tertiary Level,West,University/ Technical university,0.69765,62,1995,0.51411,0.89962
45,45,2016,Post-secondary Non-tertiary Level,West,Further training/ Retraining,0.30235,34,1995,0.15191,0.46951
46,46,2016,Second Stage of Tertiary Education,West,University/ Technical university,0.73802,193,1995,0.59331,0.89391
47,47,2016,Second Stage of Tertiary Education,West,Vocational training,0.10891,44,1995,0.06053,0.14988
48,48,2016,Second Stage of Tertiary Education,West,Further training/ Retraining,0.15308,84,1995,0.10323,0.21186
49,49,2016,Second Stage of Tertiary Education,East,University/ Technical university,1.0,46,1995,0.68884,1.41828
50,50,2017,Pre-primary Level,West,General education,1.0,326,2409,0.86907,1.13986
51,51,2017,Pre-primary Level,East,General education,1.0,67,2409,0.68265,1.37727
52,52,2017,Lower Secondary Level,West,General education,0.17175,89,2409,0.12375,0.22464
53,53,2017,Lower Secondary Level,West,Vocational training,0.74791,311,2409,0.62943,0.85876
54,54,2017,Lower Secondary Level,West,Further training/ Retraining,0.08033,31,2409,0.04902,0.11377
55,55,2017,Lower Secondary Level,East,Vocational training,1.0,63,2409,0.72234,1.28898
56,56,2017,Upper Secondary Level,West,University/ Technical university,0.57656,438,2409,0.51509,0.6421
57,57,2017,Upper Secondary Level,West,Vocational training,0.31939,269,2409,0.28103,0.36147
58,58,2017,Upper Secondary Level,West,Further training/ Retraining,0.10405,95,2409,0.0785,0.13422
59,59,2017,Upper Secondary Level,East,University/ Technical university,0.67974,82,2409,0.5241,0.85712
60,60,2017,Upper Secondary Level,East,Vocational training,0.32026,52,2409,0.22241,0.45453
61,61,2017,Post-secondary Non-tertiary Level,West,University/ Technical university,0.75942,86,2409,0.59717,0.91598
62,62,2017,Post-secondary Non-tertiary Level,West,Further training/ Retraining,0.24058,38,2409,0.16228,0.32321
63,63,2017,Second Stage of Tertiary Education,West,University/ Technical university,0.69779,250,2409,0.58612,0.81483
64,64,2017,Second Stage of Tertiary Education,West,Vocational training,0.09107,55,2409,0.06653,0.12564
65,65,2017,Second Stage of Tertiary Education,West,Further training/ Retraining,0.21114,106,2409,0.1576,0.27017
66,66,2017,Second Stage of Tertiary Education,East,University/ Technical university,1.0,51,2409,0.6649,1.36801
67,67,2018,Pre-primary Level,West,General education,1.0,283,2392,0.85698,1.13989
68,68,2018,Pre-primary Level,East,General education,1.0,58,2392,0.67771,1.42313
69,69,2018,Primary Level,West,Vocational training,1.0,51,2392,0.58593,1.63717
70,70,2018,Lower Secondary Level,West,General education,0.14343,90,2392,0.10885,0.1885
71,71,2018,Lower Secondary Level,West,Vocational training,0.75966,315,2392,0.66448,0.8634
72,72,2018,Lower Secondary Level,West,Further training/ Retraining,0.09691,37,2392,0.05773,0.15458
73,73,2018,Lower Secondary Level,East,Vocational training,1.0,68,2392,0.78962,1.21982
