,Unnamed: 0,year,migback,regtyp,plg0267_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2014,No migration background,Urban regions,General education,0.12064,204,2676,0.102,0.14264
1,1,2014,No migration background,Urban regions,University/ Technical university,0.49453,512,2676,0.44719,0.53825
2,2,2014,No migration background,Urban regions,Vocational training,0.27211,346,2676,0.24218,0.30189
3,3,2014,No migration background,Urban regions,Further training/ Retraining,0.11272,135,2676,0.0867,0.14497
4,4,2014,No migration background,Rural regions,General education,0.15985,140,2676,0.13003,0.19716
5,5,2014,No migration background,Rural regions,University/ Technical university,0.29912,161,2676,0.24073,0.3531
6,6,2014,No migration background,Rural regions,Vocational training,0.40371,261,2676,0.33962,0.48884
7,7,2014,No migration background,Rural regions,Further training/ Retraining,0.13732,94,2676,0.10373,0.17772
8,8,2014,Direct migration background,Urban regions,General education,0.08572,53,2676,0.06483,0.1087
9,9,2014,Direct migration background,Urban regions,University/ Technical university,0.59039,144,2676,0.4586,0.7504
10,10,2014,Direct migration background,Urban regions,Vocational training,0.22407,121,2676,0.19083,0.25997
11,11,2014,Direct migration background,Urban regions,Further training/ Retraining,0.09981,59,2676,0.06834,0.13437
12,12,2014,Direct migration background,Rural regions,Vocational training,1.0,48,2676,0.6892,1.39415
13,13,2014,Indirect migration background,Urban regions,General education,0.24213,113,2676,0.20107,0.28874
14,14,2014,Indirect migration background,Urban regions,University/ Technical university,0.34273,113,2676,0.27307,0.4424
15,15,2014,Indirect migration background,Urban regions,Vocational training,0.41513,139,2676,0.33749,0.49756
16,16,2014,Indirect migration background,Rural regions,Vocational training,1.0,33,2676,0.71259,1.27577
17,17,2015,No migration background,Urban regions,General education,0.1078,180,2384,0.08961,0.12483
18,18,2015,No migration background,Urban regions,University/ Technical university,0.47832,501,2384,0.42882,0.53569
19,19,2015,No migration background,Urban regions,Vocational training,0.2704,311,2384,0.23819,0.31256
20,20,2015,No migration background,Urban regions,Further training/ Retraining,0.14348,129,2384,0.11037,0.17704
21,21,2015,No migration background,Rural regions,General education,0.15185,108,2384,0.11677,0.19419
22,22,2015,No migration background,Rural regions,University/ Technical university,0.31514,165,2384,0.26285,0.36662
23,23,2015,No migration background,Rural regions,Vocational training,0.38753,268,2384,0.32338,0.44779
24,24,2015,No migration background,Rural regions,Further training/ Retraining,0.14549,67,2384,0.10341,0.19032
25,25,2015,Direct migration background,Urban regions,General education,0.08087,38,2384,0.05658,0.10737
26,26,2015,Direct migration background,Urban regions,University/ Technical university,0.47524,104,2384,0.33984,0.62898
27,27,2015,Direct migration background,Urban regions,Vocational training,0.2915,74,2384,0.2235,0.37231
28,28,2015,Direct migration background,Urban regions,Further training/ Retraining,0.1524,44,2384,0.0994,0.2103
29,29,2015,Indirect migration background,Urban regions,General education,0.23185,105,2384,0.18165,0.28159
30,30,2015,Indirect migration background,Urban regions,University/ Technical university,0.37237,112,2384,0.28722,0.47518
31,31,2015,Indirect migration background,Urban regions,Vocational training,0.39578,144,2384,0.3252,0.47414
32,32,2015,Indirect migration background,Rural regions,Vocational training,1.0,34,2384,0.62059,1.42626
33,33,2016,No migration background,Urban regions,General education,0.11892,183,2444,0.10148,0.14163
34,34,2016,No migration background,Urban regions,University/ Technical university,0.48976,454,2444,0.43484,0.54944
35,35,2016,No migration background,Urban regions,Vocational training,0.2766,295,2444,0.24426,0.32028
36,36,2016,No migration background,Urban regions,Further training/ Retraining,0.11472,111,2444,0.08766,0.14282
37,37,2016,No migration background,Rural regions,General education,0.15503,84,2444,0.11509,0.20819
38,38,2016,No migration background,Rural regions,University/ Technical university,0.34637,136,2444,0.29699,0.42291
39,39,2016,No migration background,Rural regions,Vocational training,0.39434,233,2444,0.33169,0.48078
40,40,2016,No migration background,Rural regions,Further training/ Retraining,0.10426,58,2444,0.07768,0.13073
41,41,2016,Direct migration background,Urban regions,General education,0.10944,78,2444,0.07925,0.14993
42,42,2016,Direct migration background,Urban regions,University/ Technical university,0.499,149,2444,0.39812,0.60772
43,43,2016,Direct migration background,Urban regions,Vocational training,0.2104,115,2444,0.14321,0.2986
44,44,2016,Direct migration background,Urban regions,Further training/ Retraining,0.18116,107,2444,0.10913,0.2963
45,45,2016,Direct migration background,Rural regions,Vocational training,1.0,57,2444,0.67889,1.39642
46,46,2016,Indirect migration background,Urban regions,General education,0.18025,92,2444,0.12749,0.22712
47,47,2016,Indirect migration background,Urban regions,University/ Technical university,0.51623,128,2444,0.39829,0.62338
48,48,2016,Indirect migration background,Urban regions,Vocational training,0.30351,117,2444,0.25124,0.36586
49,49,2016,Indirect migration background,Rural regions,Vocational training,1.0,47,2444,0.67518,1.43183
