year,bula_h,migback,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,Lower Saxony,No migration background,General education,0.15164,42,179,0.09895,0.20434
2014,Lower Saxony,No migration background,University/ Technical university,0.37201,63,179,0.30100,0.44301
2014,Lower Saxony,No migration background,Vocational training,0.38149,74,179,0.31013,0.45285
2014,North Rhine-Westphalia,No migration background,General education,0.18957,76,366,0.14936,0.22979
2014,North Rhine-Westphalia,No migration background,University/ Technical university,0.45734,143,366,0.40623,0.50845
2014,North Rhine-Westphalia,No migration background,Vocational training,0.24057,106,366,0.19672,0.28442
2014,North Rhine-Westphalia,No migration background,Further training/ Retraining,0.11251,41,366,0.08009,0.14493
2014,North Rhine-Westphalia,Direct migration background,University/ Technical university,0.60651,45,85,0.50204,0.71098
2014,North Rhine-Westphalia,Direct migration background,Vocational training,0.19411,40,85,0.10953,0.27869
2014,North Rhine-Westphalia,Indirect migration background,General education,0.22916,38,123,0.15458,0.30374
2014,North Rhine-Westphalia,Indirect migration background,University/ Technical university,0.37031,40,123,0.28462,0.45600
2014,North Rhine-Westphalia,Indirect migration background,Vocational training,0.30817,45,123,0.22623,0.39011
2014,Hesse,No migration background,University/ Technical university,0.46402,53,53,0.32847,0.59957
2014,"Rhineland-Palatinate, Saarland",No migration background,Vocational training,0.30763,35,35,0.15249,0.46276
2014,Baden-Wuerttemberg,No migration background,General education,0.11867,36,163,0.06887,0.16847
2014,Baden-Wuerttemberg,No migration background,University/ Technical university,0.36316,62,163,0.28910,0.43721
2014,Baden-Wuerttemberg,No migration background,Vocational training,0.41294,65,163,0.33712,0.48876
2014,Bavaria,No migration background,General education,0.09878,66,328,0.06644,0.13112
2014,Bavaria,No migration background,University/ Technical university,0.47010,115,328,0.41601,0.52420
2014,Bavaria,No migration background,Vocational training,0.29446,110,328,0.24506,0.34386
2014,Bavaria,No migration background,Further training/ Retraining,0.13666,37,328,0.09943,0.17389
2014,Berlin,No migration background,University/ Technical university,0.59287,52,52,0.45803,0.72771
2014,Brandenburg,No migration background,Vocational training,0.64681,35,35,0.48614,0.80747
