,Unnamed: 0,year,pgisced97,regtyp,plg0267_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2014,Pre-primary Level,Urban regions,General education,1.0,280,2191,0.8837,1.15927
1,1,2014,Pre-primary Level,Rural regions,General education,1.0,146,2191,0.79762,1.19677
2,2,2014,Lower Secondary Level,Urban regions,General education,0.14424,59,2191,0.11006,0.18523
3,3,2014,Lower Secondary Level,Urban regions,Vocational training,0.85576,249,2191,0.7369,0.99102
4,4,2014,Lower Secondary Level,Rural regions,Vocational training,1.0,140,2191,0.721,1.25692
5,5,2014,Upper Secondary Level,Urban regions,University/ Technical university,0.63089,394,2191,0.55321,0.71702
6,6,2014,Upper Secondary Level,Urban regions,Vocational training,0.26424,183,2191,0.22352,0.3187
7,7,2014,Upper Secondary Level,Urban regions,Further training/ Retraining,0.10487,71,2191,0.07412,0.13947
8,8,2014,Upper Secondary Level,Rural regions,University/ Technical university,0.49343,106,2191,0.39985,0.61604
9,9,2014,Upper Secondary Level,Rural regions,Vocational training,0.27882,92,2191,0.22538,0.32982
10,10,2014,Upper Secondary Level,Rural regions,Further training/ Retraining,0.22775,63,2191,0.149,0.30355
11,11,2014,Post-secondary Non-tertiary Level,Urban regions,University/ Technical university,0.79956,68,2191,0.63899,0.98588
12,12,2014,Post-secondary Non-tertiary Level,Urban regions,Further training/ Retraining,0.20044,32,2191,0.13527,0.26918
13,13,2014,Second Stage of Tertiary Education,Urban regions,University/ Technical university,0.71023,197,2191,0.63425,0.81064
14,14,2014,Second Stage of Tertiary Education,Urban regions,Vocational training,0.11513,42,2191,0.07406,0.1646
15,15,2014,Second Stage of Tertiary Education,Urban regions,Further training/ Retraining,0.17464,69,2191,0.11824,0.23894
16,16,2015,Pre-primary Level,Urban regions,General education,1.0,231,1904,0.87282,1.17107
17,17,2015,Pre-primary Level,Rural regions,General education,1.0,117,1904,0.80375,1.31914
18,18,2015,Lower Secondary Level,Urban regions,General education,0.18881,60,1904,0.14821,0.24637
19,19,2015,Lower Secondary Level,Urban regions,Vocational training,0.81119,222,1904,0.68437,0.98074
20,20,2015,Lower Secondary Level,Rural regions,Vocational training,1.0,123,1904,0.77817,1.28266
