year,age_gr,sampreg,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,17-29 y.,West,General education,0.18446,475,1877,0.16691,0.20201
2014,17-29 y.,West,University/ Technical university,0.44940,661,1877,0.42689,0.47191
2014,17-29 y.,West,Vocational training,0.32345,671,1877,0.30229,0.34462
2014,17-29 y.,West,Further training/ Retraining,0.04269,70,1877,0.03354,0.05184
2014,17-29 y.,East,General education,0.12082,65,336,0.08592,0.15573
2014,17-29 y.,East,University/ Technical university,0.42028,124,336,0.36742,0.47314
2014,17-29 y.,East,Vocational training,0.41920,147,336,0.36636,0.47204
2014,30-45 y.,West,University/ Technical university,0.40396,129,332,0.35109,0.45682
2014,30-45 y.,West,Vocational training,0.22054,75,332,0.17587,0.26521
2014,30-45 y.,West,Further training/ Retraining,0.37169,128,332,0.31962,0.42375
2014,30-45 y.,East,University/ Technical university,0.56585,48,115,0.47487,0.65684
2014,30-45 y.,East,Vocational training,0.24268,31,115,0.16398,0.32137
2014,30-45 y.,East,Further training/ Retraining,0.19092,36,115,0.11877,0.26307
2014,46-65 y.,West,Further training/ Retraining,0.73857,76,76,0.63912,0.83802
2015,17-29 y.,West,General education,0.17047,400,1770,0.15294,0.18799
2015,17-29 y.,West,University/ Technical university,0.43927,667,1770,0.41614,0.46240
2015,17-29 y.,West,Vocational training,0.34078,629,1770,0.31869,0.36286
2015,17-29 y.,West,Further training/ Retraining,0.04949,74,1770,0.03938,0.05959
2015,17-29 y.,East,General education,0.14376,69,302,0.10412,0.18339
2015,17-29 y.,East,University/ Technical university,0.40292,101,302,0.34750,0.45833
2015,17-29 y.,East,Vocational training,0.42300,132,302,0.36718,0.47881
2015,30-45 y.,West,University/ Technical university,0.38168,106,265,0.32308,0.44029
2015,30-45 y.,West,Vocational training,0.15505,52,265,0.11139,0.19871
2015,30-45 y.,West,Further training/ Retraining,0.46213,107,265,0.40199,0.52227
2015,30-45 y.,East,University/ Technical university,0.45252,32,71,0.33592,0.56912
2015,30-45 y.,East,Further training/ Retraining,0.31362,39,71,0.20493,0.42231
2015,46-65 y.,West,Further training/ Retraining,0.65491,42,42,0.50939,0.80043
2016,17-29 y.,West,General education,0.16806,403,1755,0.15056,0.18556
2016,17-29 y.,West,University/ Technical university,0.46485,636,1755,0.44151,0.48820
2016,17-29 y.,West,Vocational training,0.31667,640,1755,0.29490,0.33844
2016,17-29 y.,West,Further training/ Retraining,0.05041,76,1755,0.04017,0.06065
2016,17-29 y.,East,General education,0.11850,57,276,0.08030,0.15670
2016,17-29 y.,East,University/ Technical university,0.41995,94,276,0.36162,0.47829
2016,17-29 y.,East,Vocational training,0.41535,125,276,0.35710,0.47359
2016,30-45 y.,West,University/ Technical university,0.47952,118,315,0.42426,0.53478
2016,30-45 y.,West,Vocational training,0.17066,71,315,0.12905,0.21227
2016,30-45 y.,West,Further training/ Retraining,0.34634,126,315,0.29371,0.39897
2016,30-45 y.,East,University/ Technical university,0.56928,40,80,0.46008,0.67847
2016,30-45 y.,East,Further training/ Retraining,0.30309,40,80,0.20175,0.40444
2016,46-65 y.,West,Further training/ Retraining,0.63819,63,63,0.51857,0.75780
2017,17-29 y.,West,General education,0.16760,474,2073,0.15152,0.18368
2017,17-29 y.,West,University/ Technical university,0.44602,770,2073,0.42462,0.46742
2017,17-29 y.,West,Vocational training,0.34454,742,2073,0.32408,0.36501
2017,17-29 y.,West,Further training/ Retraining,0.04183,87,2073,0.03321,0.05046
2017,17-29 y.,East,General education,0.17461,95,363,0.13550,0.21372
2017,17-29 y.,East,University/ Technical university,0.49700,132,363,0.44549,0.54850
2017,17-29 y.,East,Vocational training,0.29497,136,363,0.24799,0.34195
2017,30-45 y.,West,University/ Technical university,0.48717,132,363,0.43568,0.53866
2017,30-45 y.,West,Vocational training,0.16183,88,363,0.12389,0.19977
2017,30-45 y.,West,Further training/ Retraining,0.34736,143,363,0.29831,0.39641
2017,30-45 y.,East,University/ Technical university,0.56112,43,74,0.44728,0.67496
2017,30-45 y.,East,Further training/ Retraining,0.20324,31,74,0.11093,0.29556
2017,46-65 y.,West,Further training/ Retraining,0.71108,77,77,0.60918,0.81299
2018,17-29 y.,West,General education,0.16289,439,2014,0.14676,0.17902
