,Unnamed: 0,year,quintil_oecd,regtyp,plg0267_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2014,1st Quintile,Urban regions,General education,0.14072,137,2594,0.1181,0.16952
1,1,2014,1st Quintile,Urban regions,University/ Technical university,0.52892,257,2594,0.44983,0.60685
2,2,2014,1st Quintile,Urban regions,Vocational training,0.27856,196,2594,0.24083,0.3222
3,3,2014,1st Quintile,Urban regions,Further training/ Retraining,0.05179,62,2594,0.03643,0.06819
4,4,2014,1st Quintile,Rural regions,General education,0.12008,51,2594,0.08502,0.15899
5,5,2014,1st Quintile,Rural regions,University/ Technical university,0.38174,64,2594,0.26518,0.52582
6,6,2014,1st Quintile,Rural regions,Vocational training,0.38747,119,2594,0.30953,0.49429
7,7,2014,1st Quintile,Rural regions,Further training/ Retraining,0.11071,35,2594,0.07507,0.16189
8,8,2014,2nd Quintile,Urban regions,General education,0.13998,83,2594,0.11211,0.17401
9,9,2014,2nd Quintile,Urban regions,University/ Technical university,0.45843,125,2594,0.36653,0.57069
10,10,2014,2nd Quintile,Urban regions,Vocational training,0.27134,121,2594,0.20854,0.34366
11,11,2014,2nd Quintile,Urban regions,Further training/ Retraining,0.13025,48,2594,0.08506,0.17896
12,12,2014,2nd Quintile,Rural regions,General education,0.17569,38,2594,0.1299,0.22428
13,13,2014,2nd Quintile,Rural regions,University/ Technical university,0.27835,36,2594,0.16921,0.40595
14,14,2014,2nd Quintile,Rural regions,Vocational training,0.54596,85,2594,0.39818,0.74098
15,15,2014,3rd Quintile,Urban regions,General education,0.13545,52,2594,0.10122,0.16663
16,16,2014,3rd Quintile,Urban regions,University/ Technical university,0.47518,117,2594,0.39184,0.579
17,17,2014,3rd Quintile,Urban regions,Vocational training,0.38937,131,2594,0.32349,0.47629
18,18,2014,3rd Quintile,Rural regions,University/ Technical university,0.46841,40,2594,0.32399,0.61809
19,19,2014,3rd Quintile,Rural regions,Vocational training,0.53159,67,2594,0.39822,0.70598
20,20,2014,4th Quintile,Urban regions,General education,0.12654,51,2594,0.08808,0.1636
21,21,2014,4th Quintile,Urban regions,University/ Technical university,0.44633,129,2594,0.36563,0.51851
22,22,2014,4th Quintile,Urban regions,Vocational training,0.3219,115,2594,0.26878,0.38125
23,23,2014,4th Quintile,Urban regions,Further training/ Retraining,0.10524,35,2594,0.06232,0.15571
24,24,2014,4th Quintile,Rural regions,General education,0.25489,41,2594,0.16794,0.38722
25,25,2014,4th Quintile,Rural regions,University/ Technical university,0.26523,36,2594,0.17982,0.38585
26,26,2014,4th Quintile,Rural regions,Vocational training,0.47988,49,2594,0.32814,0.66693
27,27,2014,5th Quintile,Urban regions,General education,0.12832,47,2594,0.08844,0.16881
28,28,2014,5th Quintile,Urban regions,University/ Technical university,0.47925,139,2594,0.40997,0.56761
29,29,2014,5th Quintile,Urban regions,Vocational training,0.18992,43,2594,0.14472,0.24608
30,30,2014,5th Quintile,Urban regions,Further training/ Retraining,0.2025,45,2594,0.144,0.26956
31,31,2015,1st Quintile,Urban regions,General education,0.1249,106,2346,0.09723,0.15684
32,32,2015,1st Quintile,Urban regions,University/ Technical university,0.48495,231,2346,0.41089,0.56944
33,33,2015,1st Quintile,Urban regions,Vocational training,0.29701,189,2346,0.24888,0.35602
34,34,2015,1st Quintile,Urban regions,Further training/ Retraining,0.09314,58,2346,0.0605,0.13744
35,35,2015,1st Quintile,Rural regions,General education,0.10227,35,2346,0.08336,0.12944
36,36,2015,1st Quintile,Rural regions,University/ Technical university,0.33167,48,2346,0.22391,0.44699
37,37,2015,1st Quintile,Rural regions,Vocational training,0.36281,96,2346,0.28441,0.43499
38,38,2015,1st Quintile,Rural regions,Further training/ Retraining,0.20326,31,2346,0.09307,0.31279
39,39,2015,2nd Quintile,Urban regions,General education,0.14015,77,2346,0.09579,0.18995
40,40,2015,2nd Quintile,Urban regions,University/ Technical university,0.38914,119,2346,0.29005,0.4951
41,41,2015,2nd Quintile,Urban regions,Vocational training,0.34806,125,2346,0.27716,0.41024
42,42,2015,2nd Quintile,Urban regions,Further training/ Retraining,0.12265,37,2346,0.07241,0.17845
