year,sampreg,sex,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,West,male,General education,0.15527,233,1078,0.13364,0.17690
2014,West,male,University/ Technical university,0.42745,386,1078,0.39790,0.45700
2014,West,male,Vocational training,0.31539,367,1078,0.28764,0.34315
2014,West,male,Further training/ Retraining,0.10189,92,1078,0.08382,0.11995
2014,West,female,General education,0.14419,245,1249,0.12470,0.16368
2014,West,female,University/ Technical university,0.43033,417,1249,0.40286,0.45780
2014,West,female,Vocational training,0.28444,400,1249,0.25941,0.30947
2014,West,female,Further training/ Retraining,0.14104,187,1249,0.12173,0.16035
2014,East,male,University/ Technical university,0.36904,75,167,0.29564,0.44245
2014,East,male,Vocational training,0.51971,92,167,0.44370,0.59571
2014,East,female,General education,0.11972,39,271,0.08100,0.15844
2014,East,female,University/ Technical university,0.50253,97,271,0.44289,0.56217
2014,East,female,Vocational training,0.25652,89,271,0.20443,0.30861
2014,East,female,Further training/ Retraining,0.12123,46,271,0.08230,0.16016
2015,West,male,General education,0.14335,183,981,0.12141,0.16529
2015,West,male,University/ Technical university,0.42100,375,981,0.39009,0.45191
2015,West,male,Vocational training,0.30931,330,981,0.28037,0.33824
2015,West,male,Further training/ Retraining,0.12634,93,981,0.10554,0.14715
2015,West,female,General education,0.13412,219,1129,0.11423,0.15400
2015,West,female,University/ Technical university,0.42063,411,1129,0.39183,0.44944
2015,West,female,Vocational training,0.30281,366,1129,0.27600,0.32963
2015,West,female,Further training/ Retraining,0.14244,133,1129,0.12204,0.16283
2015,East,male,University/ Technical university,0.38295,60,139,0.30185,0.46406
2015,East,male,Vocational training,0.47792,79,139,0.39458,0.56126
2015,East,female,General education,0.14089,41,243,0.09705,0.18472
2015,East,female,University/ Technical university,0.41507,75,243,0.35298,0.47715
2015,East,female,Vocational training,0.26873,80,243,0.21288,0.32458
2015,East,female,Further training/ Retraining,0.17532,47,243,0.12741,0.22323
2016,West,male,General education,0.12266,185,1064,0.10294,0.14238
2016,West,male,University/ Technical university,0.46874,382,1064,0.43874,0.49874
2016,West,male,Vocational training,0.31818,388,1064,0.29018,0.34618
2016,West,male,Further training/ Retraining,0.09042,109,1064,0.07318,0.10766
2016,West,female,General education,0.15817,223,1103,0.13663,0.17971
2016,West,female,University/ Technical university,0.43853,385,1103,0.40923,0.46783
2016,West,female,Vocational training,0.26257,336,1103,0.23659,0.28855
2016,West,female,Further training/ Retraining,0.14073,159,1103,0.12020,0.16126
2016,East,male,University/ Technical university,0.43433,60,133,0.34977,0.51889
2016,East,male,Vocational training,0.40015,73,133,0.31657,0.48373
2016,East,female,General education,0.10032,32,214,0.05998,0.14067
2016,East,female,University/ Technical university,0.44839,76,214,0.38160,0.51518
2016,East,female,Vocational training,0.30712,67,214,0.24517,0.36907
2016,East,female,Further training/ Retraining,0.14417,39,214,0.09700,0.19134
2017,West,male,General education,0.12261,230,1303,0.10479,0.14042
2017,West,male,University/ Technical university,0.46219,487,1303,0.43511,0.48927
2017,West,male,Vocational training,0.31795,448,1303,0.29266,0.34325
2017,West,male,Further training/ Retraining,0.09725,138,1303,0.08116,0.11334
2017,West,female,General education,0.15934,250,1249,0.13904,0.17965
2017,West,female,University/ Technical university,0.41495,430,1249,0.38762,0.44229
2017,West,female,Vocational training,0.30482,399,1249,0.27928,0.33036
2017,West,female,Further training/ Retraining,0.12088,170,1249,0.10280,0.13897
2017,East,male,General education,0.16521,44,212,0.11510,0.21532
2017,East,male,University/ Technical university,0.46142,82,212,0.39415,0.52868
2017,East,male,Vocational training,0.27063,86,212,0.21068,0.33058
2017,East,female,General education,0.10259,51,254,0.06520,0.13998
2017,East,female,University/ Technical university,0.51854,96,254,0.45697,0.58011
2017,East,female,Vocational training,0.28036,71,254,0.22501,0.33571
2017,East,female,Further training/ Retraining,0.09852,36,254,0.06179,0.13524
2018,West,male,General education,0.13119,223,1283,0.11271,0.14968
2018,West,male,University/ Technical university,0.44612,469,1283,0.41891,0.47334
2018,West,male,Vocational training,0.34102,467,1283,0.31507,0.36697
2018,West,male,Further training/ Retraining,0.08166,124,1283,0.06667,0.09665
2018,West,female,General education,0.14328,226,1203,0.12348,0.16309
2018,West,female,University/ Technical university,0.43999,452,1203,0.41192,0.46805
2018,West,female,Vocational training,0.28362,373,1203,0.25813,0.30910
2018,West,female,Further training/ Retraining,0.13312,152,1203,0.11391,0.15232
2018,East,male,University/ Technical university,0.56803,85,206,0.50022,0.63584
2018,East,male,Vocational training,0.25045,87,206,0.19114,0.30976
2018,East,male,Further training/ Retraining,0.09560,34,206,0.05535,0.13585
2018,East,female,General education,0.15183,51,252,0.10744,0.19623
2018,East,female,University/ Technical university,0.51950,92,252,0.45769,0.58131
2018,East,female,Vocational training,0.23364,69,252,0.18129,0.28599
2018,East,female,Further training/ Retraining,0.09503,40,252,0.05875,0.13131
2019,West,male,General education,0.11474,203,1203,0.09672,0.13275
2019,West,male,University/ Technical university,0.50796,455,1203,0.47970,0.53622
2019,West,male,Vocational training,0.30231,441,1203,0.27634,0.32827
2019,West,male,Further training/ Retraining,0.07500,104,1203,0.06011,0.08989
2019,West,female,General education,0.12815,179,1114,0.10851,0.14779
2019,West,female,University/ Technical university,0.40523,427,1114,0.37639,0.43407
2019,West,female,Vocational training,0.32321,381,1114,0.29573,0.35069
2019,West,female,Further training/ Retraining,0.14341,127,1114,0.12282,0.16400
2019,East,male,University/ Technical university,0.42628,62,137,0.34316,0.50939
2019,East,male,Vocational training,0.31783,75,137,0.23957,0.39609
2019,East,female,General education,0.11335,35,245,0.07357,0.15313
2019,East,female,University/ Technical university,0.48881,89,245,0.42609,0.55153
2019,East,female,Vocational training,0.28302,78,245,0.22650,0.33955
2019,East,female,Further training/ Retraining,0.11482,43,245,0.07482,0.15482
2020,West,male,General education,0.09656,179,1280,0.08038,0.11275
2020,West,male,University/ Technical university,0.51201,445,1280,0.48462,0.53940
2020,West,male,Vocational training,0.29474,528,1280,0.26976,0.31973
2020,West,male,Further training/ Retraining,0.09668,128,1280,0.08049,0.11288
2020,West,female,General education,0.09391,182,1212,0.07748,0.11034
2020,West,female,University/ Technical university,0.45487,475,1212,0.42682,0.48291
2020,West,female,Vocational training,0.35178,434,1212,0.32489,0.37868
2020,West,female,Further training/ Retraining,0.09944,121,1212,0.08258,0.11629
2020,East,male,General education,0.20327,39,180,0.14432,0.26223
2020,East,male,University/ Technical university,0.41018,68,180,0.33812,0.48224
2020,East,male,Vocational training,0.29708,73,180,0.23014,0.36403
2020,East,female,General education,0.14423,39,209,0.09648,0.19197
2020,East,female,University/ Technical university,0.45784,87,209,0.39014,0.52555
2020,East,female,Vocational training,0.28833,83,209,0.22677,0.34989
2021,West,male,General education,0.10857,113,860,0.08777,0.12938
2021,West,male,University/ Technical university,0.58581,363,860,0.55287,0.61875
2021,West,male,Vocational training,0.23323,294,860,0.20495,0.26151
2021,West,male,Further training/ Retraining,0.07238,90,860,0.05505,0.08971
2021,West,female,General education,0.08827,115,829,0.06895,0.10760
2021,West,female,University/ Technical university,0.54549,356,829,0.51157,0.57940
2021,West,female,Vocational training,0.26618,268,829,0.23608,0.29628
2021,West,female,Further training/ Retraining,0.10006,90,829,0.07962,0.12050
2021,East,male,General education,0.16181,37,148,0.10228,0.22135
2021,East,male,University/ Technical university,0.41339,68,148,0.33379,0.49300
