year,migback,quintil_oecd,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,No migration background,1st Quintile,General education,0.10033,81,513,0.07431,0.12636
2014,No migration background,1st Quintile,University/ Technical university,0.52914,213,513,0.48590,0.57238
2014,No migration background,1st Quintile,Vocational training,0.29963,168,513,0.25995,0.33931
2014,No migration background,1st Quintile,Further training/ Retraining,0.07090,51,513,0.04867,0.09313
2014,No migration background,2nd Quintile,General education,0.15044,78,349,0.11288,0.18800
2014,No migration background,2nd Quintile,University/ Technical university,0.37772,93,349,0.32678,0.42865
2014,No migration background,2nd Quintile,Vocational training,0.30397,125,349,0.25564,0.35230
2014,No migration background,2nd Quintile,Further training/ Retraining,0.16787,53,349,0.12860,0.20714
2014,No migration background,3rd Quintile,General education,0.13110,60,338,0.09506,0.16713
2014,No migration background,3rd Quintile,University/ Technical university,0.35876,109,338,0.30755,0.40997
2014,No migration background,3rd Quintile,Vocational training,0.39840,130,338,0.34613,0.45067
2014,No migration background,3rd Quintile,Further training/ Retraining,0.11174,39,338,0.07811,0.14538
2014,No migration background,4th Quintile,General education,0.12339,62,348,0.08878,0.15799
2014,No migration background,4th Quintile,University/ Technical university,0.39352,117,348,0.34212,0.44492
2014,No migration background,4th Quintile,Vocational training,0.36906,130,348,0.31829,0.41983
2014,No migration background,4th Quintile,Further training/ Retraining,0.11403,39,348,0.08059,0.14747
2014,No migration background,5th Quintile,General education,0.17715,63,295,0.13351,0.22079
2014,No migration background,5th Quintile,University/ Technical university,0.48346,138,295,0.42634,0.54058
2014,No migration background,5th Quintile,Vocational training,0.18038,49,295,0.13643,0.22433
2014,No migration background,5th Quintile,Further training/ Retraining,0.15901,45,295,0.11721,0.20081
2014,Direct migration background,1st Quintile,General education,0.13387,42,210,0.08770,0.18003
2014,Direct migration background,1st Quintile,University/ Technical university,0.49456,57,210,0.42677,0.56234
2014,Direct migration background,1st Quintile,Vocational training,0.27141,76,210,0.21112,0.33170
2014,Direct migration background,1st Quintile,Further training/ Retraining,0.10016,35,210,0.05946,0.14087
2014,Direct migration background,2nd Quintile,University/ Technical university,0.68061,49,93,0.58534,0.77588
2014,Direct migration background,2nd Quintile,Vocational training,0.17219,44,93,0.09504,0.24934
2014,Indirect migration background,1st Quintile,General education,0.22699,64,185,0.16647,0.28752
2014,Indirect migration background,1st Quintile,University/ Technical university,0.36466,51,185,0.29511,0.43421
2014,Indirect migration background,1st Quintile,Vocational training,0.37943,70,185,0.30932,0.44955
2014,Indirect migration background,2nd Quintile,General education,0.25997,31,75,0.16003,0.35990
2014,Indirect migration background,2nd Quintile,Vocational training,0.45914,44,75,0.34560,0.57268
2014,Indirect migration background,3rd Quintile,Vocational training,0.26573,31,31,0.10766,0.42380
2015,No migration background,1st Quintile,General education,0.06779,47,446,0.04444,0.09115
2015,No migration background,1st Quintile,University/ Technical university,0.49854,178,446,0.45208,0.54500
2015,No migration background,1st Quintile,Vocational training,0.27617,161,446,0.23463,0.31771
2015,No migration background,1st Quintile,Further training/ Retraining,0.15750,60,446,0.12365,0.19134
2015,No migration background,2nd Quintile,General education,0.12481,75,348,0.09003,0.15958
2015,No migration background,2nd Quintile,University/ Technical university,0.39851,111,348,0.34699,0.45002
2015,No migration background,2nd Quintile,Vocational training,0.36715,128,348,0.31643,0.41787
2015,No migration background,2nd Quintile,Further training/ Retraining,0.10954,34,348,0.07668,0.14240
2015,No migration background,3rd Quintile,General education,0.15872,57,296,0.11702,0.20042
2015,No migration background,3rd Quintile,University/ Technical university,0.32895,121,296,0.27534,0.38257
2015,No migration background,3rd Quintile,Vocational training,0.33877,118,296,0.28476,0.39278
2015,No migration background,4th Quintile,General education,0.10865,51,324,0.07471,0.14259
2015,No migration background,4th Quintile,University/ Technical university,0.45081,128,324,0.39654,0.50507
2015,No migration background,4th Quintile,Vocational training,0.30236,107,324,0.25227,0.35245
2015,No migration background,4th Quintile,Further training/ Retraining,0.13818,38,324,0.10055,0.17581
2015,No migration background,5th Quintile,General education,0.16314,56,276,0.11947,0.20681
2015,No migration background,5th Quintile,University/ Technical university,0.46713,125,276,0.40817,0.52610
2015,No migration background,5th Quintile,Vocational training,0.23542,61,276,0.18528,0.28556
2015,No migration background,5th Quintile,Further training/ Retraining,0.13430,34,276,0.09400,0.17460
2015,Direct migration background,1st Quintile,University/ Technical university,0.47044,50,94,0.36900,0.57189
2015,Direct migration background,1st Quintile,Vocational training,0.33845,44,94,0.24228,0.43462
2015,Direct migration background,2nd Quintile,Vocational training,0.42066,32,32,0.24687,0.59444
2015,Direct migration background,3rd Quintile,University/ Technical university,0.63822,31,31,0.46627,0.81017
2015,Indirect migration background,1st Quintile,General education,0.28802,72,204,0.22573,0.35032
2015,Indirect migration background,1st Quintile,University/ Technical university,0.29082,50,204,0.22834,0.35329
2015,Indirect migration background,1st Quintile,Vocational training,0.35987,82,204,0.29384,0.42590
2015,Indirect migration background,2nd Quintile,Vocational training,0.53242,43,43,0.38153,0.68332
2015,Indirect migration background,3rd Quintile,Vocational training,0.37353,31,31,0.20043,0.54664
2016,No migration background,1st Quintile,General education,0.06370,50,415,0.04017,0.08722
2016,No migration background,1st Quintile,University/ Technical university,0.53271,175,415,0.48465,0.58077
2016,No migration background,1st Quintile,Vocational training,0.33910,154,415,0.29350,0.38470
2016,No migration background,1st Quintile,Further training/ Retraining,0.06450,36,415,0.04083,0.08816
2016,No migration background,2nd Quintile,General education,0.14270,56,260,0.10010,0.18530
2016,No migration background,2nd Quintile,University/ Technical university,0.45216,89,260,0.39155,0.51278
2016,No migration background,2nd Quintile,Vocational training,0.31212,115,260,0.25569,0.36855
2016,No migration background,3rd Quintile,General education,0.13826,56,297,0.09894,0.17758
2016,No migration background,3rd Quintile,University/ Technical university,0.35778,87,297,0.30317,0.41238
