year,migback,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,No migration background,General education,0.13346,344,1843,0.11793,0.14899
2014,No migration background,University/ Technical university,0.43249,670,1843,0.40987,0.45512
2014,No migration background,Vocational training,0.31378,602,1843,0.29259,0.33498
2014,No migration background,Further training/ Retraining,0.12026,227,1843,0.10541,0.13511
2014,Direct migration background,General education,0.08514,65,488,0.06035,0.10993
2014,Direct migration background,University/ Technical university,0.56213,171,488,0.51807,0.60619
2014,Direct migration background,Vocational training,0.24110,170,488,0.20311,0.27910
2014,Direct migration background,Further training/ Retraining,0.11163,82,488,0.08366,0.13960
2014,Indirect migration background,General education,0.23069,135,476,0.19280,0.26857
2014,Indirect migration background,University/ Technical university,0.31081,134,476,0.26919,0.35244
2014,Indirect migration background,Vocational training,0.36515,176,476,0.32185,0.40845
2014,Indirect migration background,Further training/ Retraining,0.09335,31,476,0.06719,0.11951
2015,No migration background,General education,0.12092,287,1723,0.10552,0.13632
2015,No migration background,University/ Technical university,0.43173,665,1723,0.40833,0.45512
2015,No migration background,Vocational training,0.30307,575,1723,0.28137,0.32478
2015,No migration background,Further training/ Retraining,0.14428,196,1723,0.12768,0.16087
2015,Direct migration background,General education,0.07834,51,340,0.04974,0.10695
2015,Direct migration background,University/ Technical university,0.46246,124,340,0.40938,0.51554
2015,Direct migration background,Vocational training,0.31034,99,340,0.26109,0.35959
2015,Direct migration background,Further training/ Retraining,0.14885,66,340,0.11096,0.18675
2015,Indirect migration background,General education,0.23232,134,447,0.19313,0.27151
2015,Indirect migration background,University/ Technical university,0.33008,132,447,0.28644,0.37372
2015,Indirect migration background,Vocational training,0.37321,181,447,0.32833,0.41810
2016,No migration background,General education,0.12908,265,1548,0.11237,0.14579
2016,No migration background,University/ Technical university,0.45041,589,1548,0.42561,0.47520
2016,No migration background,Vocational training,0.30839,525,1548,0.28538,0.33141
2016,No migration background,Further training/ Retraining,0.11213,169,1548,0.09640,0.12785
2016,Direct migration background,General education,0.10251,91,565,0.07748,0.12755
2016,Direct migration background,University/ Technical university,0.47506,167,565,0.43384,0.51627
2016,Direct migration background,Vocational training,0.24047,172,565,0.20520,0.27574
2016,Direct migration background,Further training/ Retraining,0.18196,135,565,0.15012,0.21380
2016,Indirect migration background,General education,0.16520,110,424,0.12981,0.20059
2016,Indirect migration background,University/ Technical university,0.44980,147,424,0.40239,0.49721
2016,Indirect migration background,Vocational training,0.30021,167,424,0.25653,0.34389
2017,No migration background,General education,0.14314,339,1890,0.12734,0.15893
2017,No migration background,University/ Technical university,0.45005,742,1890,0.42761,0.47248
2017,No migration background,Vocational training,0.30659,607,1890,0.28580,0.32739
2017,No migration background,Further training/ Retraining,0.10022,202,1890,0.08668,0.11376
2017,Direct migration background,General education,0.08556,121,678,0.06449,0.10663
2017,Direct migration background,University/ Technical university,0.41272,179,678,0.37564,0.44981
2017,Direct migration background,Vocational training,0.30573,237,678,0.27102,0.34043
2017,Direct migration background,Further training/ Retraining,0.19599,141,678,0.16609,0.22589
2017,Indirect migration background,General education,0.15596,115,449,0.12236,0.18956
2017,Indirect migration background,University/ Technical university,0.45907,174,449,0.41292,0.50521
2017,Indirect migration background,Vocational training,0.30673,160,449,0.26403,0.34944
2018,No migration background,General education,0.12975,279,1760,0.11405,0.14545
2018,No migration background,University/ Technical university,0.47510,742,1760,0.45176,0.49844
2018,No migration background,Vocational training,0.29878,576,1760,0.27739,0.32017
2018,No migration background,Further training/ Retraining,0.09637,163,1760,0.08258,0.11016
2018,Direct migration background,General education,0.07695,133,750,0.05786,0.09603
2018,Direct migration background,University/ Technical university,0.41913,183,750,0.38379,0.45446
2018,Direct migration background,Vocational training,0.28185,269,750,0.24963,0.31407
2018,Direct migration background,Further training/ Retraining,0.22208,165,750,0.19231,0.25185
2018,Indirect migration background,General education,0.19420,116,440,0.15720,0.23121
2018,Indirect migration background,University/ Technical university,0.40624,173,440,0.36030,0.45218
2018,Indirect migration background,Vocational training,0.34079,151,440,0.29645,0.38513
2019,No migration background,General education,0.11839,245,1727,0.10315,0.13363
2019,No migration background,University/ Technical university,0.46640,744,1727,0.44287,0.48994
2019,No migration background,Vocational training,0.31410,558,1727,0.29220,0.33600
2019,No migration background,Further training/ Retraining,0.10111,180,1727,0.08689,0.11533
2019,Direct migration background,General education,0.07377,96,616,0.05311,0.09443
2019,Direct migration background,University/ Technical university,0.45902,147,616,0.41964,0.49840
2019,Direct migration background,Vocational training,0.28975,277,616,0.25390,0.32560
2019,Direct migration background,Further training/ Retraining,0.17746,96,616,0.14726,0.20765
2019,Indirect migration background,General education,0.17740,105,397,0.13977,0.21502
2019,Indirect migration background,University/ Technical university,0.44013,151,397,0.39123,0.48902
2019,Indirect migration background,Vocational training,0.30317,141,397,0.25790,0.34844
2020,No migration background,General education,0.09732,220,1631,0.08293,0.11171
2020,No migration background,University/ Technical university,0.50187,750,1631,0.47760,0.52615
2020,No migration background,Vocational training,0.30195,505,1631,0.27966,0.32424
2020,No migration background,Further training/ Retraining,0.09886,156,1631,0.08437,0.11335
2020,Direct migration background,General education,0.11573,119,879,0.09457,0.13689
2020,Direct migration background,University/ Technical university,0.36806,169,879,0.33616,0.39996
2020,Direct migration background,Vocational training,0.33115,466,879,0.30002,0.36228
2020,Direct migration background,Further training/ Retraining,0.18506,125,879,0.15937,0.21075
2020,Indirect migration background,General education,0.14209,100,406,0.10809,0.17609
2020,Indirect migration background,University/ Technical university,0.43474,159,406,0.38646,0.48301
2020,Indirect migration background,Vocational training,0.38041,147,406,0.33312,0.42769
2021,No migration background,General education,0.10164,135,1171,0.08432,0.11895
2021,No migration background,University/ Technical university,0.56402,600,1171,0.53561,0.59244
2021,No migration background,Vocational training,0.25429,324,1171,0.22934,0.27925
2021,No migration background,Further training/ Retraining,0.08004,112,1171,0.06449,0.09559
2021,Direct migration background,General education,0.10026,96,588,0.07596,0.12455
2021,Direct migration background,University/ Technical university,0.39956,142,588,0.35994,0.43919
2021,Direct migration background,Vocational training,0.35032,263,588,0.31173,0.38892
2021,Direct migration background,Further training/ Retraining,0.14986,87,588,0.12098,0.17873
2021,Indirect migration background,General education,0.09275,46,245,0.05635,0.12915
2021,Indirect migration background,University/ Technical university,0.59649,119,245,0.53493,0.65805
2021,Indirect migration background,Vocational training,0.25185,80,245,0.19738,0.30631
2022,No migration background,General education,0.05923,167,1886,0.04857,0.06989
2022,No migration background,University/ Technical university,0.59303,1021,1886,0.57086,0.61521
2022,No migration background,Vocational training,0.22733,466,1886,0.20841,0.24625
2022,No migration background,Further training/ Retraining,0.12041,232,1886,0.10571,0.13510
2022,Direct migration background,General education,0.09739,94,1168,0.08038,0.11440
2022,Direct migration background,University/ Technical university,0.42777,396,1168,0.39939,0.45616
2022,Direct migration background,Vocational training,0.29599,462,1168,0.26980,0.32218
2022,Direct migration background,Further training/ Retraining,0.17884,216,1168,0.15686,0.20083
2022,Indirect migration background,General education,0.06033,32,272,0.03198,0.08867
2022,Indirect migration background,University/ Technical university,0.68695,166,272,0.63174,0.74216
2022,Indirect migration background,Vocational training,0.18470,74,272,0.13850,0.23090
