year,age_gr,regtyp,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,17-29 y.,Urban regions,General education,0.07842,371,1554,0.06505,0.09179
2014,17-29 y.,Urban regions,University/ Technical university,0.23369,613,1554,0.21264,0.25473
2014,17-29 y.,Urban regions,Vocational training,0.14516,519,1554,0.12764,0.16268
2014,17-29 y.,Urban regions,Further training/ Retraining,0.02130,51,1554,0.01412,0.02849
2014,17-29 y.,Rural regions,General education,0.08870,169,671,0.06717,0.11022
2014,17-29 y.,Rural regions,University/ Technical university,0.14262,172,671,0.11614,0.16910
2014,17-29 y.,Rural regions,Vocational training,0.18349,299,671,0.15418,0.21279
2014,17-29 y.,Rural regions,Further training/ Retraining,0.01563,31,671,0.00624,0.02502
2014,30-45 y.,Urban regions,University/ Technical university,0.03178,145,324,0.01265,0.05091
2014,30-45 y.,Urban regions,Vocational training,0.01320,69,324,0.00075,0.02565
2014,30-45 y.,Urban regions,Further training/ Retraining,0.02022,110,324,0.00487,0.03557
2014,30-45 y.,Rural regions,University/ Technical university,0.01616,32,123,-0.00622,0.03853
2014,30-45 y.,Rural regions,Vocational training,0.01650,37,123,-0.00611,0.03910
2014,30-45 y.,Rural regions,Further training/ Retraining,0.02472,54,123,-0.00283,0.05227
2014,46-65 y.,Urban regions,Further training/ Retraining,0.00658,52,52,-0.01561,0.02876
2014,46-65 y.,Rural regions,Further training/ Retraining,0.00806,37,37,-0.02115,0.03728
2015,17-29 y.,Urban regions,General education,0.07129,325,1442,0.05801,0.08458
2015,17-29 y.,Urban regions,University/ Technical university,0.21629,596,1442,0.19504,0.23755
2015,17-29 y.,Urban regions,Vocational training,0.14553,466,1442,0.12732,0.16374
2015,17-29 y.,Urban regions,Further training/ Retraining,0.02009,55,1442,0.01285,0.02733
2015,17-29 y.,Rural regions,General education,0.07974,144,642,0.05877,0.10071
2015,17-29 y.,Rural regions,University/ Technical university,0.13302,172,642,0.10673,0.15931
2015,17-29 y.,Rural regions,Vocational training,0.17924,295,642,0.14955,0.20893
2015,17-29 y.,Rural regions,Further training/ Retraining,0.02233,31,642,0.01089,0.03377
2015,30-45 y.,Urban regions,University/ Technical university,0.02624,108,258,0.00669,0.04578
2015,30-45 y.,Urban regions,Vocational training,0.01160,51,258,-0.00149,0.02470
2015,30-45 y.,Urban regions,Further training/ Retraining,0.02820,99,258,0.00796,0.04844
2015,30-45 y.,Rural regions,Further training/ Retraining,0.02072,47,47,-0.02044,0.06188
2015,46-65 y.,Urban regions,Further training/ Retraining,0.00550,39,39,-0.01801,0.02900
