year,plg0267_h,regtyp,sampreg,proportion,n,lower_confidence,upper_confidence
2014,General education,Urban regions,West,0.6427255985267035,38694,0.6379508774507949,0.6475003196026121
2014,General education,Rural regions,West,0.23572744014732966,38694,0.23149818914130388,0.23995669115335544
2014,General education,Rural regions,East,0.0847145488029466,38694,0.08194000530210666,0.08748909230378654
2014,General education,Urban regions,East,0.03683241252302026,38694,0.03495568911729914,0.03870913592874138
2014,University/ Technical university,Urban regions,West,0.6656410256410257,38694,0.6609403445267712,0.6703417067552802
2014,University/ Technical university,Rural regions,West,0.15794871794871795,38694,0.15431491325982538,0.16158252263761053
2014,University/ Technical university,Urban regions,East,0.12307692307692308,38694,0.11980349108623035,0.12635035506761583
2014,University/ Technical university,Rural regions,East,0.05333333333333334,38694,0.05109444638647113,0.055572220280195546
2014,Vocational training,Urban regions,West,0.569620253164557,38694,0.5646867787322731,0.5745537275968409
2014,Vocational training,Rural regions,West,0.23945147679324894,38694,0.23519934730616818,0.2437036062803297
2014,Vocational training,Rural regions,East,0.12130801687763713,38694,0.11805491742011737,0.1245611163351569
2014,Vocational training,Urban regions,East,0.06962025316455696,38694,0.06708435283173,0.07215615349738391
2014,Further training/ Retraining,Urban regions,West,0.5617647058823529,38694,0.5568208573279252,0.5667085544367807
2014,Further training/ Retraining,Rural regions,West,0.25882352941176473,38694,0.25445940676628387,0.2631876520572456
2014,Further training/ Retraining,Rural regions,East,0.10294117647058823,38694,0.09991329212596327,0.10596906081521319
2014,Further training/ Retraining,Urban regions,East,0.07647058823529412,38694,0.07382265617049052,0.07911852030009772
2015,General education,Urban regions,West,0.6263269639065817,38036,0.621465074376416,0.6311888534367475
2015,General education,Rural regions,West,0.22717622080679406,38036,0.2229652684718944,0.2313871731416937
2015,General education,Rural regions,East,0.08917197452229299,38036,0.08630785566845003,0.09203609337613594
2015,General education,Urban regions,East,0.05732484076433121,38036,0.05498863488794611,0.059661046640716316
2015,University/ Technical university,Urban regions,West,0.6775244299674267,38036,0.6728269001949523,0.6822219597399011
2015,University/ Technical university,Rural regions,West,0.1758957654723127,38036,0.17206947957550608,0.1797220513691193
2015,University/ Technical university,Urban regions,East,0.10097719869706841,38036,0.09794920013587179,0.10400519725826503
2015,University/ Technical university,Rural regions,East,0.04560260586319218,38036,0.04350599368277559,0.04769921804360877
2015,Vocational training,Urban regions,West,0.552046783625731,38036,0.5470491671628898,0.5570444000885723
2015,Vocational training,Rural regions,West,0.26198830409356727,38036,0.257569230582857,0.2664073776042775
2015,Vocational training,Rural regions,East,0.11929824561403508,38036,0.11604070295847628,0.12255578826959389
2015,Vocational training,Urban regions,East,0.06666666666666667,38036,0.0641597989890921,0.06917353434424123
2015,Further training/ Retraining,Urban regions,West,0.5902777777777778,38036,0.5853354490450176,0.595220106510538
2015,Further training/ Retraining,Rural regions,West,0.19444444444444445,38036,0.1904669995613545,0.1984218893275344
2015,Further training/ Retraining,Rural regions,East,0.1284722222222222,38036,0.12510940016767014,0.13183504427677428
2015,Further training/ Retraining,Urban regions,East,0.08680555555555555,38036,0.0839760272499972,0.0896350838611139
2016,General education,Urban regions,West,0.7081545064377682,41132,0.7037610465543308,0.7125479663212057
2016,General education,Rural regions,West,0.16738197424892703,41132,0.1637741663485963,0.17098978214925778
2016,General education,Rural regions,East,0.07510729613733906,41132,0.07256015565438384,0.07765443662029428
2016,General education,Urban regions,East,0.04935622317596566,41132,0.047262853049673995,0.05144959330225733
2016,University/ Technical university,Urban regions,West,0.6998892580287929,41132,0.6954600957552091,0.7043184203023767
2016,University/ Technical university,Rural regions,West,0.14950166112956811,41132,0.1460555767934742,0.15294774546566203
2016,University/ Technical university,Urban regions,East,0.10963455149501661,41132,0.10661512800659502,0.1126539749834382
2016,University/ Technical university,Rural regions,East,0.04097452934662237,41132,0.0390587820758592,0.042890276617385543
2016,Vocational training,Urban regions,West,0.5451388888888888,41132,0.5403265174118435,0.5499512603659342
2016,Vocational training,Rural regions,West,0.29282407407407407,41132,0.28842629629032707,0.2972218518578211
2016,Vocational training,Rural regions,East,0.09722222222222222,41132,0.09435910348143446,0.10008534096300999
2016,Vocational training,Urban regions,East,0.06481481481481481,41132,0.06243549890176802,0.0671941307278616
2016,Further training/ Retraining,Urban regions,West,0.6137724550898204,41132,0.6090671100370001,0.6184778001426406
2016,Further training/ Retraining,Rural regions,West,0.18862275449101795,41132,0.18484203365160254,0.19240347533043337
2016,Further training/ Retraining,Urban regions,East,0.11676646706586827,41132,0.11366288665178687,0.11987004747994967
2016,Further training/ Retraining,Rural regions,East,0.08083832335329341,41132,0.07820398981628829,0.08347265689029854
2017,General education,Urban regions,West,0.6347826086956522,45410,0.6303539872854926,0.6392112301058117
2017,General education,Rural regions,West,0.2,45410,0.1963209108487231,0.20367908915127692
2017,General education,Rural regions,East,0.09043478260869565,45410,0.08779684213077649,0.09307272308661482
2017,General education,Urban regions,East,0.07478260869565218,45410,0.07236323742257784,0.0772019799687265
2017,University/ Technical university,Urban regions,West,0.6639269406392694,45410,0.6595822654286461,0.6682716158498927
2017,University/ Technical university,Rural regions,West,0.1735159817351598,45410,0.1700328709235831,0.17699909254673651
2017,University/ Technical university,Urban regions,East,0.11506849315068493,45410,0.11213345762502734,0.11800352867634252
2017,University/ Technical university,Rural regions,East,0.047488584474885846,45410,0.04553239901165762,0.04944476993811407
2017,Vocational training,Urban regions,West,0.5836653386454184,45410,0.57913131734059,0.5881993599502467
2017,Vocational training,Rural regions,West,0.2599601593625498,45410,0.25592592366350586,0.2639943950615937
2017,Vocational training,Rural regions,East,0.11055776892430279,45410,0.1076735127802783,0.11344202506832728
2017,Vocational training,Urban regions,East,0.045816733067729085,45410,0.043893604682905527,0.04773986145255264
2017,Further training/ Retraining,Urban regions,West,0.6155913978494624,45410,0.6111171180378957,0.620065677661029
2017,Further training/ Retraining,Rural regions,West,0.21236559139784947,45410,0.20860388638062233,0.2161272964150766
2017,Further training/ Retraining,Urban regions,East,0.0913978494623656,45410,0.08874730441803598,0.09404839450669521
2017,Further training/ Retraining,Rural regions,East,0.08064516129032258,45410,0.07814071881438976,0.0831496037662554
2018,General education,Urban regions,West,0.6666666666666666,43121,0.6622172261769191,0.6711161071564141
2018,General education,Rural regions,West,0.18371212121212122,43121,0.1800569961672574,0.18736724625698503
2018,General education,Rural regions,East,0.09090909090909091,43121,0.08819565870993216,0.09362252310824966
