year,age_gr,plg0267_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,17-29 y.,General education,0.08146,540,2225,0.07009,0.09283
2014,17-29 y.,University/ Technical university,0.20675,785,2225,0.18992,0.22358
2014,17-29 y.,Vocational training,0.15650,818,2225,0.14140,0.17160
2014,17-29 y.,Further training/ Retraining,0.01963,82,2225,0.01386,0.02539
2014,30-45 y.,University/ Technical university,0.02724,177,447,0.01213,0.04235
2014,30-45 y.,Vocational training,0.01416,106,447,0.00320,0.02513
2014,30-45 y.,Further training/ Retraining,0.02153,164,447,0.00806,0.03500
2014,46-65 y.,Further training/ Retraining,0.00712,89,89,-0.01045,0.02468
2015,17-29 y.,General education,0.07376,469,2084,0.06253,0.08498
2015,17-29 y.,University/ Technical university,0.19197,768,2084,0.17505,0.20888
2015,17-29 y.,Vocational training,0.15538,761,2084,0.13982,0.17094
2015,17-29 y.,Further training/ Retraining,0.02075,86,2084,0.01462,0.02687
2015,30-45 y.,University/ Technical university,0.02336,138,360,0.00773,0.03898
2015,30-45 y.,Vocational training,0.00980,76,360,-0.00039,0.01999
2015,30-45 y.,Further training/ Retraining,0.02600,146,360,0.00954,0.04247
2015,46-65 y.,Further training/ Retraining,0.00573,53,53,-0.01479,0.02625
2016,17-29 y.,General education,0.07303,460,2045,0.06175,0.08431
2016,17-29 y.,University/ Technical university,0.20762,730,2045,0.19004,0.22521
2016,17-29 y.,Vocational training,0.14933,765,2045,0.13388,0.16478
2016,17-29 y.,Further training/ Retraining,0.02256,90,2045,0.01612,0.02899
2016,30-45 y.,University/ Technical university,0.03122,158,407,0.01430,0.04814
2016,30-45 y.,Vocational training,0.01027,83,407,0.00047,0.02008
2016,30-45 y.,Further training/ Retraining,0.02135,166,407,0.00729,0.03541
2016,46-65 y.,Further training/ Retraining,0.00503,74,74,-0.01120,0.02126
2017,17-29 y.,General education,0.07768,569,2451,0.06708,0.08828
2017,17-29 y.,University/ Technical university,0.20879,902,2451,0.19270,0.22489
2017,17-29 y.,Vocational training,0.15561,878,2451,0.14125,0.16996
2017,17-29 y.,Further training/ Retraining,0.01874,102,2451,0.01337,0.02411
2017,30-45 y.,University/ Technical university,0.03133,175,457,0.01534,0.04732
2017,30-45 y.,Vocational training,0.01095,108,457,0.00140,0.02050
2017,30-45 y.,Further training/ Retraining,0.02018,174,457,0.00727,0.03309
2017,46-65 y.,Further training/ Retraining,0.00663,94,94,-0.00986,0.02313
2018,17-29 y.,General education,0.07128,517,2383,0.06095,0.08162
2018,17-29 y.,University/ Technical university,0.20112,908,2383,0.18503,0.21722
2018,17-29 y.,Vocational training,0.15112,873,2383,0.13674,0.16550
2018,17-29 y.,Further training/ Retraining,0.01497,85,2383,0.01010,0.01985
2018,30-45 y.,University/ Technical university,0.03026,173,464,0.01466,0.04587
2018,30-45 y.,Vocational training,0.00900,115,464,0.00040,0.01761
2018,30-45 y.,Further training/ Retraining,0.02216,176,464,0.00875,0.03557
2018,46-65 y.,Further training/ Retraining,0.00435,84,84,-0.00981,0.01850
2019,17-29 y.,General education,0.06603,438,2188,0.05563,0.07644
2019,17-29 y.,University/ Technical university,0.19911,854,2188,0.18238,0.21585
2019,17-29 y.,Vocational training,0.14531,814,2188,0.13054,0.16008
2019,17-29 y.,Further training/ Retraining,0.01664,82,2188,0.01128,0.02200
2019,30-45 y.,University/ Technical university,0.03198,167,427,0.01527,0.04869
2019,30-45 y.,Vocational training,0.01362,134,427,0.00262,0.02463
2019,30-45 y.,Further training/ Retraining,0.01705,126,427,0.00476,0.02935
