"year","migback","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","direkter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1984","direkter Migrationshintergrund","Westdeutschland","7.12","7.5","3348","3","5","9","10","10","7.03","7.21","0","10","7","8"
"1984","indirekter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1984","indirekter Migrationshintergrund","Westdeutschland","7.2","7.5","125","4","5","9","10","10","6.78","7.62","0","10","7","8"
"1984","kein Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1984","kein Migrationshintergrund","Westdeutschland","7.51","7.5","8618","4","6","10","10","10","7.46","7.56","0","10","8","8"
"1984","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"1984","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"1985","direkter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1985","direkter Migrationshintergrund","Westdeutschland","7.07","7.5","2884","3","5","9","10","10","6.98","7.16","0","10","7","7"
"1985","indirekter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1985","indirekter Migrationshintergrund","Westdeutschland","7.51","7.5","140","4","6","10","10","10","7.09","7.93","0","10","7","9"
"1985","kein Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1985","kein Migrationshintergrund","Westdeutschland","7.34","7.5","7919","4","6","9","10","10","7.29","7.39","0","10","8","8"
"1985","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"1985","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"1986","direkter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1986","direkter Migrationshintergrund","Westdeutschland","6.87","6.5","2812","3","5","9","10","10","6.78","6.96","0","10","7","7"
"1986","indirekter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1986","indirekter Migrationshintergrund","Westdeutschland","7.08","6.5","153","4","5","9","10","10","6.69","7.47","0","10","7","8"
"1986","kein Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1986","kein Migrationshintergrund","Westdeutschland","7.24","7.5","7570","4","6","9","10","10","7.19","7.29","0","10","8","8"
"1986","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"1986","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"1987","direkter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1987","direkter Migrationshintergrund","Westdeutschland","6.97","6.5","2784","4","5","9","10","10","6.88","7.06","0","10","7","7"
"1987","indirekter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1987","indirekter Migrationshintergrund","Westdeutschland","7.21","7.5","174","5","6","9","10","10","6.88","7.54","0","10","7","8"
"1987","kein Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1987","kein Migrationshintergrund","Westdeutschland","7.29","7.5","7439","4","6","9","10","10","7.24","7.34","0","10","8","8"
"1987","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"1987","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"1988","direkter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1988","direkter Migrationshintergrund","Westdeutschland","6.82","6.5","2659","3","5","9","10","10","6.73","6.91","0","10","7","7"
"1988","indirekter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1988","indirekter Migrationshintergrund","Westdeutschland","7.17","6.5","217","4","6","9","10","10","6.85","7.49","0","10","7","8"
"1988","kein Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1988","kein Migrationshintergrund","Westdeutschland","7.12","7.5","7052","4","5","9","10","10","7.07","7.17","0","10","7","8"
"1988","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"1988","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"1989","direkter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1989","direkter Migrationshintergrund","Westdeutschland","6.73","6.5","2566","3","5","8","10","10","6.64","6.82","0","10","7","7"
"1989","indirekter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1989","indirekter Migrationshintergrund","Westdeutschland","7.42","7.5","256","4","7","9","10","10","7.15","7.69","1","10","7","8"
"1989","kein Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1989","kein Migrationshintergrund","Westdeutschland","7.07","7.5","6781","4","5","9","10","10","7.01","7.13","0","10","7","8"
"1989","Migrationshintergrund - n. w. differenzierbar","Ostdeutschland","","","","","","","","","","","","","",""
"1989","Migrationshintergrund - n. w. differenzierbar","Westdeutschland","","","","","","","","","","","","","",""
"1990","direkter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1990","direkter Migrationshintergrund","Westdeutschland","","","","","","","","","","","","","",""
"1990","indirekter Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
"1990","indirekter Migrationshintergrund","Westdeutschland","","","","","","","","","","","","","",""
"1990","kein Migrationshintergrund","Ostdeutschland","","","","","","","","","","","","","",""
