syear,age_gr,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,17-29 J.,7.406549251935385,7.367854169203393,7.445244334667376,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,3412.0
1984,30-45 J.,7.023798096859214,6.9848547321956485,7.06274146152278,5.0,8.0,9.0,0.0,10.0,8.0,8.0,8.024999999999999,3891.0
1984,46-65 J.,7.459166186615933,7.418855681248493,7.499476691983373,6.0,8.0,10.0,0.0,10.0,8.0,8.0,8.0,3536.0
1984,66 und älter,8.305728248266469,8.248448730305498,8.36300776622744,7.0,9.0,10.0,2.5,10.0,9.0,9.0,9.0,1252.0
1985,17-29 J.,7.254490804504972,7.216181846706188,7.292799762303756,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,3106.0
1985,30-45 J.,6.824561406818666,6.784636322553318,6.864486491084014,5.0,7.0,9.0,0.0,10.0,7.0,7.0,7.0,3465.0
1985,46-65 J.,7.309644858461495,7.269348961323885,7.349940755599105,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,3282.0
1985,66 und älter,8.16551664772659,8.10582104627464,8.225212249178542,7.0,9.0,10.0,2.5,10.0,9.0,9.0,10.0,1090.0
1986,17-29 J.,7.0627161050601215,7.024051667665232,7.101380542455011,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0,3043.0
1986,30-45 J.,6.679768202344656,6.639724861073253,6.719811543616059,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,3259.0
1986,46-65 J.,7.16228516709852,7.12118268656526,7.2033876476317795,5.0,8.0,9.0,0.0,10.0,8.0,8.0,8.0,3215.0
1986,66 und älter,8.267858252327954,8.20788174093911,8.3278347637168,7.0,9.0,10.0,2.5,10.0,9.0,9.0,9.0,1018.0
1987,17-29 J.,7.07397294851263,7.035475711039371,7.112470185985888,6.0,8.0,9.0,1.5,10.0,8.0,8.0,9.0,2991.0
1987,30-45 J.,6.6452746169501875,6.604936870846495,6.68561236305388,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,3153.0
1987,46-65 J.,7.351594102302292,7.311860444799631,7.391327759804954,6.0,8.0,9.0,1.5,10.0,8.0,8.0,8.0,3194.0
1987,66 und älter,8.204130384134762,8.145315607817308,8.262945160452217,7.0,9.0,10.0,2.5,10.0,9.0,9.0,10.0,1059.0
1988,17-29 J.,6.8577646956220635,6.8170040567449295,6.8985253344991975,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,2855.0
1988,30-45 J.,6.515721026835655,6.475022080733862,6.556419972937447,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,2947.0
1988,46-65 J.,7.153776816988943,7.113894021146036,7.1936596128318495,5.0,8.0,9.0,0.0,10.0,8.0,8.0,8.0,3100.0
1988,66 und älter,8.103251170171294,8.042307453122424,8.164194887220164,7.0,8.0,10.0,2.5,10.0,8.0,7.0,8.0,1026.0
1989,17-29 J.,6.8205864949843855,6.7804695664420995,6.8607034235266715,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,2813.0
1989,30-45 J.,6.421802343161035,6.378804580558253,6.464800105763818,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,2833.0
1989,46-65 J.,7.053566855170546,7.012653968039915,7.094479742301177,5.0,8.0,9.0,0.0,10.0,8.0,8.0,8.024999999999999,2956.0
1989,66 und älter,8.177291016375147,8.120549393137923,8.234032639612371,7.0,8.0,10.0,2.5,10.0,8.0,7.0,8.0,1001.0
1990,17-29 J.,,,,,,,,,,,,
1990,30-45 J.,,,,,,,,,,,,
1990,46-65 J.,,,,,,,,,,,,
1990,66 und älter,,,,,,,,,,,,
1991,17-29 J.,6.6101432543753615,6.573189103148507,6.647097405602216,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,3682.0
1991,30-45 J.,6.084742681901032,6.049272348286772,6.120213015515292,4.5456165745975765,6.0,8.0,0.0,10.0,6.0,5.0,6.0,4303.0
1991,46-65 J.,6.8504841306128865,6.814608927561541,6.886359333664232,5.0,7.0,9.0,0.0,10.0,7.0,6.974999999999994,7.0,4113.0
1991,66 und älter,8.302840785287296,8.254671001920007,8.351010568654585,8.0,9.0,10.0,5.0,10.0,9.0,9.0,9.0,1427.0
1992,17-29 J.,6.689973961344637,6.6549279182345105,6.7250200044547634,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,3551.0
1992,30-45 J.,6.154881438467575,6.121202005970511,6.188560870964639,5.0,6.0,8.0,0.5,10.0,6.0,5.0,6.0,4245.0
1992,46-65 J.,6.942242051694545,6.907046055451794,6.977438047937296,5.0,7.0,9.0,0.0,10.0,7.0,6.0,7.0,4011.0
