syear,migback,sampreg,plh0184,proportion,n,lower_confidence,upper_confidence
2007,No migration background,West,3.0,0.25686907206414394,20850,0.25093856785765145,0.26279957627063644
2007,No migration background,West,2.0,0.13835924513542583,20850,0.13367251173441347,0.1430459785364382
2007,No migration background,West,4.0,0.12525667351129363,20850,0.12076359717160155,0.1297497498509857
2007,No migration background,East,3.0,0.10345164759949155,20850,0.09931776055214167,0.10758553464684142
2007,No migration background,West,1.0,0.0669306737068544,20850,0.06353854285945928,0.07032280455424952
2007,No migration background,East,4.0,0.052165835533392005,20850,0.04914753621980878,0.05518413484697523
2007,No migration background,East,2.0,0.04908575339786839,20850,0.046153162722543765,0.05201834407319301
2007,Direct migration background,West,3.0,0.038378801212476776,20850,0.03577114245295679,0.040986459971996764
2007,No migration background,West,5.0,0.033440891757113525,20850,0.031000518958043042,0.03588126455618401
2007,Direct migration background,West,2.0,0.024102864965287962,20850,0.022021063082147692,0.026184666848428233
2007,No migration background,East,1.0,0.019702747628825658,20850,0.017816297486102556,0.02158919777154876
2007,Direct migration background,West,4.0,0.01862716339102376,20850,0.01679192105037742,0.020462405731670102
2007,Indirect migration background,West,3.0,0.014813728366089763,20850,0.01317391506104727,0.016453541671132256
2007,No migration background,East,5.0,0.013591473550405788,20850,0.012019791393668978,0.015163155707142599
2007,Direct migration background,West,1.0,0.011489195267429354,20850,0.010042628254498238,0.01293576228036047
2007,Indirect migration background,West,4.0,0.008066881783514227,20850,0.006852662618912526,0.009281100948115928
2007,Indirect migration background,West,2.0,0.007040187738339689,20850,0.005905278848638404,0.008175096628040973
2007,Direct migration background,West,5.0,0.006209054463674587,20850,0.005142794029375504,0.00727531489797367
2007,Indirect migration background,West,5.0,0.0033245330986604086,20850,0.0025431837465397845,0.004105882450781033
2007,Indirect migration background,West,1.0,0.0027378507871321013,20850,0.0020285791434628336,0.003447122430801369
2007,Direct migration background,East,3.0,0.001955607705094358,20850,0.0013559287046665618,0.0025552867055221545
2007,Direct migration background,East,2.0,0.001075584237801897,20850,0.0006306543598815042,0.0015205141157222898
2007,Direct migration background,East,4.0,0.0007822430820377432,20850,0.0004027498990877436,0.0011617362649877427
2007,Indirect migration background,East,3.0,0.0006844626967830253,20850,0.0003294619606122648,0.001039463432953786
2007,Indirect migration background,East,4.0,0.0004889019262735895,20850,0.00018884218792294228,0.0007889616646242369
2007,Direct migration background,East,1.0,0.0003911215410188716,20850,0.0001227268247890698,0.0006595162572486734
2007,Indirect migration background,East,2.0,0.0003911215410188716,20850,0.0001227268247890698,0.0006595162572486734
2007,Direct migration background,East,5.0,0.00024445096313679477,20850,3.22507431862152e-05,0.00045665118308737434
2007,Indirect migration background,East,1.0,0.0001955607705094358,20850,5.758483150018957e-06,0.0003853630578688526
2007,Indirect migration background,East,5.0,0.00014667057788207686,20850,-1.7707043532930134e-05,0.00031104819929708385
2008,No migration background,West,3.0,0.26180836707152494,19571,0.25564914471459266,0.2679675894284572
2008,No migration background,West,2.0,0.15472853731963043,19571,0.14966174765021015,0.15979532698905072
2008,No migration background,West,4.0,0.11185508149070902,19571,0.10743918037437572,0.11627098260704233
2008,No migration background,East,3.0,0.10894840651925672,19571,0.10458313331273945,0.11331367972577398
2008,No migration background,West,1.0,0.06560780649849476,19571,0.06213890536244531,0.06907670763454422
2008,No migration background,East,2.0,0.05486349008616215,19571,0.051673138482982085,0.05805384168934221
2008,No migration background,East,4.0,0.045416796428942176,19571,0.04249960649952258,0.04833398635836177
2008,Direct migration background,West,3.0,0.03861725319215198,19571,0.03591772159793704,0.04131678478636692
2008,No migration background,West,5.0,0.02688674348593377,19571,0.024620532402508916,0.029152954569358625
2008,Direct migration background,West,2.0,0.024499117616526525,19571,0.022333216538216745,0.026665018694836305
2008,No migration background,East,1.0,0.021021488632824666,19571,0.019011619057367615,0.023031358208281717
2008,Direct migration background,West,4.0,0.01728433509810028,19571,0.015458381061597196,0.019110289134603362
2008,Indirect migration background,West,3.0,0.014689089587875013,19571,0.013003570603004982,0.016374608572745045
2008,No migration background,East,5.0,0.010796221322537112,19571,0.009348355436028955,0.012244087209045268
2008,Direct migration background,West,1.0,0.01048479186131008,19571,0.009057736878440728,0.011911846844179433
2008,Indirect migration background,West,2.0,0.009758123118447004,19571,0.008380903014155252,0.011135343222738757
2008,Indirect migration background,West,4.0,0.007110972698017233,19571,0.005933734286334328,0.008288211109700138
2008,Direct migration background,West,5.0,0.0035295338939063635,19571,0.0026986497773091554,0.0043604180105035716
2008,Indirect migration background,West,1.0,0.003114294612270321,19571,0.0023336522869907826,0.0038949369375498592
2008,Indirect migration background,West,5.0,0.002802865151043289,19571,0.002062167144492518,0.0035435631575940598
2008,Direct migration background,East,3.0,0.0018685767673621925,19571,0.0012635161315110051,0.00247363740321338
2008,Direct migration background,East,4.0,0.0009342883836810962,19571,0.0005062457135878593,0.0013623310537743331
2008,Indirect migration background,East,3.0,0.0008823834734765909,19571,0.00046638996470624956,0.0012983769822469322
2008,Direct migration background,East,2.0,0.0007785736530675802,19571,0.00038779549324208663,0.001169351812893074
2008,Indirect migration background,East,4.0,0.0007785736530675802,19571,0.00038779549324208663,0.001169351812893074
2008,Direct migration background,East,1.0,0.00041523928163604275,19571,0.00012980338355490485,0.0007006751797171806
2008,Indirect migration background,East,2.0,0.0003114294612270321,19571,6.422188671927022e-05,0.000558637035734794
2008,Indirect migration background,East,1.0,0.00010380982040901069,19571,-3.8930359418947236e-05,0.0002465500002369686
2008,Direct migration background,East,5.0,5.1904910204505343e-05,19571,-4.9030258585035806e-05,0.0001528400789940465
2008,Indirect migration background,East,5.0,5.1904910204505343e-05,19571,-4.9030258585035806e-05,0.0001528400789940465
2009,No migration background,West,3.0,0.2549161606595733,18254,0.24859381400448208,0.2612385073146645
2009,No migration background,West,2.0,0.16149518132694557,18254,0.1561567997405218,0.16683356291336934
2009,No migration background,West,4.0,0.1121943067238594,18254,0.10761582567643621,0.11677278777128258
2009,No migration background,East,3.0,0.10534232076207453,18254,0.10088876457099802,0.10979587695315104
2009,No migration background,West,1.0,0.06835273800902457,18254,0.06469189789066322,0.07201357812738592
