"plh0184","year","migback","regtyp","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Sehr selten","2007","kein Migrationshintergrund","Staedtischer Raum","1183","0.108625118119818","0.102810417817702","0.114439818421934"
"Sehr selten","2007","kein Migrationshintergrund","Laendlicher Raum","589","0.0966313776741135","0.0894816786856565","0.103781076662571"
"Sehr selten","2007","direkter Migrationshintergrund","Staedtischer Raum","194","0.11008581461164","0.0952420553305451","0.124929573892735"
"Sehr selten","2007","direkter Migrationshintergrund","Laendlicher Raum","49","0.119714241834237","0.0880592536326821","0.151369230035791"
"Sehr selten","2007","indirekter Migrationshintergrund","Staedtischer Raum","50","0.07595322505137","0.0558330820154037","0.0960733680873364"
"Sehr selten","2007","indirekter Migrationshintergrund","Laendlicher Raum","10","","",""
"Sehr selten","2007","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Sehr selten","2007","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Selten","2007","kein Migrationshintergrund","Staedtischer Raum","2418","0.220376483440014","0.212630847179887","0.228122119700141"
"Selten","2007","kein Migrationshintergrund","Laendlicher Raum","1415","0.210937440681586","0.201064904684827","0.220809976678344"
"Selten","2007","direkter Migrationshintergrund","Staedtischer Raum","398","0.214618960529486","0.195148402098956","0.234089518960016"
"Selten","2007","direkter Migrationshintergrund","Laendlicher Raum","117","0.272888330916583","0.229452268529892","0.316324393303274"
"Selten","2007","indirekter Migrationshintergrund","Staedtischer Raum","132","0.171499268256923","0.142871429641969","0.200127106871877"
"Selten","2007","indirekter Migrationshintergrund","Laendlicher Raum","21","","",""
"Selten","2007","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Selten","2007","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Manchmal","2007","kein Migrationshintergrund","Staedtischer Raum","4542","0.41044243073895","0.401250193085511","0.419634668392389"
"Manchmal","2007","kein Migrationshintergrund","Laendlicher Raum","2825","0.425200855707005","0.413237547465518","0.437164163948492"
"Manchmal","2007","direkter Migrationshintergrund","Staedtischer Raum","668","0.395131482532974","0.371946569821565","0.418316395244383"
"Manchmal","2007","direkter Migrationshintergrund","Laendlicher Raum","157","0.394435590192117","0.346778707917456","0.442092472466778"
"Manchmal","2007","indirekter Migrationshintergrund","Staedtischer Raum","272","0.425770655214323","0.388217923843131","0.463323386585516"
"Manchmal","2007","indirekter Migrationshintergrund","Laendlicher Raum","48","0.458888623811829","0.367814259462562","0.549962988161097"
"Manchmal","2007","Migrationshintergrund - n. w. differenzierbar","Staedtischer Raum","","","",""
"Manchmal","2007","Migrationshintergrund - n. w. differenzierbar","Laendlicher Raum","","","",""
"Oft","2007","kein Migrationshintergrund","Staedtischer Raum","2260","0.203267220304255","0.195747147839388","0.210787292769122"
"Oft","2007","kein Migrationshintergrund","Laendlicher Raum","1367","0.21043684997181","0.200572908130466","0.220300791813154"
"Oft","2007","direkter Migrationshintergrund","Staedtischer Raum","341","0.219511084302208","0.199881289706831","0.239140878897585"
