"year","bildungsniveau","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1984","(Fach-)Abitur","916.33","817.5","463","226","454","1202","1703","2801","866.35","966.31","0","5113","792","872"
"1984","(noch) kein Abschluss","728.8","765","654","210","511","920","1074","1534","704.45","753.15","0","4090","767","818"
"1984","AkademikerIn","1516.82","1479","620","636","1023","1943","2454","3594","1457.68","1575.96","0","5157","1380","1534"
"1984","Hauptschule","837.88","845.5","4149","245","511","1074","1329","2297","823.22","852.54","0","10737","818","868"
"1984","Realschule","","","","","","","","","","","","","",""
"1985","(Fach-)Abitur","837.96","791.5","436","199","307","1125","1636","2556","786.83","889.09","0","4602","767","869"
"1985","(noch) kein Abschluss","713.61","740.5","515","169","562","920","1071","1577","687.3","739.92","31","2555","767","818"
"1985","AkademikerIn","1514.82","1475","591","614","997","1994","2481","3606","1453.96","1575.68","63","5113","1421","1534"
"1985","Hauptschule","837.82","843.5","3725","235","511","1074","1350","2103","823.31","852.33","0","6647","818","869"
"1985","Realschule","","","","","","","","","","","","","",""
"1986","(Fach-)Abitur","866.45","810.5","441","228","336","1176","1585","2812","817.75","915.15","15","4193","777","869"
"1986","(noch) kein Abschluss","750.06","756.5","480","210","537","946","1125","1611","721.09","779.03","0","2556","767","844"
"1986","AkademikerIn","1627.02","1533.5","585","716","1085","2045","2556","3579","1563.93","1690.11","0","5624","1482","1631"
"1986","Hauptschule","865.26","868","3565","254","534","1074","1380","2199","848.42","882.1","0","16361","859","869"
"1986","Realschule","","","","","","","","","","","","","",""
"1987","(Fach-)Abitur","879.55","813","441","213","378","1143","1671","2464","828.98","930.12","36","4346","792","895"
"1987","(noch) kein Abschluss","764.55","789.5","469","205","511","1023","1176","1534","728.9","800.2","21","5113","767","869"
"1987","AkademikerIn","1642.76","1583.5","581","665","1074","2147","2556","4090","1575.7","1709.82","43","6033","1533","1669"
"1987","Hauptschule","883.43","892","3532","256","562","1125","1424","2454","868.7","898.16","0","4090","869","914"
"1987","Realschule","","","","","","","","","","","","","",""
"1988","(Fach-)Abitur","912.96","854","414","234","409","1227","1738","2669","854.36","971.56","0","5624","818","921"
"1988","(noch) kein Abschluss","820.33","866.5","413","269","614","1023","1227","1534","786.78","853.88","0","3068","818","895"
"1988","AkademikerIn","1688.8","1583","555","716","1099","2147","2556","4602","1616.69","1760.91","0","6647","1534","1738"
"1988","Hauptschule","918.45","919","3354","256","562","1176","1483","2418","902.2","934.7","0","6647","920","920"
"1988","Realschule","","","","","","","","","","","","","",""
"1989","(Fach-)Abitur","979.28","948","428","230","517","1278","1841","2812","923.68","1034.88","0","5113","879","1023"
"1989","(noch) kein Abschluss","814.9","851","399","225","573","1023","1278","1687","776.4","853.4","0","3066","818","920"
"1989","AkademikerIn","1777.96","1679","554","767","1176","2250","2761","4985","1696.64","1859.28","0","10226","1556","1755"
"1989","Hauptschule","947.31","967","3260","256","614","1227","1534","2454","930.62","964","0","5113","920","971"
"1989","Realschule","","","","","","","","","","","","","",""
"1990","(Fach-)Abitur","948.46","879.5","504","307","495","1278","1738","2787","899.93","996.99","51","3068","767","920"
"1990","(noch) kein Abschluss","851.82","915","389","260","573","1125","1278","1738","814.09","889.55","0","2556","920","971"
"1990","AkademikerIn","","","","","","","","","","","","","",""
"1990","Hauptschule","909.04","906","4264","261","460","1227","1534","2556","892.31","925.77","0","10226","767","818"
"1990","Realschule","","","","","","","","","","","","","",""
"1991","(Fach-)Abitur","1010.28","969.5","537","256","511","1329","1790","3068","961","1059.56","0","4090","869","1002"
"1991","(noch) kein Abschluss","844.32","875.5","407","205","511","1176","1406","1790","801.33","887.31","28","3068","869","971"
"1991","AkademikerIn","","","","","","","","","","","","","",""
"1991","Hauptschule","967.89","945.5","3977","266","511","1278","1636","2659","951.09","984.69","0","5624","869","920"
"1991","Realschule","","","","","","","","","","","","","",""
"1992","(Fach-)Abitur","1113.65","1071","526","306","614","1432","1896","3579","1061.38","1165.92","77","3671","971","1091"
"1992","(noch) kein Abschluss","925.97","939.5","364","245","639","1227","1528","2139","879.17","972.77","0","2556","920","1023"
"1992","AkademikerIn","","","","","","","","","","","","","",""
"1992","Hauptschule","1043.36","1022.5","3644","317","614","1351","1713","2556","1026.23","1060.49","0","5113","971","1023"
"1992","Realschule","","","","","","","","","","","","","",""
"1993","(Fach-)Abitur","1164.08","1083.5","531","376","651","1534","2027","3093","1111.98","1216.18","46","3456","1017","1125"
