year,age_gr,bula_h,ple0097,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,17-29 y.,Schleswig-Holstein,Statutory health insurance,0.81349,50,50,0.70443,0.92256
1999,17-29 y.,Hamburg,Statutory health insurance,0.99623,31,31,0.97431,1.01816
1999,17-29 y.,Lower Saxony,Statutory health insurance,0.91476,241,241,0.87943,0.95009
1999,17-29 y.,North Rhine-Westphalia,Statutory health insurance,0.90240,535,585,0.87833,0.92647
1999,17-29 y.,North Rhine-Westphalia,Private health insurance,0.09469,50,585,0.07094,0.11844
1999,17-29 y.,Hesse,Statutory health insurance,0.82957,159,159,0.77094,0.88820
1999,17-29 y.,"Rhineland-Palatinate, Saarland",Statutory health insurance,0.93602,134,134,0.89443,0.97761
1999,17-29 y.,Baden-Wuerttemberg,Statutory health insurance,0.93809,392,392,0.91420,0.96198
1999,17-29 y.,Bavaria,Statutory health insurance,0.89453,343,343,0.86197,0.92708
1999,17-29 y.,Berlin,Statutory health insurance,0.90224,97,97,0.84283,0.96165
1999,17-29 y.,Brandenburg,Statutory health insurance,0.92500,129,129,0.87937,0.97063
1999,17-29 y.,Mecklenburg-Western Pomerania,Statutory health insurance,0.90746,88,88,0.84657,0.96835
1999,17-29 y.,Saxony,Statutory health insurance,0.94795,232,232,0.91931,0.97660
1999,17-29 y.,Saxony-Anhalt,Statutory health insurance,0.93266,147,147,0.89201,0.97331
1999,17-29 y.,Thuringa,Statutory health insurance,0.93247,147,147,0.89177,0.97318
1999,30-45 y.,Schleswig-Holstein,Statutory health insurance,0.82816,100,100,0.75384,0.90247
1999,30-45 y.,Hamburg,Statutory health insurance,0.75068,31,31,0.59587,0.90549
1999,30-45 y.,Lower Saxony,Statutory health insurance,0.86340,367,408,0.83003,0.89676
1999,30-45 y.,Lower Saxony,Private health insurance,0.10654,41,408,0.07657,0.13652
1999,30-45 y.,North Rhine-Westphalia,Statutory health insurance,0.85130,810,926,0.82837,0.87423
1999,30-45 y.,North Rhine-Westphalia,Private health insurance,0.13388,116,926,0.11193,0.15582
1999,30-45 y.,Hesse,Statutory health insurance,0.84729,257,294,0.80610,0.88847
1999,30-45 y.,Hesse,Private health insurance,0.14470,37,294,0.10442,0.18499
1999,30-45 y.,"Rhineland-Palatinate, Saarland",Statutory health insurance,0.89141,268,268,0.85409,0.92873
1999,30-45 y.,Baden-Wuerttemberg,Statutory health insurance,0.86328,556,620,0.83621,0.89034
1999,30-45 y.,Baden-Wuerttemberg,Private health insurance,0.12101,64,620,0.09532,0.14671
1999,30-45 y.,Bavaria,Statutory health insurance,0.84522,561,637,0.81711,0.87333
1999,30-45 y.,Bavaria,Private health insurance,0.14697,76,637,0.11945,0.17449
1999,30-45 y.,Berlin,Statutory health insurance,0.88858,157,157,0.83920,0.93796
1999,30-45 y.,Brandenburg,Statutory health insurance,0.93776,171,171,0.90144,0.97408
1999,30-45 y.,Mecklenburg-Western Pomerania,Statutory health insurance,0.89350,116,116,0.83712,0.94988
1999,30-45 y.,Saxony,Statutory health insurance,0.91673,356,356,0.88799,0.94547
1999,30-45 y.,Saxony-Anhalt,Statutory health insurance,0.92364,191,191,0.88588,0.96141
1999,30-45 y.,Thuringa,Statutory health insurance,0.93839,226,226,0.90698,0.96981
