year,migback,ple0097,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,No migration background,Statutory health insurance,0.73801,9648,10861,0.72974,0.74628
1999,No migration background,Private health insurance,0.09615,1121,10861,0.09061,0.10169
1999,No migration background,No insurance,0.00714,92,10861,0.00556,0.00873
1999,Direct migration background,Statutory health insurance,0.89339,2129,2194,0.88047,0.90631
1999,Direct migration background,Private health insurance,0.05090,65,2194,0.04170,0.06010
1999,Indirect migration background,Statutory health insurance,0.37492,572,572,0.33521,0.41463
2000,No migration background,Statutory health insurance,0.73857,17504,19960,0.73248,0.74467
2000,No migration background,Private health insurance,0.10100,2346,19960,0.09682,0.10518
2000,No migration background,No insurance,0.00453,110,19960,0.00360,0.00546
2000,Direct migration background,Statutory health insurance,0.86134,3147,3283,0.84951,0.87316
2000,Direct migration background,Private health insurance,0.04941,136,3283,0.04199,0.05682
2000,Indirect migration background,Statutory health insurance,0.36622,772,809,0.33300,0.39944
2000,Indirect migration background,Private health insurance,0.01859,37,809,0.00927,0.02790
2001,No migration background,Statutory health insurance,0.73927,15972,18235,0.73290,0.74564
2001,No migration background,Private health insurance,0.10316,2155,18235,0.09874,0.10757
2001,No migration background,No insurance,0.00535,108,18235,0.00429,0.00641
2001,Direct migration background,Statutory health insurance,0.87605,2770,2900,0.86406,0.88805
2001,Direct migration background,Private health insurance,0.05346,130,2900,0.04527,0.06165
2001,Indirect migration background,Statutory health insurance,0.34510,716,758,0.31124,0.37897
2001,Indirect migration background,Private health insurance,0.02251,42,758,0.01194,0.03308
2002,No migration background,Statutory health insurance,0.74364,16289,19448,0.73750,0.74978
2002,No migration background,Private health insurance,0.10135,3055,19448,0.09710,0.10559
2002,No migration background,No insurance,0.00397,104,19448,0.00308,0.00485
2002,Direct migration background,Statutory health insurance,0.89270,2615,2789,0.88121,0.90419
2002,Direct migration background,Private health insurance,0.04838,174,2789,0.04041,0.05634
2002,Indirect migration background,Statutory health insurance,0.35096,706,763,0.31707,0.38484
