year,ple0097,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,Statutory health insurance,0.73435,12349,13669,0.72695,0.74176
1999,Private health insurance,0.08616,1210,13669,0.08146,0.09086
1999,No insurance,0.00689,110,13669,0.00551,0.00828
2000,Statutory health insurance,0.73150,21423,24081,0.72590,0.73709
2000,Private health insurance,0.09029,2519,24081,0.08667,0.09391
2000,No insurance,0.00488,139,24081,0.00400,0.00576
2001,Statutory health insurance,0.73048,19458,21915,0.72461,0.73636
2001,Private health insurance,0.09268,2327,21915,0.08884,0.09651
2001,No insurance,0.00549,130,21915,0.00451,0.00646
2002,Statutory health insurance,0.73647,19610,23013,0.73077,0.74216
2002,Private health insurance,0.09043,3286,23013,0.08673,0.09414
2002,No insurance,0.00383,117,23013,0.00303,0.00463
2003,Statutory health insurance,0.73636,18898,22136,0.73055,0.74216
2003,Private health insurance,0.09014,3112,22136,0.08637,0.09391
2003,No insurance,0.00480,126,22136,0.00389,0.00572
2004,Statutory health insurance,0.73897,18384,21430,0.73309,0.74485
2004,Private health insurance,0.08932,3046,21430,0.08550,0.09314
2005,Statutory health insurance,0.73976,17544,20452,0.73374,0.74577
2005,Private health insurance,0.09002,2908,20452,0.08610,0.09394
2006,Statutory health insurance,0.73340,18644,21793,0.72753,0.73927
2006,Private health insurance,0.09412,3149,21793,0.09024,0.09799
2007,Statutory health insurance,0.73045,17362,20289,0.72434,0.73655
2007,Private health insurance,0.09445,2927,20289,0.09043,0.09848
2008,Statutory health insurance,0.74306,16512,19272,0.73689,0.74922
2008,Private health insurance,0.09428,2760,19272,0.09016,0.09841
2009,Statutory health insurance,0.74365,15385,17995,0.73727,0.75003
2009,Private health insurance,0.09865,2610,17995,0.09430,0.10301
2010,Statutory health insurance,0.74300,20713,23931,0.73747,0.74854
2010,Private health insurance,0.10100,3218,23931,0.09719,0.10482
2011,Statutory health insurance,0.73363,24531,28304,0.72848,0.73878
2011,Private health insurance,0.10282,3773,28304,0.09928,0.10636
2012,Statutory health insurance,0.73531,23930,27590,0.73010,0.74051
2012,Private health insurance,0.10357,3660,27590,0.09998,0.10717
2013,Statutory health insurance,0.73679,26999,30573,0.73186,0.74173
2013,Private health insurance,0.10385,3574,30573,0.10043,0.10727
2014,Statutory health insurance,0.73775,23793,27013,0.73250,0.74299
2014,Private health insurance,0.10252,3220,27013,0.09890,0.10614
2015,Statutory health insurance,0.73743,23599,26722,0.73215,0.74270
2015,Private health insurance,0.10522,3123,26722,0.10154,0.10890
2016,Statutory health insurance,0.73394,21372,24248,0.72838,0.73950
2016,Private health insurance,0.10189,2876,24248,0.09808,0.10569
2017,Statutory health insurance,0.73002,23278,26487,0.72467,0.73537
2017,Private health insurance,0.10152,3209,26487,0.09788,0.10515
2018,Statutory health insurance,0.73529,22629,25606,0.72989,0.74069
2018,Private health insurance,0.10043,2977,25606,0.09674,0.10411
2019,Statutory health insurance,0.72842,21678,25663,0.72298,0.73387
2019,Private health insurance,0.10092,3985,25663,0.09724,0.10461
2020,Statutory health insurance,0.73064,24811,28322,0.72547,0.73580
2020,Private health insurance,0.10000,3511,28322,0.09650,0.10349
