"plh0188","year","regtyp","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Stimmt ganz u.gar","1990","Staedtischer Raum","maennlich","127","","",""
"Stimmt ganz u.gar","1990","Staedtischer Raum","weiblich","115","","",""
"Stimmt ganz u.gar","1990","Laendlicher Raum","maennlich","270","","",""
"Stimmt ganz u.gar","1990","Laendlicher Raum","weiblich","251","","",""
"Stimmt eher","1990","Staedtischer Raum","maennlich","313","0.455950626495917","0.41865302787849","0.493248225113345"
"Stimmt eher","1990","Staedtischer Raum","weiblich","337","0.440885126876777","0.405839474507452","0.475930779246102"
"Stimmt eher","1990","Laendlicher Raum","maennlich","619","0.451411865272536","0.425137443183434","0.477686287361639"
"Stimmt eher","1990","Laendlicher Raum","weiblich","653","0.433121156480168","0.407902186828785","0.458340126131552"
"Stimmt eher nicht","1990","Staedtischer Raum","maennlich","199","","",""
"Stimmt eher nicht","1990","Staedtischer Raum","weiblich","243","","",""
"Stimmt eher nicht","1990","Laendlicher Raum","maennlich","405","0.290308393178699","0.266342803864127","0.314273982493271"
"Stimmt eher nicht","1990","Laendlicher Raum","weiblich","470","0.316072172755598","0.292408846930528","0.339735498580668"
"Stimmt ganz u.gar nicht","1990","Staedtischer Raum","maennlich","46","0.0690156241990659","0.0500333732022328","0.0879978751958989"
"Stimmt ganz u.gar nicht","1990","Staedtischer Raum","weiblich","76","0.0980033439886194","0.0770166604863892","0.118990027490849"
"Stimmt ganz u.gar nicht","1990","Laendlicher Raum","maennlich","84","0.0627531234242244","0.0499484603172391","0.0755577865312098"
"Stimmt ganz u.gar nicht","1990","Laendlicher Raum","weiblich","109","","",""
"Stimmt ganz u.gar","1991","Staedtischer Raum","maennlich","107","","",""
"Stimmt ganz u.gar","1991","Staedtischer Raum","weiblich","88","0.136204872556875","0.11084937568105","0.1615603694327"
"Stimmt ganz u.gar","1991","Laendlicher Raum","maennlich","224","","",""
"Stimmt ganz u.gar","1991","Laendlicher Raum","weiblich","197","","",""
"Stimmt eher","1991","Staedtischer Raum","maennlich","272","","",""
"Stimmt eher","1991","Staedtischer Raum","weiblich","287","","",""
"Stimmt eher","1991","Laendlicher Raum","maennlich","561","0.427056063601238","0.400228884255081","0.453883242947394"
