"plh0188","year","migback","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Stimmt ganz u.gar","1990","kein Migrationshintergrund","maennlich","398","0.197022721816604","0.179741451260547","0.214303992372661"
"Stimmt ganz u.gar","1990","kein Migrationshintergrund","weiblich","362","0.165814360006308","0.150364379519434","0.181264340493181"
"Stimmt ganz u.gar","1990","direkter Migrationshintergrund","maennlich","8","0.120748507384605","0.040920452610116","0.200576562159094"
"Stimmt ganz u.gar","1990","direkter Migrationshintergrund","weiblich","11","","",""
"Stimmt ganz u.gar","1990","indirekter Migrationshintergrund","maennlich","","","",""
"Stimmt ganz u.gar","1990","indirekter Migrationshintergrund","weiblich","","","",""
"Stimmt ganz u.gar","1990","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Stimmt ganz u.gar","1990","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Stimmt eher","1990","kein Migrationshintergrund","maennlich","915","0.449601695045502","0.42798852859837","0.471214861492635"
"Stimmt eher","1990","kein Migrationshintergrund","weiblich","967","0.432746390326285","0.412164234016796","0.453328546635774"
"Stimmt eher","1990","direkter Migrationshintergrund","maennlich","36","0.584137156257698","0.463386199764959","0.704888112750437"
"Stimmt eher","1990","direkter Migrationshintergrund","weiblich","41","0.503627028752846","0.391950654390465","0.615303403115228"
"Stimmt eher","1990","indirekter Migrationshintergrund","maennlich","","","",""
"Stimmt eher","1990","indirekter Migrationshintergrund","weiblich","1","","",""
"Stimmt eher","1990","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Stimmt eher","1990","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Stimmt eher nicht","1990","kein Migrationshintergrund","maennlich","593","0.287766859988293","0.268097176938059","0.307436543038527"
"Stimmt eher nicht","1990","kein Migrationshintergrund","weiblich","710","0.314371710211407","0.295085290917829","0.333658129504984"
"Stimmt eher nicht","1990","direkter Migrationshintergrund","maennlich","16","","",""
"Stimmt eher nicht","1990","direkter Migrationshintergrund","weiblich","23","","",""
"Stimmt eher nicht","1990","indirekter Migrationshintergrund","maennlich","1","","",""
"Stimmt eher nicht","1990","indirekter Migrationshintergrund","weiblich","","","",""
"Stimmt eher nicht","1990","Migrationshintergrund - n. w. differenzierbar","maennlich","","","",""
"Stimmt eher nicht","1990","Migrationshintergrund - n. w. differenzierbar","weiblich","","","",""
"Stimmt ganz u.gar nicht","1990","kein Migrationshintergrund","maennlich","129","","",""
"Stimmt ganz u.gar nicht","1990","kein Migrationshintergrund","weiblich","187","","",""
