"plh0188","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Stimmt ganz u.gar","1990","17-34","Westdeutschland","","","",""
"Stimmt ganz u.gar","1990","17-34","Ostdeutschland","285","0.171742056198529","0.153733899025843","0.189750213371215"
"Stimmt ganz u.gar","1990","35-65","Westdeutschland","","","",""
"Stimmt ganz u.gar","1990","35-65","Ostdeutschland","409","0.176620073814904","0.161035162281704","0.192204985348104"
"Stimmt ganz u.gar","1990","66 +","Westdeutschland","","","",""
"Stimmt ganz u.gar","1990","66 +","Ostdeutschland","85","0.206295429199932","0.167550459730917","0.245040398668947"
"Stimmt eher","1990","17-34","Westdeutschland","","","",""
"Stimmt eher","1990","17-34","Ostdeutschland","813","0.483644080337978","0.459783244280424","0.507504916395532"
"Stimmt eher","1990","35-65","Westdeutschland","","","",""
"Stimmt eher","1990","35-65","Ostdeutschland","966","0.418448470713439","0.398288065053511","0.438608876373367"
"Stimmt eher","1990","66 +","Westdeutschland","","","",""
"Stimmt eher","1990","66 +","Ostdeutschland","181","0.437647473197812","0.390145941074879","0.485149005320745"
"Stimmt eher nicht","1990","17-34","Westdeutschland","","","",""
"Stimmt eher nicht","1990","17-34","Ostdeutschland","474","0.279489389291983","0.25806290132956","0.300915877254406"
"Stimmt eher nicht","1990","35-65","Westdeutschland","","","",""
"Stimmt eher nicht","1990","35-65","Ostdeutschland","750","0.325229022228192","0.306083949640286","0.344374094816098"
"Stimmt eher nicht","1990","66 +","Westdeutschland","","","",""
"Stimmt eher nicht","1990","66 +","Ostdeutschland","119","0.269192748066765","0.2267235381412","0.311661957992329"
"Stimmt ganz u.gar nicht","1990","17-34","Westdeutschland","","","",""
"Stimmt ganz u.gar nicht","1990","17-34","Ostdeutschland","113","0.0651244741715104","0.0533430674653277","0.0769058808776931"
"Stimmt ganz u.gar nicht","1990","35-65","Westdeutschland","","","",""
"Stimmt ganz u.gar nicht","1990","35-65","Ostdeutschland","175","0.0797024332434652","0.0686340522478701","0.0907708142390603"
"Stimmt ganz u.gar nicht","1990","66 +","Westdeutschland","","","",""
"Stimmt ganz u.gar nicht","1990","66 +","Ostdeutschland","34","0.0868643495354913","0.0598975432856573","0.113831155785325"
"Stimmt ganz u.gar","1991","17-34","Westdeutschland","","","",""
"Stimmt ganz u.gar","1991","17-34","Ostdeutschland","230","0.151505579118064","0.133415424469523","0.169595733766605"
"Stimmt ganz u.gar","1991","35-65","Westdeutschland","","","",""
"Stimmt ganz u.gar","1991","35-65","Ostdeutschland","333","0.14654691718066","0.131835660503512","0.161258173857809"
"Stimmt ganz u.gar","1991","66 +","Westdeutschland","","","",""
"Stimmt ganz u.gar","1991","66 +","Ostdeutschland","52","0.146629659468039","0.111522517718822","0.181736801217256"
"Stimmt eher","1991","17-34","Westdeutschland","","","",""
"Stimmt eher","1991","17-34","Ostdeutschland","684","0.451462280405908","0.42635397197101","0.476570588840806"
"Stimmt eher","1991","35-65","Westdeutschland","","","",""
"Stimmt eher","1991","35-65","Ostdeutschland","862","0.38535156413358","0.365106761031353","0.405596367235807"
"Stimmt eher","1991","66 +","Westdeutschland","","","",""
"Stimmt eher","1991","66 +","Ostdeutschland","160","0.390486158090171","0.342067762351648","0.438904553828694"
"Stimmt eher nicht","1991","17-34","Westdeutschland","","","",""
"Stimmt eher nicht","1991","17-34","Ostdeutschland","475","0.313495492373028","0.290088758463297","0.33690222628276"
"Stimmt eher nicht","1991","35-65","Westdeutschland","","","",""
"Stimmt eher nicht","1991","35-65","Ostdeutschland","774","0.352485960272103","0.332612791982065","0.37235912856214"
"Stimmt eher nicht","1991","66 +","Westdeutschland","","","",""
"Stimmt eher nicht","1991","66 +","Ostdeutschland","133","0.3424657104596","0.29536976310276","0.38956165781644"
"Stimmt ganz u.gar nicht","1991","17-34","Westdeutschland","","","",""
"Stimmt ganz u.gar nicht","1991","17-34","Ostdeutschland","120","0.0835366481030005","0.0695761939997897","0.0974971022062112"
"Stimmt ganz u.gar nicht","1991","35-65","Westdeutschland","","","",""
"Stimmt ganz u.gar nicht","1991","35-65","Ostdeutschland","251","0.115615558413657","0.102314068446483","0.128917048380831"
"Stimmt ganz u.gar nicht","1991","66 +","Westdeutschland","","","",""
"Stimmt ganz u.gar nicht","1991","66 +","Ostdeutschland","45","0.120418471982191","0.0881186303001179","0.152718313664263"
"Stimmt ganz u.gar","1992","17-34","Westdeutschland","454","0.178478746207453","0.163569783075546","0.193387709339361"
"Stimmt ganz u.gar","1992","17-34","Ostdeutschland","230","0.159413861830083","0.140176802723692","0.178650920936474"
"Stimmt ganz u.gar","1992","35-65","Westdeutschland","460","0.130191574706701","0.118947881170861","0.141435268242542"
