year,sex,plh0188,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1992,male,Agree completely,0.15298,816,5204,0.14320,0.16277
1992,male,Agree,0.47929,2518,5204,0.46571,0.49286
1992,male,Disagree,0.29651,1507,5204,0.28410,0.30892
1992,male,Disagree completely,0.07122,363,5204,0.06423,0.07821
1992,female,Agree completely,0.12599,743,5740,0.11740,0.13458
1992,female,Agree,0.44306,2633,5740,0.43020,0.45591
1992,female,Disagree,0.35090,1936,5740,0.33856,0.36325
1992,female,Disagree completely,0.08005,428,5740,0.07303,0.08707
1993,male,Agree completely,0.10946,717,6333,0.10177,0.11715
1993,male,Agree,0.42525,2824,6333,0.41308,0.43743
1993,male,Disagree,0.35899,2171,6333,0.34718,0.37081
1993,male,Disagree completely,0.10629,621,6333,0.09870,0.11388
1993,female,Agree completely,0.10206,719,6695,0.09481,0.10931
1993,female,Agree,0.39005,2744,6695,0.37837,0.40174
1993,female,Disagree,0.39108,2516,6695,0.37939,0.40277
1993,female,Disagree completely,0.11681,716,6695,0.10912,0.12451
1995,male,Agree completely,0.14779,982,6380,0.13908,0.15650
1995,male,Agree,0.51636,3390,6380,0.50410,0.52863
1995,male,Disagree,0.28269,1709,6380,0.27163,0.29374
1995,male,Disagree completely,0.05316,299,6380,0.04766,0.05867
1995,female,Agree completely,0.13631,935,6838,0.12817,0.14444
1995,female,Agree,0.50325,3550,6838,0.49140,0.51510
1995,female,Disagree,0.29971,2002,6838,0.28885,0.31057
1995,female,Disagree completely,0.06073,351,6838,0.05507,0.06639
1996,male,Agree completely,0.12999,881,6272,0.12167,0.13832
1996,male,Agree,0.50110,3153,6272,0.48872,0.51347
1996,male,Disagree,0.31487,1903,6272,0.30337,0.32636
1996,male,Disagree completely,0.05404,335,6272,0.04845,0.05964
1996,female,Agree completely,0.12728,864,6731,0.11932,0.13524
1996,female,Agree,0.46503,3268,6731,0.45311,0.47695
1996,female,Disagree,0.34030,2183,6731,0.32898,0.35162
1996,female,Disagree completely,0.06739,416,6731,0.06140,0.07338
1997,male,Agree completely,0.08721,562,6184,0.08017,0.09424
1997,male,Agree,0.41463,2624,6184,0.40235,0.42691
1997,male,Disagree,0.39262,2403,6184,0.38045,0.40479
1997,male,Disagree completely,0.10554,595,6184,0.09788,0.11320
1997,female,Agree completely,0.08119,540,6588,0.07460,0.08779
1997,female,Agree,0.40066,2716,6588,0.38883,0.41249
1997,female,Disagree,0.40180,2665,6588,0.38996,0.41364
1997,female,Disagree completely,0.11635,667,6588,0.10861,0.12410
2008,male,Agree completely,0.10419,1035,9180,0.09794,0.11044
2008,male,Agree,0.47238,4371,9180,0.46217,0.48260
2008,male,Disagree,0.35221,3157,9180,0.34244,0.36198
2008,male,Disagree completely,0.07121,617,9180,0.06595,0.07647
2008,female,Agree completely,0.09661,1042,10066,0.09084,0.10238
2008,female,Agree,0.45663,4683,10066,0.44690,0.46637
2008,female,Disagree,0.36917,3660,10066,0.35974,0.37860
2008,female,Disagree completely,0.07758,681,10066,0.07236,0.08281
2013,male,Agree completely,0.17127,1494,8807,0.16340,0.17914
2013,male,Agree,0.56894,5169,8807,0.55860,0.57928
2013,male,Disagree,0.23031,1873,8807,0.22152,0.23911
2013,male,Disagree completely,0.02948,271,8807,0.02595,0.03301
2013,female,Agree completely,0.13914,1509,9981,0.13235,0.14593
2013,female,Agree,0.56710,5767,9981,0.55737,0.57682
2013,female,Disagree,0.25186,2355,9981,0.24335,0.26038
2013,female,Disagree completely,0.04190,350,9981,0.03797,0.04583
2018,male,Agree completely,0.15617,1971,11721,0.14960,0.16275
2018,male,Agree,0.53365,6314,11721,0.52462,0.54269
2018,male,Disagree,0.26165,2865,11721,0.25369,0.26961
2018,male,Disagree completely,0.04852,571,11721,0.04463,0.05241
2018,female,Agree completely,0.16418,2339,13737,0.15798,0.17037
2018,female,Agree,0.50815,7237,13737,0.49979,0.51651
2018,female,Disagree,0.27605,3511,13737,0.26858,0.28353
2018,female,Disagree completely,0.05162,650,13737,0.04792,0.05532
