"plh0188","year","age_gr","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Stimmt ganz u.gar","1990","17-29","(noch) kein Abschluss","6","","",""
"Stimmt ganz u.gar","1990","17-29","Hauptschule","15","","",""
"Stimmt ganz u.gar","1990","17-29","Realschule","133","0.180850930451638","0.153231130914547","0.208470729988729"
"Stimmt ganz u.gar","1990","17-29","(Fach-)Abitur","16","","",""
"Stimmt ganz u.gar","1990","17-29","AkademikerIn","25","","",""
"Stimmt ganz u.gar","1990","30-45","(noch) kein Abschluss","","","",""
"Stimmt ganz u.gar","1990","30-45","Hauptschule","67","0.222806441284585","0.177069933774914","0.268542948794255"
"Stimmt ganz u.gar","1990","30-45","Realschule","129","0.193674656882244","0.163862887205306","0.223486426559182"
"Stimmt ganz u.gar","1990","30-45","(Fach-)Abitur","7","","",""
"Stimmt ganz u.gar","1990","30-45","AkademikerIn","58","0.117563172876574","0.0887190195268018","0.146407326226347"
"Stimmt ganz u.gar","1990","46-65","(noch) kein Abschluss","","","",""
"Stimmt ganz u.gar","1990","46-65","Hauptschule","177","0.191217875461916","0.165568060751304","0.216867690172529"
"Stimmt ganz u.gar","1990","46-65","Realschule","25","","",""
"Stimmt ganz u.gar","1990","46-65","(Fach-)Abitur","1","","",""
"Stimmt ganz u.gar","1990","46-65","AkademikerIn","34","0.101306729431638","0.0677721558124585","0.134841303050818"
"Stimmt ganz u.gar","1990","66","(noch) kein Abschluss","","","",""
"Stimmt ganz u.gar","1990","66","Hauptschule","","","",""
"Stimmt ganz u.gar","1990","66","Realschule","","","",""
"Stimmt ganz u.gar","1990","66","(Fach-)Abitur","","","",""
"Stimmt ganz u.gar","1990","66","AkademikerIn","","","",""
"Stimmt eher","1990","17-29","(noch) kein Abschluss","18","","",""
"Stimmt eher","1990","17-29","Hauptschule","64","0.543530881340088","0.450868295700198","0.636193466979978"
"Stimmt eher","1990","17-29","Realschule","354","0.47784659725349","0.442002142177525","0.513691052329454"
"Stimmt eher","1990","17-29","(Fach-)Abitur","39","0.432705290225894","0.328596132248177","0.53681444820361"
"Stimmt eher","1990","17-29","AkademikerIn","71","0.459831310773836","0.381117361254715","0.538545260292956"
"Stimmt eher","1990","30-45","(noch) kein Abschluss","1","","",""
"Stimmt eher","1990","30-45","Hauptschule","135","0.412994624739526","0.358878365358419","0.467110884120633"
"Stimmt eher","1990","30-45","Realschule","314","0.459123851364243","0.421530586264026","0.49671711646446"
"Stimmt eher","1990","30-45","(Fach-)Abitur","9","","",""
"Stimmt eher","1990","30-45","AkademikerIn","209","0.447197231873399","0.402671097545936","0.491723366200863"
"Stimmt eher","1990","46-65","(noch) kein Abschluss","5","","",""
"Stimmt eher","1990","46-65","Hauptschule","387","0.430100671595164","0.397809161963765","0.462392181226562"
"Stimmt eher","1990","46-65","Realschule","46","0.416864316708143","0.324305666726439","0.509422966689847"
"Stimmt eher","1990","46-65","(Fach-)Abitur","4","","",""
"Stimmt eher","1990","46-65","AkademikerIn","120","0.383529925926066","0.329488907571551","0.437570944280582"
"Stimmt eher","1990","66","(noch) kein Abschluss","","","",""
"Stimmt eher","1990","66","Hauptschule","","","",""
"Stimmt eher","1990","66","Realschule","","","",""
"Stimmt eher","1990","66","(Fach-)Abitur","","","",""
"Stimmt eher","1990","66","AkademikerIn","","","",""
"Stimmt eher nicht","1990","17-29","(noch) kein Abschluss","6","","",""
"Stimmt eher nicht","1990","17-29","Hauptschule","29","","",""
"Stimmt eher nicht","1990","17-29","Realschule","211","0.280444188899148","0.248208708825158","0.312679668973138"
"Stimmt eher nicht","1990","17-29","(Fach-)Abitur","30","0.358395615334108","0.257632062898887","0.459159167769329"
"Stimmt eher nicht","1990","17-29","AkademikerIn","45","0.285433441307643","0.214105202438412","0.356761680176874"
"Stimmt eher nicht","1990","30-45","(noch) kein Abschluss","2","","",""
"Stimmt eher nicht","1990","30-45","Hauptschule","93","0.281543798062615","0.232111857207343","0.330975738917887"
"Stimmt eher nicht","1990","30-45","Realschule","186","0.278542896661668","0.244724928937492","0.312360864385845"
"Stimmt eher nicht","1990","30-45","(Fach-)Abitur","14","","",""
"Stimmt eher nicht","1990","30-45","AkademikerIn","169","0.338652429895014","0.296271321224305","0.381033538565723"
"Stimmt eher nicht","1990","46-65","(noch) kein Abschluss","1","","",""
"Stimmt eher nicht","1990","46-65","Hauptschule","274","0.305502598825089","0.275459343904649","0.33554585374553"
"Stimmt eher nicht","1990","46-65","Realschule","32","0.284238150323602","0.199562157091205","0.368914143555999"
"Stimmt eher nicht","1990","46-65","(Fach-)Abitur","5","","",""
"Stimmt eher nicht","1990","46-65","AkademikerIn","124","0.410802948541515","0.356124654650158","0.465481242432873"
"Stimmt eher nicht","1990","66","(noch) kein Abschluss","","","",""
"Stimmt eher nicht","1990","66","Hauptschule","","","",""
"Stimmt eher nicht","1990","66","Realschule","","","",""
"Stimmt eher nicht","1990","66","(Fach-)Abitur","","","",""
"Stimmt eher nicht","1990","66","AkademikerIn","","","",""
"Stimmt ganz u.gar nicht","1990","17-29","(noch) kein Abschluss","3","","",""
"Stimmt ganz u.gar nicht","1990","17-29","Hauptschule","3","","",""
"Stimmt ganz u.gar nicht","1990","17-29","Realschule","48","0.0608582833957247","0.0437027552549846","0.0780138115364647"
"Stimmt ganz u.gar nicht","1990","17-29","(Fach-)Abitur","2","","",""
"Stimmt ganz u.gar nicht","1990","17-29","AkademikerIn","13","","",""
"Stimmt ganz u.gar nicht","1990","30-45","(noch) kein Abschluss","","","",""
"Stimmt ganz u.gar nicht","1990","30-45","Hauptschule","23","","",""
"Stimmt ganz u.gar nicht","1990","30-45","Realschule","46","0.0686585950918447","0.0495821205920176","0.0877350695916719"
